candidate,office,district,party,county,precinct,votes,winner,page,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,1 North Holly Springs,718,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,1 North Holly Springs,40,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,1 North Holly Springs,1,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,1 North Holly Springs,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,1 North Holly Springs,1,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,1 North Holly Springs,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,1 North Holly Springs,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,1 North Holly Springs,113,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,1 North Holly Springs,573,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,1 North Holly Springs,18,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,1 North Holly Springs,13,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,1 Red Banks,374,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,1 Red Banks,394,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,1 Red Banks,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,1 Red Banks,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,1 Red Banks,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,1 Red Banks,6,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,1 Red Banks,4,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,1 Red Banks,368,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,1 Red Banks,312,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,1 Red Banks,26,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,1 Red Banks,19,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,1 West Holly Springs,900,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,1 West Holly Springs,124,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,1 West Holly Springs,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,1 West Holly Springs,1,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,1 West Holly Springs,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,1 West Holly Springs,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,1 West Holly Springs,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,1 West Holly Springs,192,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,1 West Holly Springs,741,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,1 West Holly Springs,18,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,1 West Holly Springs,19,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,2 Early Grove,130,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,2 Early Grove,104,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,2 Early Grove,1,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,2 Early Grove,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,2 Early Grove,0,,2,,,,,,,,,,,,,,,,,,,,,,,
