candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Chickasaw,Anchor 001,122,,2
Donald J. Trump,President,,Republican,Chickasaw,Anchor 001,472,,2
Darrell Castle,President,,Constitution,Chickasaw,Anchor 001,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Chickasaw,Anchor 001,0,,2
Jim Hedges,President,,Prohibition,Chickasaw,Anchor 001,1,,2
Gary Johnson,President,,Libertarian,Chickasaw,Anchor 001,8,,2
Jill Stein,President,,Green,Chickasaw,Anchor 001,3,,2
Trent Kelly,U.S.House,1,Republican,Chickasaw,Anchor 001,486,,2
Jacob Owens,U.S.House,1,Democrat,Chickasaw,Anchor 001,95,,2
Cathy L. Toole,U.S.House,1,Reform,Chickasaw,Anchor 001,5,,2
Chase Wilson,U.S.House,1,Libertarian,Chickasaw,Anchor 001,9,,2
Hillary Clinton,President,,Democrat,Chickasaw,Buena Vista 002,377,,2
Donald J. Trump,President,,Republican,Chickasaw,Buena Vista 002,105,,2
Darrell Castle,President,,Constitution,Chickasaw,Buena Vista 002,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Chickasaw,Buena Vista 002,0,,2
Jim Hedges,President,,Prohibition,Chickasaw,Buena Vista 002,1,,2
Gary Johnson,President,,Libertarian,Chickasaw,Buena Vista 002,2,,2
Jill Stein,President,,Green,Chickasaw,Buena Vista 002,1,,2
Trent Kelly,U.S.House,1,Republican,Chickasaw,Buena Vista 002,154,,2
Jacob Owens,U.S.House,1,Democrat,Chickasaw,Buena Vista 002,311,,2
Cathy L. Toole,U.S.House,1,Reform,Chickasaw,Buena Vista 002,9,,2
Chase Wilson,U.S.House,1,Libertarian,Chickasaw,Buena Vista 002,8,,2
Hillary Clinton,President,,Democrat,Chickasaw,East Okolona 004,657,,2
Donald J. Trump,President,,Republican,Chickasaw,East Okolona 004,70,,2
Darrell Castle,President,,Constitution,Chickasaw,East Okolona 004,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Chickasaw,East Okolona 004,0,,2
Jim Hedges,President,,Prohibition,Chickasaw,East Okolona 004,2,,2
Gary Johnson,President,,Libertarian,Chickasaw,East Okolona 004,2,,2
