candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Amite,Amite River,185,,2
Donald J. Trump,President,,Republican,Amite,Amite River,131,,2
Darrell Castle,President,,Constitution,Amite,Amite River,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Amite,Amite River,0,,2
Jim Hedges,President,,Prohibition,Amite,Amite River,0,,2
Gary Johnson,President,,Libertarian,Amite,Amite River,2,,2
Jill Stein,President,,Green,Amite,Amite River,1,,2
Gregg Harper,U.S. House,3,Republican,Amite,Amite River,141,,2
Dennis C. Quinn,U.S. House,3,Democrat,Amite,Amite River,156,,2
Roger I. Gerrard,U.S. House,3,Veterans,Amite,Amite River,11,,2
Lajena Sheets,U.S. House,3,Reform,Amite,Amite River,5,,2
Hillary Clinton,President,,Democrat,Amite,Ariel,221,,2
Donald J. Trump,President,,Republican,Amite,Ariel,72,,2
Darrell Castle,President,,Constitution,Amite,Ariel,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Amite,Ariel,0,,2
Jim Hedges,President,,Prohibition,Amite,Ariel,0,,2
Gary Johnson,President,,Libertarian,Amite,Ariel,1,,2
Jill Stein,President,,Green,Amite,Ariel,0,,2
Gregg Harper,U.S. House,3,Republican,Amite,Ariel,80,,2
Dennis C. Quinn,U.S. House,3,Democrat,Amite,Ariel,200,,2
Roger I. Gerrard,U.S. House,3,Veterans,Amite,Ariel,3,,2
Lajena Sheets,U.S. House,3,Reform,Amite,Ariel,2,,2
Hillary Clinton,President,,Democrat,Amite,Berwick,244,,2
Donald J. Trump,President,,Republican,Amite,Berwick,109,,2
Darrell Castle,President,,Constitution,Amite,Berwick,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Amite,Berwick,0,,2
Jim Hedges,President,,Prohibition,Amite,Berwick,0,,2
Gary Johnson,President,,Libertarian,Amite,Berwick,0,,2
Jill Stein,President,,Green,Amite,Berwick,2,,2
Gregg Harper,U.S. House,3,Republican,Amite,Berwick,133,,2
Dennis C. Quinn,U.S. House,3,Democrat,Amite,Berwick,194,,2
Roger I. Gerrard,U.S. House,3,Veterans,Amite,Berwick,8,,2
Lajena Sheets,U.S. House,3,Reform,Amite,Berwick,8,,2
Hillary Clinton,President,,Democrat,Amite,Crosby,98,,2
Donald J. Trump,President,,Republican,Amite,Crosby,92,,2
Darrell Castle,President,,Constitution,Amite,Crosby,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Amite,Crosby,0,,2
Jim Hedges,President,,Prohibition,Amite,Crosby,1,,2
Gary Johnson,President,,Libertarian,Amite,Crosby,0,,2
Jill Stein,President,,Green,Amite,Crosby,0,,2
Gregg Harper,U.S. House,3,Republican,Amite,Crosby,87,,2
Dennis C. Quinn,U.S. House,3,Democrat,Amite,Crosby,90,,2
Roger I. Gerrard,U.S. House,3,Veterans,Amite,Crosby,7,,2
Lajena Sheets,U.S. House,3,Reform,Amite,Crosby,3,,2
Hillary Clinton,President,,Democrat,Amite,East Centreville,128,,2
Donald J. Trump,President,,Republican,Amite,East Centreville,223,,2
Darrell Castle,President,,Constitution,Amite,East Centreville,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Amite,East Centreville,0,,2
Jim Hedges,President,,Prohibition,Amite,East Centreville,0,,2
