candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Madison,Bear Creek,438,,2
Donald J. Trump,President,,Republican,Madison,Bear Creek,285,,2
Darrell Castle,President,,Constitution,Madison,Bear Creek,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Madison,Bear Creek,0,,2
Jim Hedges,President,,Prohibition,Madison,Bear Creek,1,,2
Gary Johnson,President,,Libertarian,Madison,Bear Creek,11,,2
Jill Stein,President,,Green,Madison,Bear Creek,2,,2
John Bouie ii,U.S. House,2,Republican,Madison,Bear Creek,X,,2
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Bear Creek,X,,2
Johnny McLeod,U.S. House,2,Reform,Madison,Bear Creek,X,,2
Troy Ray,U.S. House,2,Independent,Madison,Bear Creek,X,,2
Hillary Clinton,President,,Democrat,Madison,Bible Church,391,,2
Donald J. Trump,President,,Republican,Madison,Bible Church,6,,2
Darrell Castle,President,,Constitution,Madison,Bible Church,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Madison,Bible Church,0,,2
Jim Hedges,President,,Prohibition,Madison,Bible Church,1,,2
Gary Johnson,President,,Libertarian,Madison,Bible Church,0,,2
Jill Stein,President,,Green,Madison,Bible Church,1,,2
John Bouie ii,U.S. House,2,Republican,Madison,Bible Church,8,,2
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Bible Church,384,,2
Johnny McLeod,U.S. House,2,Reform,Madison,Bible Church,1,,2
Troy Ray,U.S. House,2,Independent,Madison,Bible Church,1,,2
Hillary Clinton,President,,Democrat,Madison,Camden,605,,2
Donald J. Trump,President,,Republican,Madison,Camden,62,,2
Darrell Castle,President,,Constitution,Madison,Camden,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Madison,Camden,1,,2
Jim Hedges,President,,Prohibition,Madison,Camden,0,,2
Gary Johnson,President,,Libertarian,Madison,Camden,6,,2
Jill Stein,President,,Green,Madison,Camden,1,,2
John Bouie ii,U.S. House,2,Republican,Madison,Camden,53,,2
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Camden,605,,2
Johnny McLeod,U.S. House,2,Reform,Madison,Camden,2,,2
Troy Ray,U.S. House,2,Independent,Madison,Camden,13,,2
Hillary Clinton,President,,Democrat,Madison,Cameron,80,,2
Donald J. Trump,President,,Republican,Madison,Cameron,87,,2
Darrell Castle,President,,Constitution,Madison,Cameron,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Madison,Cameron,0,,2
Jim Hedges,President,,Prohibition,Madison,Cameron,0,,2
Gary Johnson,President,,Libertarian,Madison,Cameron,0,,2
Jill Stein,President,,Green,Madison,Cameron,0,,2
John Bouie ii,U.S. House,2,Republican,Madison,Cameron,72,,2
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Cameron,85,,2
Johnny McLeod,U.S. House,2,Reform,Madison,Cameron,1,,2
Troy Ray,U.S. House,2,Independent,Madison,Cameron,6,,2
Hillary Clinton,President,,Democrat,Madison,Canton Fire Station #4,248,,2
Donald J. Trump,President,,Republican,Madison,Canton Fire Station #4,103,,2
Darrell Castle,President,,Constitution,Madison,Canton Fire Station #4,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Madison,Canton Fire Station #4,0,,2
Jim Hedges,President,,Prohibition,Madison,Canton Fire Station #4,0,,2
Gary Johnson,President,,Libertarian,Madison,Canton Fire Station #4,2,,2
Jill Stein,President,,Green,Madison,Canton Fire Station #4,0,,2
John Bouie ii,U.S. House,2,Republican,Madison,Canton Fire Station #4,92,,2
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Fire Station #4,251,,2
Johnny McLeod,U.S. House,2,Reform,Madison,Canton Fire Station #4,2,,2
Troy Ray,U.S. House,2,Independent,Madison,Canton Fire Station #4,5,,2
Hillary Clinton,President,,Democrat,Madison,Canton Precinct 1,875,,2
Donald J. Trump,President,,Republican,Madison,Canton Precinct 1,267,,2
Darrell Castle,President,,Constitution,Madison,Canton Precinct 1,4,,2
Rocky' Roque De La Fuente,President,,American Delta,Madison,Canton Precinct 1,1,,2
Jim Hedges,President,,Prohibition,Madison,Canton Precinct 1,0,,2
Gary Johnson,President,,Libertarian,Madison,Canton Precinct 1,2,,2
Jill Stein,President,,Green,Madison,Canton Precinct 1,3,,2
John Bouie ii,U.S. House,2,Republican,Madison,Canton Precinct 1,222,,2
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Precinct 1,883,,2
Johnny McLeod,U.S. House,2,Reform,Madison,Canton Precinct 1,12,,2
Troy Ray,U.S. House,2,Independent,Madison,Canton Precinct 1,18,,2
Hillary Clinton,President,,Democrat,Madison,Canton Precinct 2,831,,2
Donald J. Trump,President,,Republican,Madison,Canton Precinct 2,551,,2
Darrell Castle,President,,Constitution,Madison,Canton Precinct 2,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Madison,Canton Precinct 2,2,,2
Jim Hedges,President,,Prohibition,Madison,Canton Precinct 2,3,,2
Gary Johnson,President,,Libertarian,Madison,Canton Precinct 2,5,,2
Jill Stein,President,,Green,Madison,Canton Precinct 2,3,,2
John Bouie ii,U.S. House,2,Republican,Madison,Canton Precinct 2,468,,2
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Precinct 2,860,,2
Johnny McLeod,U.S. House,2,Reform,Madison,Canton Precinct 2,24,,2
Troy Ray,U.S. House,2,Independent,Madison,Canton Precinct 2,31,,2
Hillary Clinton,President,,Democrat,Madison,Canton Precinct 3,124,,2
Donald J. Trump,President,,Republican,Madison,Canton Precinct 3,128,,2
Darrell Castle,President,,Constitution,Madison,Canton Precinct 3,1,,2
