candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,11
Jeb Bush,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,0,0,0,1,2,1,1,3,0,4,4,2,2,2,5,3,3,63
Ben Carson,President,,Republican,Itawamba,American Legion,7,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,6
Chris Christie,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,28,68,21,12,16,13,61,86,45,94,132,25,37,47,83,73,58,1799
Ted Cruz,President,,Republican,Itawamba,American Legion,196,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3
Carly Florina,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Lindsey Graham,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,0,1,0,2,0,0,0,3,0,1,0,0,0,0,1,0,2,17
Mike Huckabee,President,,Republican,Itawamba,American Legion,1,,,,,,,,,,,,,,2,8,2,6,2,2,5,15,4,17,19,2,5,6,5,9,11,237
John R. Kasich,President,,Republican,Itawamba,American Legion,59,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
George Pataki,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rand Paul,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,1,13,5,0,0,4,5,17,3,2,5,4,2,5,3,9,16,193
Marco Rubio,President,,Republican,Itawamba,American Legion,26,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Rick Santorum,President,,Republican,Itawamba,American Legion,0,,,,,,,,,,,,,,35,76,33,16,20,29,58,118,40,106,119,35,50,55,75,75,86,1949
Donald J. Trump,President,,Republican,Itawamba,American Legion,196,,,,,,,,,,,,,,5,3,7,1,2,2,52,62,1,22,16,4,4,11,8,13,9,389
Hillary Clinton,President,,Democrat,Itawamba,American Legion,26,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,American Legion,0,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
Martin O'Mailey,President,,Democrat,Itawamba,American Legion,1,,,,,,,,,,,,,,2,9,1,2,4,0,6,19,3,3,7,1,3,3,5,6,6,157
Bernie Sanders,President,,Democrat,Itawamba,American Legion,21,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6
Willie Wilson,President,,Democrat,Itawamba,American Legion,0,,,,,,,,,,,,,,1,13,6,3,1,2,15,18,8,16,11,14,2,4,11,13,16,308
Paul Clever,U.S. House,1,Republican,Itawamba,American Legion,29,,,,,,,,,,,,,,64,152,55,34,38,46,112,214,81,202,262,53,89,110,159,158,158,3854
Trent Kelly,U.S. House,1,Republican,Itawamba,American Legion,435,,,,,,,,,,,,,,6,13,7,3,3,2,41,54,5,21,24,4,5,6,11,18,12,419
Jacob Owens,U.S. House,1,Democrat,Itawamba,American Legion,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Armory,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Armory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Armory,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Armory,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
