candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Alcorn,2nd District Central,131,,2
Donald J. Trump,President,,Republican,Alcorn,2nd District Central,1216,,2
Darrell Castle,President,,Constitution,Alcorn,2nd District Central,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,2nd District Central,0,,2
Jim Hedges,President,,Prohibition,Alcorn,2nd District Central,1,,2
Gary Johnson,President,,Libertarian,Alcorn,2nd District Central,8,,2
Jill Stein,President,,Green,Alcorn,2nd District Central,7,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,2nd District Central,1147,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,2nd District Central,115,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,2nd District Central,13,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,2nd District Central,32,,2
Hillary Clinton,President,,Democrat,Alcorn,Bethel,1,,2
Donald J. Trump,President,,Republican,Alcorn,Bethel,82,,2
Darrell Castle,President,,Constitution,Alcorn,Bethel,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Bethel,0,,2
Jim Hedges,President,,Prohibition,Alcorn,Bethel,0,,2
Gary Johnson,President,,Libertarian,Alcorn,Bethel,0,,2
Jill Stein,President,,Green,Alcorn,Bethel,0,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,Bethel,76,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,Bethel,2,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Bethel,1,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Bethel,0,,2
Hillary Clinton,President,,Democrat,Alcorn,Biggersville,134,,2
Donald J. Trump,President,,Republican,Alcorn,Biggersville,605,,2
Darrell Castle,President,,Constitution,Alcorn,Biggersville,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Biggersville,1,,2
Jim Hedges,President,,Prohibition,Alcorn,Biggersville,1,,2
Gary Johnson,President,,Libertarian,Alcorn,Biggersville,11,,2
Jill Stein,President,,Green,Alcorn,Biggersville,0,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,Biggersville,561,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,Biggersville,121,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Biggersville,9,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Biggersville,15,,2
Hillary Clinton,President,,Democrat,Alcorn,College Hill,243,,2
Donald J. Trump,President,,Republican,Alcorn,College Hill,419,,2
Darrell Castle,President,,Constitution,Alcorn,College Hill,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,College Hill,1,,2
Jim Hedges,President,,Prohibition,Alcorn,College Hill,1,,2
Gary Johnson,President,,Libertarian,Alcorn,College Hill,13,,2
Jill Stein,President,,Green,Alcorn,College Hill,5,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,College Hill,420,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,College Hill,183,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,College Hill,13,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,College Hill,12,,2
Hillary Clinton,President,,Democrat,Alcorn,East Corinth,317,,2
Donald J. Trump,President,,Republican,Alcorn,East Corinth,884,,2
Darrell Castle,President,,Constitution,Alcorn,East Corinth,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,East Corinth,0,,2
Jim Hedges,President,,Prohibition,Alcorn,East Corinth,0,,2
Gary Johnson,President,,Libertarian,Alcorn,East Corinth,16,,2
Jill Stein,President,,Green,Alcorn,East Corinth,2,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,East Corinth,891,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,East Corinth,248,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,East Corinth,6,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,East Corinth,18,,2
Hillary Clinton,President,,Democrat,Alcorn,Five Points 1st Dist,157,,2
Donald J. Trump,President,,Republican,Alcorn,Five Points 1st Dist,1286,,2
Darrell Castle,President,,Constitution,Alcorn,Five Points 1st Dist,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Five Points 1st Dist,0,,2
Jim Hedges,President,,Prohibition,Alcorn,Five Points 1st Dist,1,,2
Gary Johnson,President,,Libertarian,Alcorn,Five Points 1st Dist,12,,2
Jill Stein,President,,Green,Alcorn,Five Points 1st Dist,6,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,Five Points 1st Dist,1203,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,Five Points 1st Dist,147,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Five Points 1st Dist,20,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Five Points 1st Dist,24,,2
Hillary Clinton,President,,Democrat,Alcorn,Glen,112,,2
Donald J. Trump,President,,Republican,Alcorn,Glen,826,,2
Darrell Castle,President,,Constitution,Alcorn,Glen,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Glen,1,,2
Jim Hedges,President,,Prohibition,Alcorn,Glen,0,,2
Gary Johnson,President,,Libertarian,Alcorn,Glen,11,,2
Jill Stein,President,,Green,Alcorn,Glen,2,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,Glen,766,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,Glen,115,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Glen,11,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Glen,19,,2
Hillary Clinton,President,,Democrat,Alcorn,Jacinto,23,,2
Donald J. Trump,President,,Republican,Alcorn,Jacinto,289,,2
Darrell Castle,President,,Constitution,Alcorn,Jacinto,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Jacinto,0,,2
Jim Hedges,President,,Prohibition,Alcorn,Jacinto,3,,2
Gary Johnson,President,,Libertarian,Alcorn,Jacinto,2,,2
Jill Stein,President,,Green,Alcorn,Jacinto,0,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,Jacinto,274,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,Jacinto,32,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Jacinto,2,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Jacinto,2,,2
Hillary Clinton,President,,Democrat,Alcorn,Kossuth,97,,2
Donald J. Trump,President,,Republican,Alcorn,Kossuth,1310,,2
Darrell Castle,President,,Constitution,Alcorn,Kossuth,4,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Kossuth,0,,2
Jim Hedges,President,,Prohibition,Alcorn,Kossuth,0,,2
Gary Johnson,President,,Libertarian,Alcorn,Kossuth,9,,2
Jill Stein,President,,Green,Alcorn,Kossuth,1,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,Kossuth,1209,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,Kossuth,114,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Kossuth,10,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Kossuth,22,,2
Hillary Clinton,President,,Democrat,Alcorn,North Corinth,133,,2
Donald J. Trump,President,,Republican,Alcorn,North Corinth,773,,2
Darrell Castle,President,,Constitution,Alcorn,North Corinth,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,North Corinth,0,,2
Jim Hedges,President,,Prohibition,Alcorn,North Corinth,0,,2
Gary Johnson,President,,Libertarian,Alcorn,North Corinth,22,,2
Jill Stein,President,,Green,Alcorn,North Corinth,2,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,North Corinth,743,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,North Corinth,119,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,North Corinth,8,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,North Corinth,27,,2
Hillary Clinton,President,,Democrat,Alcorn,Pinecrest,120,,2
Donald J. Trump,President,,Republican,Alcorn,Pinecrest,363,,2
Darrell Castle,President,,Constitution,Alcorn,Pinecrest,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Pinecrest,1,,2
Jim Hedges,President,,Prohibition,Alcorn,Pinecrest,0,,2
Gary Johnson,President,,Libertarian,Alcorn,Pinecrest,7,,2
Jill Stein,President,,Green,Alcorn,Pinecrest,1,,2
Trent Kelly,U.S.House,1,Republican,Alcorn,Pinecrest,350,,2
Jacob Owens,U.S.House,1,Democrat,Alcorn,Pinecrest,96,,2
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Pinecrest,7,,2
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Pinecrest,13,,2
Hillary Clinton,President,,Democrat,Alcorn,Rienzi,145,,3
Donald J. Trump,President,,Republican,Alcorn,Rienzi,724,,3
Darrell Castle,President,,Constitution,Alcorn,Rienzi,7,,3
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Rienzi,1,,3
Jim Hedges,President,,Prohibition,Alcorn,Rienzi,1,,3
Gary Johnson,President,,Libertarian,Alcorn,Rienzi,6,,3
Jill Stein,President,,Green,Alcorn,Rienzi,2,,3
Trent Kelly,U.S.House,1,Republican,Alcorn,Rienzi,697,,3
Jacob Owens,U.S.House,1,Democrat,Alcorn,Rienzi,136,,3
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Rienzi,7,,3
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Rienzi,16,,3
Hillary Clinton,President,,Democrat,Alcorn,Shady Grove,108,,3
Donald J. Trump,President,,Republican,Alcorn,Shady Grove,648,,3
Darrell Castle,President,,Constitution,Alcorn,Shady Grove,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Shady Grove,0,,3
Jim Hedges,President,,Prohibition,Alcorn,Shady Grove,1,,3
Gary Johnson,President,,Libertarian,Alcorn,Shady Grove,7,,3
Jill Stein,President,,Green,Alcorn,Shady Grove,0,,3
Trent Kelly,U.S.House,1,Republican,Alcorn,Shady Grove,615,,3
Jacob Owens,U.S.House,1,Democrat,Alcorn,Shady Grove,95,,3
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Shady Grove,10,,3
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Shady Grove,12,,3
Hillary Clinton,President,,Democrat,Alcorn,South Corinth,629,,3
Donald J. Trump,President,,Republican,Alcorn,South Corinth,479,,3
Darrell Castle,President,,Constitution,Alcorn,South Corinth,6,,3
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,South Corinth,1,,3
Jim Hedges,President,,Prohibition,Alcorn,South Corinth,3,,3
Gary Johnson,President,,Libertarian,Alcorn,South Corinth,15,,3
Jill Stein,President,,Green,Alcorn,South Corinth,4,,3
Trent Kelly,U.S.House,1,Republican,Alcorn,South Corinth,516,,3
Jacob Owens,U.S.House,1,Democrat,Alcorn,South Corinth,489,,3
Cathy L. Toole,U.S.House,1,Reform,Alcorn,South Corinth,21,,3
Chase Wilson,U.S.House,1,Libertarian,Alcorn,South Corinth,22,,3
Hillary Clinton,President,,Democrat,Alcorn,Union Center,80,,3
Donald J. Trump,President,,Republican,Alcorn,Union Center,832,,3
Darrell Castle,President,,Constitution,Alcorn,Union Center,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Union Center,1,,3
Jim Hedges,President,,Prohibition,Alcorn,Union Center,0,,3
Gary Johnson,President,,Libertarian,Alcorn,Union Center,7,,3
Jill Stein,President,,Green,Alcorn,Union Center,1,,3
Trent Kelly,U.S.House,1,Republican,Alcorn,Union Center,762,,3
Jacob Owens,U.S.House,1,Democrat,Alcorn,Union Center,88,,3
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Union Center,10,,3
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Union Center,15,,3
Hillary Clinton,President,,Democrat,Alcorn,Wenasoga,147,,3
Donald J. Trump,President,,Republican,Alcorn,Wenasoga,665,,3
Darrell Castle,President,,Constitution,Alcorn,Wenasoga,3,,3
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,Wenasoga,0,,3
Jim Hedges,President,,Prohibition,Alcorn,Wenasoga,0,,3
Gary Johnson,President,,Libertarian,Alcorn,Wenasoga,11,,3
Jill Stein,President,,Green,Alcorn,Wenasoga,1,,3
Trent Kelly,U.S.House,1,Republican,Alcorn,Wenasoga,618,,3
Jacob Owens,U.S.House,1,Democrat,Alcorn,Wenasoga,147,,3
Cathy L. Toole,U.S.House,1,Reform,Alcorn,Wenasoga,7,,3
Chase Wilson,U.S.House,1,Libertarian,Alcorn,Wenasoga,15,,3
Hillary Clinton,President,,Democrat,Alcorn,West Corinth,107,,3
Donald J. Trump,President,,Republican,Alcorn,West Corinth,418,,3
Darrell Castle,President,,Constitution,Alcorn,West Corinth,9,,3
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,West Corinth,0,,3
Jim Hedges,President,,Prohibition,Alcorn,West Corinth,0,,3
Gary Johnson,President,,Libertarian,Alcorn,West Corinth,10,,3
Jill Stein,President,,Green,Alcorn,West Corinth,4,,3
Trent Kelly,U.S.House,1,Republican,Alcorn,West Corinth,414,,3
Jacob Owens,U.S.House,1,Democrat,Alcorn,West Corinth,90,,3
Cathy L. Toole,U.S.House,1,Reform,Alcorn,West Corinth,5,,3
Chase Wilson,U.S.House,1,Libertarian,Alcorn,West Corinth,10,,3
Hillary Clinton,President,,Democrat,Alcorn,,2684,,
Donald J. Trump,President,,Republican,Alcorn,,11819,TRUE,
Darrell Castle,President,,Constitution,Alcorn,,56,,
Rocky' Roque De La Fuente,President,,American Delta,Alcorn,,7,,
Jim Hedges,President,,Prohibition,Alcorn,,12,,
Gary Johnson,President,,Libertarian,Alcorn,,167,,
Jill Stein,President,,Green,Alcorn,,38,,
Trent Kelly,U.S.House,1,Republican,Alcorn,,11262,TRUE,
Jacob Owens,U.S.House,1,Democrat,Alcorn,,2337,,
Cathy L. Toole,U.S.House,1,Reform,Alcorn,,160,,
Chase Wilson,U.S.House,1,Libertarian,Alcorn,,274,,
