candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Clarke,Beaverdam,140,,2
Donald J. Trump,President,,Republican,Clarke,Beaverdam,61,,2
Darrell Castle,President,,Constitution,Clarke,Beaverdam,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Clarke,Beaverdam,0,,2
Jim Hedges,President,,Prohibition,Clarke,Beaverdam,0,,2
Gary Johnson,President,,Libertarian,Clarke,Beaverdam,0,,2
Jill Stein,President,,Green,Clarke,Beaverdam,0,,2
Gregg Harper,U.S. House,3,Republican,Clarke,Beaverdam,77,,2
Dennis C. Quinn,U.S. House,3,Democrat,Clarke,Beaverdam,119,,2
Roger I. Gerrard,U.S. House,3,Veterans,Clarke,Beaverdam,5,,2
Lajena Sheets,U.S. House,3,Reform,Clarke,Beaverdam,1,,2
Hillary Clinton,President,,Democrat,Clarke,Carmichael,67,,2
Donald J. Trump,President,,Republican,Clarke,Carmichael,161,,2
Darrell Castle,President,,Constitution,Clarke,Carmichael,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Clarke,Carmichael,0,,2
Jim Hedges,President,,Prohibition,Clarke,Carmichael,0,,2
Gary Johnson,President,,Libertarian,Clarke,Carmichael,1,,2
Jill Stein,President,,Green,Clarke,Carmichael,0,,2
Gregg Harper,U.S. House,3,Republican,Clarke,Carmichael,X,,2
Dennis C. Quinn,U.S. House,3,Democrat,Clarke,Carmichael,X,,2
Roger I. Gerrard,U.S. House,3,Veterans,Clarke,Carmichael,X,,2
Lajena Sheets,U.S. House,3,Reform,Clarke,Carmichael,X,,2
Hillary Clinton,President,,Democrat,Clarke,Desoto,125,,2
Donald J. Trump,President,,Republican,Clarke,Desoto,116,,2
Darrell Castle,President,,Constitution,Clarke,Desoto,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Clarke,Desoto,0,,2
Jim Hedges,President,,Prohibition,Clarke,Desoto,0,,2
Gary Johnson,President,,Libertarian,Clarke,Desoto,0,,2
Jill Stein,President,,Green,Clarke,Desoto,0,,2
Gregg Harper,U.S. House,3,Republican,Clarke,Desoto,126,,2
Dennis C. Quinn,U.S. House,3,Democrat,Clarke,Desoto,101,,2
Roger I. Gerrard,U.S. House,3,Veterans,Clarke,Desoto,4,,2
Lajena Sheets,U.S. House,3,Reform,Clarke,Desoto,0,,2
Hillary Clinton,President,,Democrat,Clarke,East Quitman,96,,2
Donald J. Trump,President,,Republican,Clarke,East Quitman,1018,,2
Darrell Castle,President,,Constitution,Clarke,East Quitman,6,,2
Rocky' Roque De La Fuente,President,,American Delta,Clarke,East Quitman,0,,2
Jim Hedges,President,,Prohibition,Clarke,East Quitman,0,,2
Gary Johnson,President,,Libertarian,Clarke,East Quitman,4,,2
Jill Stein,President,,Green,Clarke,East Quitman,8,,2
Gregg Harper,U.S. House,3,Republican,Clarke,East Quitman,1014,,2
Dennis C. Quinn,U.S. House,3,Democrat,Clarke,East Quitman,80,,2
Roger I. Gerrard,U.S. House,3,Veterans,Clarke,East Quitman,28,,2
Lajena Sheets,U.S. House,3,Reform,Clarke,East Quitman,4,,2
Hillary Clinton,President,,Democrat,Clarke,Energy,12,,2
Donald J. Trump,President,,Republican,Clarke,Energy,178,,2
