candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Issaquena,Addie Voting Precinct,96,,2
Donald J. Trump,President,,Republican,Issaquena,Addie Voting Precinct,57,,2
Darrell Castle,President,,Constitution,Issaquena,Addie Voting Precinct,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Issaquena,Addie Voting Precinct,0,,2
Jim Hedges,President,,Prohibition,Issaquena,Addie Voting Precinct,0,,2
Gary Johnson,President,,Libertarian,Issaquena,Addie Voting Precinct,0,,2
Jill Stein,President,,Green,Issaquena,Addie Voting Precinct,0,,2
John Bouie ii,U.S.House,2,Republican,Issaquena,Addie Voting Precinct,38,,2
Bennie G. Thompson,U.S.House,2,Democrat,Issaquena,Addie Voting Precinct,100,,2
Johnny McLeod,U.S.House,2,Reform,Issaquena,Addie Voting Precinct,3,,2
Troy Ray,U.S.House,2,Independent,Issaquena,Addie Voting Precinct,3,,2
Hillary Clinton,President,,Democrat,Issaquena,Grace Voting Precinct,52,,2
Donald J. Trump,President,,Republican,Issaquena,Grace Voting Precinct,82,,2
Darrell Castle,President,,Constitution,Issaquena,Grace Voting Precinct,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Issaquena,Grace Voting Precinct,0,,2
Jim Hedges,President,,Prohibition,Issaquena,Grace Voting Precinct,1,,2
Gary Johnson,President,,Libertarian,Issaquena,Grace Voting Precinct,1,,2
Jill Stein,President,,Green,Issaquena,Grace Voting Precinct,0,,2
John Bouie ii,U.S.House,2,Republican,Issaquena,Grace Voting Precinct,56,,2
Bennie G. Thompson,U.S.House,2,Democrat,Issaquena,Grace Voting Precinct,66,,2
Johnny McLeod,U.S.House,2,Reform,Issaquena,Grace Voting Precinct,5,,2
Troy Ray,U.S.House,2,Independent,Issaquena,Grace Voting Precinct,6,,2
Hillary Clinton,President,,Democrat,Issaquena,Mayersville Courthouse,157,,2
Donald J. Trump,President,,Republican,Issaquena,Mayersville Courthouse,8,,2
Darrell Castle,President,,Constitution,Issaquena,Mayersville Courthouse,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Issaquena,Mayersville Courthouse,0,,2
Jim Hedges,President,,Prohibition,Issaquena,Mayersville Courthouse,0,,2
Gary Johnson,President,,Libertarian,Issaquena,Mayersville Courthouse,0,,2
Jill Stein,President,,Green,Issaquena,Mayersville Courthouse,0,,2
John Bouie ii,U.S.House,2,Republican,Issaquena,Mayersville Courthouse,6,,2
Bennie G. Thompson,U.S.House,2,Democrat,Issaquena,Mayersville Courthouse,159,,2
Johnny McLeod,U.S.House,2,Reform,Issaquena,Mayersville Courthouse,1,,2
Troy Ray,U.S.House,2,Independent,Issaquena,Mayersville Courthouse,2,,2
Hillary Clinton,President,,Democrat,Issaquena,Tallula Community Center,59,,2
Donald J. Trump,President,,Republican,Issaquena,Tallula Community Center,75,,2
Darrell Castle,President,,Constitution,Issaquena,Tallula Community Center,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Issaquena,Tallula Community Center,1,,2
Jim Hedges,President,,Prohibition,Issaquena,Tallula Community Center,0,,2
Gary Johnson,President,,Libertarian,Issaquena,Tallula Community Center,1,,2
Jill Stein,President,,Green,Issaquena,Tallula Community Center,0,,2
John Bouie ii,U.S.House,2,Republican,Issaquena,Tallula Community Center,62,,2
Bennie G. Thompson,U.S.House,2,Democrat,Issaquena,Tallula Community Center,60,,2
Johnny McLeod,U.S.House,2,Reform,Issaquena,Tallula Community Center,1,,2
Troy Ray,U.S.House,2,Independent,Issaquena,Tallula Community Center,3,,2
Hillary Clinton,President,,Democrat,Issaquena,Valley Park Community Center,31,,2
Donald J. Trump,President,,Republican,Issaquena,Valley Park Community Center,76,,2
Darrell Castle,President,,Constitution,Issaquena,Valley Park Community Center,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Issaquena,Valley Park Community Center,0,,2
Jim Hedges,President,,Prohibition,Issaquena,Valley Park Community Center,0,,2
Gary Johnson,President,,Libertarian,Issaquena,Valley Park Community Center,2,,2
Jill Stein,President,,Green,Issaquena,Valley Park Community Center,0,,2
John Bouie ii,U.S.House,2,Republican,Issaquena,Valley Park Community Center,65,,2
Bennie G. Thompson,U.S.House,2,Democrat,Issaquena,Valley Park Community Center,36,,2
Johnny McLeod,U.S.House,2,Reform,Issaquena,Valley Park Community Center,1,,2
Troy Ray,U.S.House,2,Independent,Issaquena,Valley Park Community Center,5,,2
Hillary Clinton,President,,Democrat,Issaquena,,395,TRUE,2
Donald J. Trump,President,,Republican,Issaquena,,298,,2
Darrell Castle,President,,Constitution,Issaquena,,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Issaquena,,1,,2
Jim Hedges,President,,Prohibition,Issaquena,,1,,2
Gary Johnson,President,,Libertarian,Issaquena,,4,,2
Jill Stein,President,,Green,Issaquena,,0,,2
John Bouie ii,U.S.House,2,Republican,Issaquena,,227,,2
Bennie G. Thompson,U.S.House,2,Democrat,Issaquena,,421,TRUE,2
Johnny McLeod,U.S.House,2,Reform,Issaquena,,11,,2
Troy Ray,U.S.House,2,Independent,Issaquena,,19,,2
