candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Lowndes,Airbase,440,,2
Donald J. Trump,President,,Republican,Lowndes,Airbase,482,,2
Darrell Castle,President,,Constitution,Lowndes,Airbase,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndes,Airbase,1,,2
Jim Hedges,President,,Prohibition,Lowndes,Airbase,0,,2
Gary Johnson,President,,Libertarian,Lowndes,Airbase,22,,2
Jill Stein,President,,Green,Lowndes,Airbase,1,,2
Trent Kelly,U.S.House,1,Republican,Lowndes,Airbase,507,,2
Jacob Owens,U.S.House,1,Democrat,Lowndes,Airbase,380,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndes,Airbase,10,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndes,Airbase,19,,2
Hillary Clinton,President,,Democrat,Lowndes,Artesia,273,,2
Donald J. Trump,President,,Republican,Lowndes,Artesia,56,,2
Darrell Castle,President,,Constitution,Lowndes,Artesia,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndes,Artesia,0,,2
Jim Hedges,President,,Prohibition,Lowndes,Artesia,0,,2
Gary Johnson,President,,Libertarian,Lowndes,Artesia,1,,2
Jill Stein,President,,Green,Lowndes,Artesia,1,,2
Trent Kelly,U.S.House,1,Republican,Lowndes,Artesia,70,,2
Jacob Owens,U.S.House,1,Democrat,Lowndes,Artesia,226,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndes,Artesia,5,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndes,Artesia,4,,2
Hillary Clinton,President,,Democrat,Lowndes,Brandon,648,,2
Donald J. Trump,President,,Republican,Lowndes,Brandon,854,,2
Darrell Castle,President,,Constitution,Lowndes,Brandon,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndes,Brandon,0,,2
Jim Hedges,President,,Prohibition,Lowndes,Brandon,2,,2
Gary Johnson,President,,Libertarian,Lowndes,Brandon,23,,2
Jill Stein,President,,Green,Lowndes,Brandon,4,,2
Trent Kelly,U.S.House,1,Republican,Lowndes,Brandon,885,,2
Jacob Owens,U.S.House,1,Democrat,Lowndes,Brandon,545,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndes,Brandon,21,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndes,Brandon,37,,2
Hillary Clinton,President,,Democrat,Lowndes,Caledonia,345,,2
Donald J. Trump,President,,Republican,Lowndes,Caledonia,2164,,2
Darrell Castle,President,,Constitution,Lowndes,Caledonia,11,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndes,Caledonia,1,,2
Jim Hedges,President,,Prohibition,Lowndes,Caledonia,1,,2
Gary Johnson,President,,Libertarian,Lowndes,Caledonia,40,,2
Jill Stein,President,,Green,Lowndes,Caledonia,4,,2
Trent Kelly,U.S.House,1,Republican,Lowndes,Caledonia,2131,,2
Jacob Owens,U.S.House,1,Democrat,Lowndes,Caledonia,307,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndes,Caledonia,23,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndes,Caledonia,59,,2
Hillary Clinton,President,,Democrat,Lowndes,Coleman,250,,2
Donald J. Trump,President,,Republican,Lowndes,Coleman,8,,2
Darrell Castle,President,,Constitution,Lowndes,Coleman,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndes,Coleman,0,,2
Jim Hedges,President,,Prohibition,Lowndes,Coleman,0,,2
Gary Johnson,President,,Libertarian,Lowndes,Coleman,1,,2
Jill Stein,President,,Green,Lowndes,Coleman,2,,2
Trent Kelly,U.S.House,1,Republican,Lowndes,Coleman,31,,2
Jacob Owens,U.S.House,1,Democrat,Lowndes,Coleman,198,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndes,Coleman,3,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndes,Coleman,6,,2
Hillary Clinton,President,,Democrat,Lowndes,Crawford,653,,2
Donald J. Trump,President,,Republican,Lowndes,Crawford,134,,2
Darrell Castle,President,,Constitution,Lowndes,Crawford,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndes,Crawford,0,,2
Jim Hedges,President,,Prohibition,Lowndes,Crawford,1,,2
Gary Johnson,President,,Libertarian,Lowndes,Crawford,4,,2
Jill Stein,President,,Green,Lowndes,Crawford,5,,2
Trent Kelly,U.S.House,1,Republican,Lowndes,Crawford,172,,2
Jacob Owens,U.S.House,1,Democrat,Lowndes,Crawford,556,,2
Cathy L. Toole,U.S.House,1,Reform,Lowndes,Crawford,8,,2
Chase Wilson,U.S.House,1,Libertarian,Lowndes,Crawford,15,,2
Hillary Clinton,President,,Democrat,Lowndes,East Columbus gym,1158,,2
Donald J. Trump,President,,Republican,Lowndes,East Columbus gym,683,,2
Darrell Castle,President,,Constitution,Lowndes,East Columbus gym,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Lowndes,East Columbus gym,2,,2
Jim Hedges,President,,Prohibition,Lowndes,East Columbus gym,0,,2
Gary Johnson,President,,Libertarian,Lowndes,East Columbus gym,12,,2
