candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Hancock,Arlington,73,,2
Donald J. Trump,President,,Republican,Hancock,Arlington,227,,2
Darrell Castle,President,,Constitution,Hancock,Arlington,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Arlington,0,,2
Jim Hedges,President,,Prohibition,Hancock,Arlington,0,,2
Gary Johnson,President,,Libertarian,Hancock,Arlington,10,,2
Jill Stein,President,,Green,Hancock,Arlington,3,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Arlington,93,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Arlington,196,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Arlington,17,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Arlington,1,,2
Hillary Clinton,President,,Democrat,Hancock,Bayou Phillip,70,,2
Donald J. Trump,President,,Republican,Hancock,Bayou Phillip,137,,2
Darrell Castle,President,,Constitution,Hancock,Bayou Phillip,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Bayou Phillip,0,,2
Jim Hedges,President,,Prohibition,Hancock,Bayou Phillip,0,,2
Gary Johnson,President,,Libertarian,Hancock,Bayou Phillip,1,,2
Jill Stein,President,,Green,Hancock,Bayou Phillip,1,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Bayou Phillip,72,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Bayou Phillip,112,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Bayou Phillip,13,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Bayou Phillip,5,,2
Hillary Clinton,President,,Democrat,Hancock,Catahoula,8,,2
Donald J. Trump,President,,Republican,Hancock,Catahoula,115,,2
Darrell Castle,President,,Constitution,Hancock,Catahoula,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Catahoula,0,,2
Jim Hedges,President,,Prohibition,Hancock,Catahoula,1,,2
Gary Johnson,President,,Libertarian,Hancock,Catahoula,4,,2
Jill Stein,President,,Green,Hancock,Catahoula,0,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Catahoula,16,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Catahoula,101,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Catahoula,6,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Catahoula,1,,2
Hillary Clinton,President,,Democrat,Hancock,City Hall,372,,2
Donald J. Trump,President,,Republican,Hancock,City Hall,156,,2
Darrell Castle,President,,Constitution,Hancock,City Hall,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,City Hall,0,,2
Jim Hedges,President,,Prohibition,Hancock,City Hall,0,,2
Gary Johnson,President,,Libertarian,Hancock,City Hall,4,,2
Jill Stein,President,,Green,Hancock,City Hall,3,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,City Hall,375,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,City Hall,137,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,City Hall,14,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,City Hall,2,,2
Hillary Clinton,President,,Democrat,Hancock,Courthouse,55,,2
Donald J. Trump,President,,Republican,Hancock,Courthouse,123,,2
Darrell Castle,President,,Constitution,Hancock,Courthouse,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Courthouse,0,,2
Jim Hedges,President,,Prohibition,Hancock,Courthouse,0,,2
Gary Johnson,President,,Libertarian,Hancock,Courthouse,5,,2
Jill Stein,President,,Green,Hancock,Courthouse,0,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Courthouse,65,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Courthouse,106,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Courthouse,10,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Courthouse,1,,2
Hillary Clinton,President,,Democrat,Hancock,Crane Creek,37,,2
Donald J. Trump,President,,Republican,Hancock,Crane Creek,658,,2
Darrell Castle,President,,Constitution,Hancock,Crane Creek,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Crane Creek,0,,2
Jim Hedges,President,,Prohibition,Hancock,Crane Creek,0,,2
Gary Johnson,President,,Libertarian,Hancock,Crane Creek,6,,2
Jill Stein,President,,Green,Hancock,Crane Creek,0,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Crane Creek,77,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Crane Creek,574,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Crane Creek,27,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Crane Creek,12,,2
Hillary Clinton,President,,Democrat,Hancock,Dedeaux,36,,2
Donald J. Trump,President,,Republican,Hancock,Dedeaux,422,,2
Darrell Castle,President,,Constitution,Hancock,Dedeaux,3,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Dedeaux,0,,2
Jim Hedges,President,,Prohibition,Hancock,Dedeaux,0,,2
Gary Johnson,President,,Libertarian,Hancock,Dedeaux,2,,2
Jill Stein,President,,Green,Hancock,Dedeaux,1,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Dedeaux,67,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Dedeaux,350,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Dedeaux,26,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Dedeaux,9,,2
Hillary Clinton,President,,Democrat,Hancock,Diamondhead East,525,,2
Donald J. Trump,President,,Republican,Hancock,Diamondhead East,2466,,2
Darrell Castle,President,,Constitution,Hancock,Diamondhead East,10,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Diamondhead East,3,,2
Jim Hedges,President,,Prohibition,Hancock,Diamondhead East,3,,2
Gary Johnson,President,,Libertarian,Hancock,Diamondhead East,72,,2
Jill Stein,President,,Green,Hancock,Diamondhead East,19,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Diamondhead East,606,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Diamondhead East,2173,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Diamondhead East,191,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Diamondhead East,63,,2
Hillary Clinton,President,,Democrat,Hancock,Diamondhead West,205,,2
Donald J. Trump,President,,Republican,Hancock,Diamondhead West,914,,2
Darrell Castle,President,,Constitution,Hancock,Diamondhead West,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Diamondhead West,1,,2
Jim Hedges,President,,Prohibition,Hancock,Diamondhead West,1,,2
Gary Johnson,President,,Libertarian,Hancock,Diamondhead West,27,,2
Jill Stein,President,,Green,Hancock,Diamondhead West,5,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Diamondhead West,222,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Diamondhead West,801,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Diamondhead West,81,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Diamondhead West,21,,2
Hillary Clinton,President,,Democrat,Hancock,Edwardsville,39,,2
Donald J. Trump,President,,Republican,Hancock,Edwardsville,350,,2
Darrell Castle,President,,Constitution,Hancock,Edwardsville,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Edwardsville,1,,2
Jim Hedges,President,,Prohibition,Hancock,Edwardsville,0,,2
Gary Johnson,President,,Libertarian,Hancock,Edwardsville,4,,2
Jill Stein,President,,Green,Hancock,Edwardsville,0,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Edwardsville,52,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Edwardsville,297,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Edwardsville,16,,2
Shawn O'Hara,U.S.House,4,Reform,Hancock,Edwardsville,16,,2
Hillary Clinton,President,,Democrat,Hancock,Fenton,55,,2
Donald J. Trump,President,,Republican,Hancock,Fenton,583,,2
Darrell Castle,President,,Constitution,Hancock,Fenton,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Hancock,Fenton,0,,2
Jim Hedges,President,,Prohibition,Hancock,Fenton,0,,2
Gary Johnson,President,,Libertarian,Hancock,Fenton,1,,2
Jill Stein,President,,Green,Hancock,Fenton,2,,2
Mark Gladney,U.S.House,4,Democrat,Hancock,Fenton,87,,2
Steven Palazzo,U.S.House,4,Republican,Hancock,Fenton,499,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Hancock,Fenton,28,,2
