candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,,,,,,,,,,,2
Jeb Bush,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,24
Ben Carson,President,,Republican,Jefferson Davis,Bassfield 26,4,,,,,,,,,,,,,,,,,,,,,,,,3
Chris Christie,President,,Republican,Jefferson Davis,Bassfield 26,1,,,,,,,,,,,,,,,,,,,,,,,,418
Ted Cruz,President,,Republican,Jefferson Davis,Bassfield 26,26,,,,,,,,,,,,,,,,,,,,,,,,0
Carly Florina,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,0
Lindsey Graham,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,1
Mike Huckabee,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,70
John R. Kasich,President,,Republican,Jefferson Davis,Bassfield 26,4,,,,,,,,,,,,,,,,,,,,,,,,0
George Pataki,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,0
Rand Paul,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,54
Marco Rubio,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,2
Rick Santorum,President,,Republican,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,764
Donald J. Trump,President,,Republican,Jefferson Davis,Bassfield 26,59,,,,,,,,,,,,,,,,,,,,,,,,1806
Hillary Clinton,President,,Democrat,Jefferson Davis,Bassfield 26,77,,,,,,,,,,,,,,,,,,,,,,,,0
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,5
Martin O'Mailey,President,,Democrat,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,190
Bernie Sanders,President,,Democrat,Jefferson Davis,Bassfield 26,10,,,,,,,,,,,,,,,,,,,,,,,,15
Willie Wilson,President,,Democrat,Jefferson Davis,Bassfield 26,0,,,,,,,,,,,,,,,,,,,,,,,,158
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Bassfield 26,16,,,,,,,,,,,,,,,,,,,,,,,,1120
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Bassfield 26,73,,,,,,,,,,,,,,,,,,,,,,,,1096
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Bassfield 26,48,,,,,,,,,,,,,,,,,,,,,,,,596
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Bassfield 26,24,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Bassfield 31,24,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Bassfield 31,5,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Bassfield 31,1,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Bassfield 31,27,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Bassfield 31,197,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Bassfield 31,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Bassfield 31,16,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Bassfield 31,1,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Bassfield 31,6,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Bassfield 31,47,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Bassfield 31,108,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Bassfield 31,72,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Bassfield 32,3,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Bassfield 32,21,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Bassfield 32,1,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Bassfield 32,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Bassfield 32,21,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Bassfield 32,189,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Bassfield 32,1,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Bassfield 32,1,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Bassfield 32,13,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Bassfield 32,1,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Bassfield 32,9,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Bassfield 32,34,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Bassfield 32,125,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Bassfield 32,56,,,,,,,,,,,,,,,,,,,,,,,,
