candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Jasper,Antioch,35,,2
Donald J. Trump,President,,Republican,Jasper,Antioch,251,,2
Darrell Castle,President,,Constitution,Jasper,Antioch,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Jasper,Antioch,0,,2
Jim Hedges,President,,Prohibition,Jasper,Antioch,0,,2
Gary Johnson,President,,Libertarian,Jasper,Antioch,1,,2
Jill Stein,President,,Green,Jasper,Antioch,1,,2
Gregg Harper,U.S. House,3,Republican,Jasper,Antioch,249,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jasper,Antioch,26,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jasper,Antioch,4,,2
Lajena Sheets,U.S. House,3,Reform,Jasper,Antioch,1,,2
Hillary Clinton,President,,Democrat,Jasper,Bay Springs Beat 3,451,,2
Donald J. Trump,President,,Republican,Jasper,Bay Springs Beat 3,353,,2
Darrell Castle,President,,Constitution,Jasper,Bay Springs Beat 3,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Jasper,Bay Springs Beat 3,1,,2
Jim Hedges,President,,Prohibition,Jasper,Bay Springs Beat 3,1,,2
Gary Johnson,President,,Libertarian,Jasper,Bay Springs Beat 3,9,,2
Jill Stein,President,,Green,Jasper,Bay Springs Beat 3,0,,2
Gregg Harper,U.S. House,3,Republican,Jasper,Bay Springs Beat 3,388,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jasper,Bay Springs Beat 3,390,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jasper,Bay Springs Beat 3,24,,2
Lajena Sheets,U.S. House,3,Reform,Jasper,Bay Springs Beat 3,5,,2
Hillary Clinton,President,,Democrat,Jasper,Bay Springs Beat 4,414,,2
Donald J. Trump,President,,Republican,Jasper,Bay Springs Beat 4,331,,2
Darrell Castle,President,,Constitution,Jasper,Bay Springs Beat 4,4,,2
Rocky' Roque De La Fuente,President,,American Delta,Jasper,Bay Springs Beat 4,0,,2
Jim Hedges,President,,Prohibition,Jasper,Bay Springs Beat 4,0,,2
Gary Johnson,President,,Libertarian,Jasper,Bay Springs Beat 4,1,,2
Jill Stein,President,,Green,Jasper,Bay Springs Beat 4,1,,2
Gregg Harper,U.S. House,3,Republican,Jasper,Bay Springs Beat 4,362,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jasper,Bay Springs Beat 4,361,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jasper,Bay Springs Beat 4,13,,2
Lajena Sheets,U.S. House,3,Reform,Jasper,Bay Springs Beat 4,5,,2
Hillary Clinton,President,,Democrat,Jasper,Claiborne,249,,2
Donald J. Trump,President,,Republican,Jasper,Claiborne,166,,2
Darrell Castle,President,,Constitution,Jasper,Claiborne,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jasper,Claiborne,1,,2
Jim Hedges,President,,Prohibition,Jasper,Claiborne,0,,2
Gary Johnson,President,,Libertarian,Jasper,Claiborne,0,,2
Jill Stein,President,,Green,Jasper,Claiborne,0,,2
Gregg Harper,U.S. House,3,Republican,Jasper,Claiborne,166,,2
Dennis C. Quinn,U.S. House,3,Democrat,Jasper,Claiborne,237,,2
Roger I. Gerrard,U.S. House,3,Veterans,Jasper,Claiborne,10,,2
Lajena Sheets,U.S. House,3,Reform,Jasper,Claiborne,1,,2
Hillary Clinton,President,,Democrat,Jasper,Fellowship,6,,2
Donald J. Trump,President,,Republican,Jasper,Fellowship,81,,2
Darrell Castle,President,,Constitution,Jasper,Fellowship,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Jasper,Fellowship,0,,2
Jim Hedges,President,,Prohibition,Jasper,Fellowship,0,,2
