candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Harrison,Advance,92,,2
Donald J. Trump,President,,Republican,Harrison,Advance,763,,2
Darrell Castle,President,,Constitution,Harrison,Advance,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,Advance,0,,2
Jim Hedges,President,,Prohibition,Harrison,Advance,0,,2
Gary Johnson,President,,Libertarian,Harrison,Advance,15,,2
Jill Stein,President,,Green,Harrison,Advance,1,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,Advance,121,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,Advance,684,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,Advance,42,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,Advance,22,,2
Hillary Clinton,President,,Democrat,Harrison,Bay Central,315,,2
Donald J. Trump,President,,Republican,Harrison,Bay Central,797,,2
Darrell Castle,President,,Constitution,Harrison,Bay Central,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,Bay Central,0,,2
Jim Hedges,President,,Prohibition,Harrison,Bay Central,0,,2
Gary Johnson,President,,Libertarian,Harrison,Bay Central,32,,2
Jill Stein,President,,Green,Harrison,Bay Central,9,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,Bay Central,351,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,Bay Central,692,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,Bay Central,75,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,Bay Central,12,,2
Hillary Clinton,President,,Democrat,Harrison,Biloxi # 11,860,,2
Donald J. Trump,President,,Republican,Harrison,Biloxi # 11,1753,,2
Darrell Castle,President,,Constitution,Harrison,Biloxi # 11,13,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,Biloxi # 11,0,,2
Jim Hedges,President,,Prohibition,Harrison,Biloxi # 11,2,,2
Gary Johnson,President,,Libertarian,Harrison,Biloxi # 11,75,,2
Jill Stein,President,,Green,Harrison,Biloxi # 11,18,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,Biloxi # 11,922,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,Biloxi # 11,1536,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,Biloxi # 11,162,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,Biloxi # 11,50,,2
Hillary Clinton,President,,Democrat,Harrison,Biloxi # 8,245,,2
Donald J. Trump,President,,Republican,Harrison,Biloxi # 8,467,,2
Darrell Castle,President,,Constitution,Harrison,Biloxi # 8,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,Biloxi # 8,0,,2
Jim Hedges,President,,Prohibition,Harrison,Biloxi # 8,1,,2
Gary Johnson,President,,Libertarian,Harrison,Biloxi # 8,12,,2
Jill Stein,President,,Green,Harrison,Biloxi # 8,4,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,Biloxi # 8,267,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,Biloxi # 8,388,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,Biloxi # 8,43,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,Biloxi # 8,10,,2
Hillary Clinton,President,,Democrat,Harrison,Biloxi 10,462,,2
Donald J. Trump,President,,Republican,Harrison,Biloxi 10,733,,2
Darrell Castle,President,,Constitution,Harrison,Biloxi 10,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,Biloxi 10,1,,2
Jim Hedges,President,,Prohibition,Harrison,Biloxi 10,1,,2
Gary Johnson,President,,Libertarian,Harrison,Biloxi 10,31,,2
Jill Stein,President,,Green,Harrison,Biloxi 10,6,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,Biloxi 10,491,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,Biloxi 10,624,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,Biloxi 10,70,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,Biloxi 10,31,,2
Hillary Clinton,President,,Democrat,Harrison,Biloxi Bay,347,,2
Donald J. Trump,President,,Republican,Harrison,Biloxi Bay,518,,2
Darrell Castle,President,,Constitution,Harrison,Biloxi Bay,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,Biloxi Bay,0,,2
Jim Hedges,President,,Prohibition,Harrison,Biloxi Bay,1,,2
Gary Johnson,President,,Libertarian,Harrison,Biloxi Bay,21,,2
Jill Stein,President,,Green,Harrison,Biloxi Bay,9,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,Biloxi Bay,349,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,Biloxi Bay,426,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,Biloxi Bay,75,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,Biloxi Bay,16,,2
Hillary Clinton,President,,Democrat,Harrison,Biloxy Central,415,,2
Donald J. Trump,President,,Republican,Harrison,Biloxy Central,524,,2
Darrell Castle,President,,Constitution,Harrison,Biloxy Central,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,Biloxy Central,0,,2
Jim Hedges,President,,Prohibition,Harrison,Biloxy Central,1,,2
Gary Johnson,President,,Libertarian,Harrison,Biloxy Central,23,,2
Jill Stein,President,,Green,Harrison,Biloxy Central,10,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,Biloxy Central,409,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,Biloxy Central,433,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,Biloxy Central,63,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,Biloxy Central,21,,2
Hillary Clinton,President,,Democrat,Harrison,County Farm/Gulf Haven,232,,2
Donald J. Trump,President,,Republican,Harrison,County Farm/Gulf Haven,1215,,2
Darrell Castle,President,,Constitution,Harrison,County Farm/Gulf Haven,4,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,County Farm/Gulf Haven,1,,2
Jim Hedges,President,,Prohibition,Harrison,County Farm/Gulf Haven,0,,2
Gary Johnson,President,,Libertarian,Harrison,County Farm/Gulf Haven,22,,2
Jill Stein,President,,Green,Harrison,County Farm/Gulf Haven,5,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,County Farm/Gulf Haven,291,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,County Farm/Gulf Haven,1032,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,County Farm/Gulf Haven,90,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,County Farm/Gulf Haven,26,,2
Hillary Clinton,President,,Democrat,Harrison,Delise,438,,2
Donald J. Trump,President,,Republican,Harrison,Delise,677,,2
Darrell Castle,President,,Constitution,Harrison,Delise,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,Delise,1,,2
Jim Hedges,President,,Prohibition,Harrison,Delise,0,,2
Gary Johnson,President,,Libertarian,Harrison,Delise,19,,2
Jill Stein,President,,Green,Harrison,Delise,9,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,Delise,457,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,Delise,598,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,Delise,54,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,Delise,15,,2
Hillary Clinton,President,,Democrat,Harrison,E Orange Grove,791,,2
Donald J. Trump,President,,Republican,Harrison,E Orange Grove,1165,,2
Darrell Castle,President,,Constitution,Harrison,E Orange Grove,5,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,E Orange Grove,0,,2
Jim Hedges,President,,Prohibition,Harrison,E Orange Grove,1,,2
Gary Johnson,President,,Libertarian,Harrison,E Orange Grove,49,,2
Jill Stein,President,,Green,Harrison,E Orange Grove,13,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,E Orange Grove,783,,2
Steven Palazzo,U.S.House,4,Republican,Harrison,E Orange Grove,1083,,2
Richard Blake McCluskey,U.S.House,4,Libertarian,Harrison,E Orange Grove,106,,2
Shawn O'Hara,U.S.House,4,Reform,Harrison,E Orange Grove,31,,2
Hillary Clinton,President,,Democrat,Harrison,E Pass Christian,565,,2
Donald J. Trump,President,,Republican,Harrison,E Pass Christian,661,,2
Darrell Castle,President,,Constitution,Harrison,E Pass Christian,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Harrison,E Pass Christian,2,,2
Jim Hedges,President,,Prohibition,Harrison,E Pass Christian,1,,2
Gary Johnson,President,,Libertarian,Harrison,E Pass Christian,30,,2
Jill Stein,President,,Green,Harrison,E Pass Christian,3,,2
Mark Gladney,U.S.House,4,Democrat,Harrison,E Pass Christian,573,,2
