candidate,office,district,party,county,precinct,votes,winner,page
Hillary Clinton,President,,Democrat,Humphreys,Belzoni - 4010,580,,2
Donald J. Trump,President,,Republican,Humphreys,Belzoni - 4010,267,,2
Darrell Castle,President,,Constitution,Humphreys,Belzoni - 4010,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Belzoni - 4010,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Belzoni - 4010,0,,2
Gary Johnson,President,,Libertarian,Humphreys,Belzoni - 4010,1,,2
Jill Stein,President,,Green,Humphreys,Belzoni - 4010,0,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Belzoni - 4010,201,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Belzoni - 4010,170,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Belzoni - 4010,6,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Belzoni - 4010,15,,2
Hillary Clinton,President,,Democrat,Humphreys,Belzoni North - 1bn 1020,703,,2
Donald J. Trump,President,,Republican,Humphreys,Belzoni North - 1bn 1020,164,,2
Darrell Castle,President,,Constitution,Humphreys,Belzoni North - 1bn 1020,4,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Belzoni North - 1bn 1020,2,,2
Jim Hedges,President,,Prohibition,Humphreys,Belzoni North - 1bn 1020,1,,2
Gary Johnson,President,,Libertarian,Humphreys,Belzoni North - 1bn 1020,1,,2
Jill Stein,President,,Green,Humphreys,Belzoni North - 1bn 1020,2,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Belzoni North - 1bn 1020,123,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Belzoni North - 1bn 1020,720,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Belzoni North - 1bn 1020,6,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Belzoni North - 1bn 1020,12,,2
Hillary Clinton,President,,Democrat,Humphreys,Belzoni North - 2bn 2020,76,,2
Donald J. Trump,President,,Republican,Humphreys,Belzoni North - 2bn 2020,4,,2
Darrell Castle,President,,Constitution,Humphreys,Belzoni North - 2bn 2020,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Belzoni North - 2bn 2020,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Belzoni North - 2bn 2020,0,,2
Gary Johnson,President,,Libertarian,Humphreys,Belzoni North - 2bn 2020,0,,2
Jill Stein,President,,Green,Humphreys,Belzoni North - 2bn 2020,1,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Belzoni North - 2bn 2020,0,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Belzoni North - 2bn 2020,221,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Belzoni North - 2bn 2020,2,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Belzoni North - 2bn 2020,1,,2
Hillary Clinton,President,,Democrat,Humphreys,Belzoni South - 3bs 3010,322,,2
Donald J. Trump,President,,Republican,Humphreys,Belzoni South - 3bs 3010,8,,2
Darrell Castle,President,,Constitution,Humphreys,Belzoni South - 3bs 3010,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Belzoni South - 3bs 3010,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Belzoni South - 3bs 3010,0,,2
Gary Johnson,President,,Libertarian,Humphreys,Belzoni South - 3bs 3010,0,,2
Jill Stein,President,,Green,Humphreys,Belzoni South - 3bs 3010,0,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Belzoni South - 3bs 3010,4,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Belzoni South - 3bs 3010,318,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Belzoni South - 3bs 3010,4,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Belzoni South - 3bs 3010,2,,2
Hillary Clinton,President,,Democrat,Humphreys,Belzoni South - 5bs 5010,301,,2
Donald J. Trump,President,,Republican,Humphreys,Belzoni South - 5bs 5010,5,,2
Darrell Castle,President,,Constitution,Humphreys,Belzoni South - 5bs 5010,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Belzoni South - 5bs 5010,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Belzoni South - 5bs 5010,0,,2
Gary Johnson,President,,Libertarian,Humphreys,Belzoni South - 5bs 5010,0,,2
Jill Stein,President,,Green,Humphreys,Belzoni South - 5bs 5010,0,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Belzoni South - 5bs 5010,5,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Belzoni South - 5bs 5010,295,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Belzoni South - 5bs 5010,2,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Belzoni South - 5bs 5010,2,,2
Hillary Clinton,President,,Democrat,Humphreys,Fourmile North - 1fn 1010,2,,2
Donald J. Trump,President,,Republican,Humphreys,Fourmile North - 1fn 1010,34,,2
Darrell Castle,President,,Constitution,Humphreys,Fourmile North - 1fn 1010,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Fourmile North - 1fn 1010,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Fourmile North - 1fn 1010,0,,2
Gary Johnson,President,,Libertarian,Humphreys,Fourmile North - 1fn 1010,0,,2
Jill Stein,President,,Green,Humphreys,Fourmile North - 1fn 1010,0,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Fourmile North - 1fn 1010,25,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Fourmile North - 1fn 1010,6,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Fourmile North - 1fn 1010,1,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Fourmile North - 1fn 1010,3,,2
Hillary Clinton,President,,Democrat,Humphreys,Gooden Lake North - 2gn 2030,6,,2
Donald J. Trump,President,,Republican,Humphreys,Gooden Lake North - 2gn 2030,39,,2
Darrell Castle,President,,Constitution,Humphreys,Gooden Lake North - 2gn 2030,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Gooden Lake North - 2gn 2030,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Gooden Lake North - 2gn 2030,0,,2
Gary Johnson,President,,Libertarian,Humphreys,Gooden Lake North - 2gn 2030,0,,2
Jill Stein,President,,Green,Humphreys,Gooden Lake North - 2gn 2030,0,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Gooden Lake North - 2gn 2030,30,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Gooden Lake North - 2gn 2030,9,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Gooden Lake North - 2gn 2030,2,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Gooden Lake North - 2gn 2030,1,,2
Hillary Clinton,President,,Democrat,Humphreys,Isola North - 2in 2010,416,,2
Donald J. Trump,President,,Republican,Humphreys,Isola North - 2in 2010,142,,2
Darrell Castle,President,,Constitution,Humphreys,Isola North - 2in 2010,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Isola North - 2in 2010,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Isola North - 2in 2010,2,,2
Gary Johnson,President,,Libertarian,Humphreys,Isola North - 2in 2010,1,,2
Jill Stein,President,,Green,Humphreys,Isola North - 2in 2010,0,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Isola North - 2in 2010,102,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Isola North - 2in 2010,430,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Isola North - 2in 2010,6,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Isola North - 2in 2010,13,,2
Hillary Clinton,President,,Democrat,Humphreys,Lake City South - 3ls 3030,12,,2
Donald J. Trump,President,,Republican,Humphreys,Lake City South - 3ls 3030,83,,2
Darrell Castle,President,,Constitution,Humphreys,Lake City South - 3ls 3030,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Lake City South - 3ls 3030,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Lake City South - 3ls 3030,0,,2
Gary Johnson,President,,Libertarian,Humphreys,Lake City South - 3ls 3030,0,,2
Jill Stein,President,,Green,Humphreys,Lake City South - 3ls 3030,0,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Lake City South - 3ls 3030,60,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Lake City South - 3ls 3030,28,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Lake City South - 3ls 3030,2,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Lake City South - 3ls 3030,4,,2
Hillary Clinton,President,,Democrat,Humphreys,Louise South - 5ls 5030,322,,2
Donald J. Trump,President,,Republican,Humphreys,Louise South - 5ls 5030,103,,2
Darrell Castle,President,,Constitution,Humphreys,Louise South - 5ls 5030,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Louise South - 5ls 5030,2,,2
Jim Hedges,President,,Prohibition,Humphreys,Louise South - 5ls 5030,1,,2
Gary Johnson,President,,Libertarian,Humphreys,Louise South - 5ls 5030,6,,2
Jill Stein,President,,Green,Humphreys,Louise South - 5ls 5030,0,,2
John Bouie ii,U.S.House,2,Republican,Humphreys,Louise South - 5ls 5030,0,,2
Bennie G. Thompson,U.S.House,2,Democrat,Humphreys,Louise South - 5ls 5030,331,,2
Johnny McLeod,U.S.House,2,Reform,Humphreys,Louise South - 5ls 5030,4,,2
Troy Ray,U.S.House,2,Independent,Humphreys,Louise South - 5ls 5030,4,,2
Hillary Clinton,President,,Democrat,Humphreys,Midnight South - 5ms 5020,68,,2
Donald J. Trump,President,,Republican,Humphreys,Midnight South - 5ms 5020,65,,2
Darrell Castle,President,,Constitution,Humphreys,Midnight South - 5ms 5020,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Humphreys,Midnight South - 5ms 5020,0,,2
Jim Hedges,President,,Prohibition,Humphreys,Midnight South - 5ms 5020,0,,2
Gary Johnson,President,,Libertarian,Humphreys,Midnight South - 5ms 5020,1,,2
Jill Stein,President,,Green,Humphreys,Midnight South - 5ms 5020,0,,2
