page,candidate,office,district,party,county,precinct,votes,winner,
2,Phil Bryant,Governor,,R,Jefferson Davis,Granby 11,40,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Granby 11,67,,
2,Phil Bryant,Governor,,R,Jefferson Davis,South Prentiss 12,386,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,South Prentiss 12,169,,
2,Phil Bryant,Governor,,R,Jefferson Davis,south Prentiss 13,132,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,south Prentiss 13,232,,
2,Phil Bryant,Governor,,R,Jefferson Davis,Bournham 21,0,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Bournham 21,0,,
2,Phil Bryant,Governor,,R,Jefferson Davis,Carson 22,167,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Carson 22,59,,
2,Phil Bryant,Governor,,R,Jefferson Davis,Green's Creek 23,211,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Green's Creek 23,62,,
2,Phil Bryant,Governor,,R,Jefferson Davis,Hathorn 24,107,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Hathorn 24,43,,
2,Phil Bryant,Governor,,R,Jefferson Davis,Son's Academy 25,45,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Son's Academy 25,144,,
2,Phil Bryant,Governor,,R,Jefferson Davis,Bassfield 26,168,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Bassfield 26,145,,
2,Phil Bryant,Governor,,R,Jefferson Davis,Bassfield 31,128,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Bassfield 31,334,,
2,Phil Bryant,Governor,,R,Jefferson Davis,Bassfield 32,99,,
2,Johnny L. DuPree,Governor,,D,Jefferson Davis,Bassfield 32,336,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Good Hope 33,121,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Good Hope 33,84,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Melba 34,40,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Melba 34,16,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Clem 41,82,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Clem 41,87,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Mt Carmel 42,9,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Mt Carmel 42,175,,
3,Phil Bryant,Governor,,R,Jefferson Davis,North East Prentiss 43,123,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,North East Prentiss 43,387,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Williamson Mill 44,170,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Williamson Mill 44,102,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Gwinville 51,34,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Gwinville 51,85,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Hebron 52,52,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Hebron 52,47,,
3,Phil Bryant,Governor,,R,Jefferson Davis,North West Prentiss 53,63,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,North West Prentiss 53,155,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Red House 55,86,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Red House 55,170,,
3,Phil Bryant,Governor,,R,Jefferson Davis,Whiting 56,50,,
3,Johnny L. DuPree,Governor,,D,Jefferson Davis,Whiting 56,214,,
4,Phil Bryant,Governor,,R,Jefferson Davis,City of Prentiss,0,,
4,Johnny L. DuPree,Governor,,D,Jefferson Davis,City of Prentiss,0,,
4,Phil Bryant,Governor,,R,Jefferson Davis,Mubass,x,,
4,Johnny L. DuPree,Governor,,D,Jefferson Davis,Mubass,x,,
4,Phil Bryant,Governor,,R,Jefferson Davis,TOTAL,2313,,
4,Johnny L. DuPree,Governor,,D,Jefferson Davis,TOTAL,3113,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Granby 11,62,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Granby 11,33,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,South Prentiss 12,427,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,South Prentiss 12,93,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,south Prentiss 13,217,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,south Prentiss 13,97,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Bournham 21,0,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Bournham 21,0,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Carson 22,186,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Carson 22,30,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Green's Creek 23,224,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Green's Creek 23,34,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Hathorn 24,133,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Hathorn 24,15,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Son's Academy 25,86,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Son's Academy 25,76,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Bassfield 26,218,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Bassfield 26,65,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Bassfield 31,224,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Bassfield 31,132,,
2,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Bassfield 32,209,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Bassfield 32,122,,
3,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Good Hope 33,146,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Good Hope 33,31,,
3,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Melba 34,41,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Melba 34,9,,
3,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Clem 41,109,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Jefferson Davis,Clem 41,41,,
3,Tate Reeves,Lieutenant Governor,,R,Jefferson Davis,Mt Carmel 42,76,,
