page,candidate,office,district,party,county,precinct,votes,winner,
2,Johnny L. DuPree,Governor,,D,Clay ,Cairo,129,,
2,Phil Bryant,Governor,,R,Clay ,Cairo,156,,
2,Johnny L. DuPree,Governor,,D,Clay ,Caradine,381,,
2,Phil Bryant,Governor,,R,Clay ,Caradine,82,,
2,Johnny L. DuPree,Governor,,D,Clay ,Cedar Bluff,22,,
2,Phil Bryant,Governor,,R,Clay ,Cedar Bluff,136,,
2,Johnny L. DuPree,Governor,,D,Clay ,Central-West Point,266,,
2,Phil Bryant,Governor,,R,Clay ,Central-West Point,347,,
2,Johnny L. DuPree,Governor,,D,Clay ,East-West Point,403,,
2,Phil Bryant,Governor,,R,Clay ,East-West Point,787,,
2,Johnny L. DuPree,Governor,,D,Clay ,North-West Point,585,,
2,Phil Bryant,Governor,,R,Clay ,North-West Point,432,,
2,Johnny L. DuPree,Governor,,D,Clay ,Pheba,196,,
2,Phil Bryant,Governor,,R,Clay ,Pheba,205,,
2,Johnny L. DuPree,Governor,,D,Clay ,Pine Bluff,219,,
2,Phil Bryant,Governor,,R,Clay ,Pine Bluff,65,,
2,Johnny L. DuPree,Governor,,D,Clay ,Siloam,201,,
2,Phil Bryant,Governor,,R,Clay ,Siloam,398,,
2,Johnny L. DuPree,Governor,,D,Clay ,South-West Point,392,,
2,Phil Bryant,Governor,,R,Clay ,South-West Point,286,,
2,Johnny L. DuPree,Governor,,D,Clay ,Tibbee,155,,
2,Phil Bryant,Governor,,R,Clay ,Tibbee,93,,
3,Johnny L. DuPree,Governor,,D,Clay ,Union Star,240,,
3,Phil Bryant,Governor,,R,Clay ,Union Star,179,,
3,Johnny L. DuPree,Governor,,D,Clay ,Vinton,189,,
3,Phil Bryant,Governor,,R,Clay ,Vinton,159,,
3,Johnny L. DuPree,Governor,,D,Clay ,West-West Point,517,,
3,Phil Bryant,Governor,,R,Clay ,West-West Point,227,,
3,Johnny L. DuPree,Governor,,D,Clay ,TOTAL ,3895,,
3,Phil Bryant,Governor,,R,Clay ,TOTAL ,3552,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,Cairo,196,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Cairo,56,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,Caradine,162,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Caradine,153,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,Cedar Bluff,144,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Cedar Bluff,9,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,Central-West Point,422,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Central-West Point,136,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,East-West Point,903,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,East-West Point,174,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,North-West Point,588,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,North-West Point,291,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,Pheba,251,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Pheba,88,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,Pine Bluff,112,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Pine Bluff,110,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,Siloam,436,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Siloam,94,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,South-West Point,398,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,South-West Point,190,,
2,Tate Reeves,Lieutenant Governor,,R,Clay ,Tibbee,131,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Tibbee,58,,
3,Tate Reeves,Lieutenant Governor,,R,Clay ,Union Star,251,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Union Star,92,,
3,Tate Reeves,Lieutenant Governor,,R,Clay ,Vinton,204,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,Vinton,73,,
3,Tate Reeves,Lieutenant Governor,,R,Clay ,West-West Point,363,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,West-West Point,234,,
3,Tate Reeves,Lieutenant Governor,,R,Clay ,TOTAL ,4561,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clay ,TOTAL ,1758,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,Cairo,210,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,Caradine,241,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,Cedar Bluff,141,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,Central-West Point,493,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,East-West Point,1002,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,North-West Point,782,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,Pheba,288,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,Pine Bluff,177,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,Siloam,494,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,South-West Point,497,,
2,Delbert Hosemann,Secretary of State,,R,Clay ,Tibbee,163,,
3,Delbert Hosemann,Secretary of State,,R,Clay ,Union Star,290,,
3,Delbert Hosemann,Secretary of State,,R,Clay ,Vinton,236,,
3,Delbert Hosemann,Secretary of State,,R,Clay ,West-West Point,472,,
3,Delbert Hosemann,Secretary of State,,R,Clay ,TOTAL ,5486,,
2,Jim Hood,Attorney General,,D,Clay ,Cairo,209,,
2,Steve Simpson,Attorney General,,R,Clay ,Cairo,71,,
2,Jim Hood,Attorney General,,D,Clay ,Caradine,409,,
2,Steve Simpson,Attorney General,,R,Clay ,Caradine,44,,
2,Jim Hood,Attorney General,,D,Clay ,Cedar Bluff,83,,
2,Steve Simpson,Attorney General,,R,Clay ,Cedar Bluff,72,,
2,Jim Hood,Attorney General,,D,Clay ,Central-West Point,420,,
2,Steve Simpson,Attorney General,,R,Clay ,Central-West Point,191,,
2,Jim Hood,Attorney General,,D,Clay ,East-West Point,670,,
2,Steve Simpson,Attorney General,,R,Clay ,East-West Point,500,,
2,Jim Hood,Attorney General,,D,Clay ,North-West Point,714,,
2,Steve Simpson,Attorney General,,R,Clay ,North-West Point,284,,
2,Jim Hood,Attorney General,,D,Clay ,Pheba,261,,
2,Steve Simpson,Attorney General,,R,Clay ,Pheba,134,,
2,Jim Hood,Attorney General,,D,Clay ,Pine Bluff,248,,
2,Steve Simpson,Attorney General,,R,Clay ,Pine Bluff,32,,
2,Jim Hood,Attorney General,,D,Clay ,Siloam,359,,
2,Steve Simpson,Attorney General,,R,Clay ,Siloam,229,,
2,Jim Hood,Attorney General,,D,Clay ,South-West Point,525,,
2,Steve Simpson,Attorney General,,R,Clay ,South-West Point,140,,
2,Jim Hood,Attorney General,,D,Clay ,Tibbee,182,,
2,Steve Simpson,Attorney General,,R,Clay ,Tibbee,61,,
3,Jim Hood,Attorney General,,D,Clay ,Union Star,262,,
3,Steve Simpson,Attorney General,,R,Clay ,Union Star,146,,
3,Jim Hood,Attorney General,,D,Clay ,Vinton,234,,
3,Steve Simpson,Attorney General,,R,Clay ,Vinton,107,,
3,Jim Hood,Attorney General,,D,Clay ,West-West Point,584,,
3,Steve Simpson,Attorney General,,R,Clay ,West-West Point,137,,
3,Jim Hood,Attorney General,,D,Clay ,TOTAL ,5160,,
3,Steve Simpson,Attorney General,,R,Clay ,TOTAL ,2148,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,Cairo,175,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,Cairo,71,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,Caradine,117,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,Caradine,199,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,Cedar Bluff,134,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,Cedar Bluff,18,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,Central-West Point,383,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,Central-West Point,170,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,East-West Point,852,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,East-West Point,205,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,North-West Point,528,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,North-West Point,338,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,Pheba,217,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,Pheba,105,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,Pine Bluff,90,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,Pine Bluff,131,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,Siloam,415,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,Siloam,111,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,South-West Point,349,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,South-West Point,224,,
2,Stacey E. Pickering ,State Auditor ,,R,Clay ,Tibbee,127,,
2,Ashley Norwood,State Auditor ,,Reform ,Clay ,Tibbee,68,,
3,Stacey E. Pickering ,State Auditor ,,R,Clay ,Union Star,223,,
3,Ashley Norwood,State Auditor ,,Reform ,Clay ,Union Star,114,,
3,Stacey E. Pickering ,State Auditor ,,R,Clay ,Vinton,188,,
3,Ashley Norwood,State Auditor ,,Reform ,Clay ,Vinton,82,,
3,Stacey E. Pickering ,State Auditor ,,R,Clay ,West-West Point,308,,
3,Ashley Norwood,State Auditor ,,Reform ,Clay ,West-West Point,266,,
3,Stacey E. Pickering ,State Auditor ,,R,Clay ,TOTAL ,4106,,
3,Ashley Norwood,State Auditor ,,Reform ,Clay ,TOTAL ,2102,,
2,Connie Moran,State Treasurer,,D,Clay ,Cairo,119,,
2,Lynn Fitch,State Treasurer,,R,Clay ,Cairo,148,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Cairo,7,,
2,Connie Moran,State Treasurer,,D,Clay ,Caradine,372,,
2,Lynn Fitch,State Treasurer,,R,Clay ,Caradine,76,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Caradine,9,,
2,Connie Moran,State Treasurer,,D,Clay ,Cedar Bluff,24,,
2,Lynn Fitch,State Treasurer,,R,Clay ,Cedar Bluff,120,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Cedar Bluff,11,,
2,Connie Moran,State Treasurer,,D,Clay ,Central-West Point,263,,
2,Lynn Fitch,State Treasurer,,R,Clay ,Central-West Point,325,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Central-West Point,18,,
2,Connie Moran,State Treasurer,,D,Clay ,East-West Point,377,,
2,Lynn Fitch,State Treasurer,,R,Clay ,East-West Point,756,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,East-West Point,31,,
2,Connie Moran,State Treasurer,,D,Clay ,North-West Point,543,,
2,Lynn Fitch,State Treasurer,,R,Clay ,North-West Point,429,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,North-West Point,27,,
2,Connie Moran,State Treasurer,,D,Clay ,Pheba,183,,
2,Lynn Fitch,State Treasurer,,R,Clay ,Pheba,198,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Pheba,10,,
2,Connie Moran,State Treasurer,,D,Clay ,Pine Bluff,192,,
2,Lynn Fitch,State Treasurer,,R,Clay ,Pine Bluff,75,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Pine Bluff,6,,
2,Connie Moran,State Treasurer,,D,Clay ,Siloam,196,,
2,Lynn Fitch,State Treasurer,,R,Clay ,Siloam,373,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Siloam,18,,
2,Connie Moran,State Treasurer,,D,Clay ,South-West Point,361,,
2,Lynn Fitch,State Treasurer,,R,Clay ,South-West Point,279,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,South-West Point,18,,
2,Connie Moran,State Treasurer,,D,Clay ,Tibbee,144,,
2,Lynn Fitch,State Treasurer,,R,Clay ,Tibbee,90,,
2,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Tibbee,10,,
3,Connie Moran,State Treasurer,,D,Clay ,Union Star,216,,
3,Lynn Fitch,State Treasurer,,R,Clay ,Union Star,174,,
3,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Union Star,14,,
3,Connie Moran,State Treasurer,,D,Clay ,Vinton,179,,
3,Lynn Fitch,State Treasurer,,R,Clay ,Vinton,151,,
3,Shawn O'Hara,State Treasurer,,Reform ,Clay ,Vinton,10,,
3,Connie Moran,State Treasurer,,D,Clay ,West-West Point,460,,
3,Lynn Fitch,State Treasurer,,R,Clay ,West-West Point,239,,
3,Shawn O'Hara,State Treasurer,,Reform ,Clay ,West-West Point,17,,
3,Connie Moran,State Treasurer,,D,Clay ,TOTAL ,3629,,
3,Lynn Fitch,State Treasurer,,R,Clay ,TOTAL ,3433,,
3,Shawn O'Hara,State Treasurer,,Reform ,Clay ,TOTAL ,206,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Cairo,129,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Cairo,144,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Cairo,2,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Caradine,372,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Caradine,74,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Caradine,9,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Cedar Bluff,27,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Cedar Bluff,121,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Cedar Bluff,4,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Central-West Point,283,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Central-West Point,305,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Central-West Point,16,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,East-West Point,401,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,East-West Point,755,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,East-West Point,8,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,North-West Point,569,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,North-West Point,415,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,North-West Point,12,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Pheba,196,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Pheba,183,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Pheba,8,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Pine Bluff,199,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Pine Bluff,66,,
4,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Pine Bluff,9,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Siloam,207,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Siloam,373,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Siloam,6,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,South-West Point,382,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,South-West Point,260,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,South-West Point,15,,
2,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Tibbee,149,,
2,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Tibbee,93,,
3,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Tibbee,2,,
3,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Union Star,216,,
3,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Union Star,181,,
4,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Union Star,7,,
3,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,Vinton,189,,
3,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,Vinton,143,,
4,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,Vinton,8,,
3,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,West-West Point,490,,
3,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,West-West Point,216,,
4,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,West-West Point,13,,
3,Joel Gill,Commissioner of Agriculture & Commerce,,D,Clay ,TOTAL ,3809,,
3,Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Clay ,TOTAL ,3329,,
4,Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform ,Clay ,TOTAL ,119,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,Cairo,113,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Cairo,148,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Cairo,11,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,Caradine,363,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Caradine,82,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Caradine,11,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,Cedar Bluff,29,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Cedar Bluff,122,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Cedar Bluff,5,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,Central-West Point,236,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Central-West Point,348,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Central-West Point,23,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,East-West Point,354,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,East-West Point,788,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,East-West Point,22,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,North-West Point,527,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,North-West Point,448,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,North-West Point,29,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,Pheba,182,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Pheba,195,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Pheba,15,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,Pine Bluff,188,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Pine Bluff,70,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Pine Bluff,15,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,Siloam,184,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Siloam,386,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Siloam,20,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,South-West Point,350,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,South-West Point,286,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,South-West Point,20,,
3,Louis Fondren,Commissioner of Insurance,,D,Clay ,Tibbee,141,,
3,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Tibbee,92,,
3,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Tibbee,11,,
4,Louis Fondren,Commissioner of Insurance,,D,Clay ,Union Star,209,,
4,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Union Star,189,,
4,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Union Star,4,,
4,Louis Fondren,Commissioner of Insurance,,D,Clay ,Vinton,175,,
4,Mike Chaney,Commissioner of Insurance,,R ,Clay ,Vinton,158,,
4,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,Vinton,11,,
4,Louis Fondren,Commissioner of Insurance,,D,Clay ,West-West Point,465,,
4,Mike Chaney,Commissioner of Insurance,,R ,Clay ,West-West Point,236,,
4,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,West-West Point,21,,
4,Louis Fondren,Commissioner of Insurance,,D,Clay ,TOTAL ,3516,,
4,Mike Chaney,Commissioner of Insurance,,R ,Clay ,TOTAL ,3548,,
4,Barbara Dale Washer,Commissioner of Insurance,,Reform ,Clay ,TOTAL ,218,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,Cairo,235,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,Caradine,428,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,Cedar Bluff,132,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,Central-West Point,551,,
