page,candidate,office,district,party,county,precinct,votes,winner,
2,Phil Bryant,Governor,,R,Clarke,South Quitman,212,,
2,Johnny L. DuPree,Governor,,D,Clarke,South Quitman,444,,
2,Phil Bryant,Governor,,R,Clarke,Harmony Dist. 1,60,,
2,Johnny L. DuPree,Governor,,D,Clarke,Harmony Dist. 1,26,,
2,Phil Bryant,Governor,,R,Clarke,Stonewall Dist. 1,82,,
2,Johnny L. DuPree,Governor,,D,Clarke,Stonewall Dist. 1,180,,
2,Phil Bryant,Governor,,R,Clarke,Shubuta,94,,
2,Johnny L. DuPree,Governor,,D,Clarke,Shubuta,316,,
2,Phil Bryant,Governor,,R,Clarke,Beaverdam,50,,
2,Johnny L. DuPree,Governor,,D,Clarke,Beaverdam,129,,
2,Phil Bryant,Governor,,R,Clarke,Harmony Dist. 2,133,,
2,Johnny L. DuPree,Governor,,D,Clarke,Harmony Dist. 2,69,,
2,Phil Bryant,Governor,,R,Clarke,Oakgrove,39,,
2,Johnny L. DuPree,Governor,,D,Clarke,Oakgrove,137,,
2,Phil Bryant,Governor,,R,Clarke,Pachuta,67,,
2,Johnny L. DuPree,Governor,,D,Clarke,Pachuta,133,,
2,Phil Bryant,Governor,,R,Clarke,Souinlovie,120,,
2,Johnny L. DuPree,Governor,,D,Clarke,Souinlovie,20,,
2,Phil Bryant,Governor,,R,Clarke,Rolling Creek,147,,
2,Johnny L. DuPree,Governor,,D,Clarke,Rolling Creek,14,,
2,Phil Bryant,Governor,,R,Clarke,Stonewall Dist. 3,275,,
2,Johnny L. DuPree,Governor,,D,Clarke,Stonewall Dist. 3,60,,
3,Phil Bryant,Governor,,R,Clarke,Enterprise,709,,
3,Johnny L. DuPree,Governor,,D,Clarke,Enterprise,202,,
3,Phil Bryant,Governor,,R,Clarke,Pineridge,47,,
3,Johnny L. DuPree,Governor,,D,Clarke,Pineridge,62,,
3,Phil Bryant,Governor,,R,Clarke,Snell,128,,
3,Johnny L. DuPree,Governor,,D,Clarke,Snell,3,,
3,Phil Bryant,Governor,,R,Clarke,Energy ,139,,
3,Johnny L. DuPree,Governor,,D,Clarke,Energy ,14,,
3,Phil Bryant,Governor,,R,Clarke,Union,397,,
3,Johnny L. DuPree,Governor,,D,Clarke,Union,31,,
3,Phil Bryant,Governor,,R,Clarke,North Quitman,215,,
3,Johnny L. DuPree,Governor,,D,Clarke,North Quitman,63,,
3,Phil Bryant,Governor,,R,Clarke,Langsdale,19,,
3,Johnny L. DuPree,Governor,,D,Clarke,Langsdale,39,,
3,Phil Bryant,Governor,,R,Clarke,Manassa,88,,
3,Johnny L. DuPree,Governor,,D,Clarke,Manassa,4,,
3,Phil Bryant,Governor,,R,Clarke,Springs,60,,
3,Johnny L. DuPree,Governor,,D,Clarke,Springs,56,,
3,Phil Bryant,Governor,,R,Clarke,Desoto,97,,
3,Johnny L. DuPree,Governor,,D,Clarke,Desoto,98,,
3,Phil Bryant,Governor,,R,Clarke,Carmichael,180,,
3,Johnny L. DuPree,Governor,,D,Clarke,Carmichael,62,,
4,Phil Bryant,Governor,,R,Clarke,East Quitman,964,,
4,Johnny L. DuPree,Governor,,D,Clarke,East Quitman,109,,
4,Phil Bryant,Governor,,R,Clarke,TOTAL ,4322,,
4,Johnny L. DuPree,Governor,,D,Clarke,TOTAL ,2271,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clarke,South Quitman,218,,
2,Tate Reeves,Lieutenant Governor,,R,Clarke,South Quitman,319,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clarke,Harmony Dist. 1,12,,
2,Tate Reeves,Lieutenant Governor,,R,Clarke,Harmony Dist. 1,61,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clarke,Stonewall Dist. 1,85,,
2,Tate Reeves,Lieutenant Governor,,R,Clarke,Stonewall Dist. 1,115,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clarke,Shubuta,171,,
2,Tate Reeves,Lieutenant Governor,,R,Clarke,Shubuta,163,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clarke,Beaverdam,59,,
2,Tate Reeves,Lieutenant Governor,,R,Clarke,Beaverdam,66,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clarke,Harmony Dist. 2,40,,
2,Tate Reeves,Lieutenant Governor,,R,Clarke,Harmony Dist. 2,144,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Clarke,Oakgrove,74,,
2,Tate Reeves,Lieutenant Governor,,R,Clarke,Oakgrove,62,,
