candidate,office,district,party,county,votes
"William Bond Compton, Jr.",Governor,,D,Adams,508
Johnny L. Dupree,Governor,,D,Adams,4266
Bill Luckett,Governor,,D,Adams,2094
Gay Dale Shaw,Governor,,D,Adams,408
Jim Hood,Attorney General,,D,Adams,6407
Connie Moran,State Treasurer,,D,Adams,5611
Joe Gill,Commissioner of Agriculture and Commerce,,D,Adams,5763
Louis Fondren,Commissioner of Insurance,,D,Adams,5596
Bill Stone,Senate,2,D,Adams,
"Henry Boyd, Jr.",Senate,2,D,Adams,
Nickey Browining,Senate,3,D,Adams,
Eric Powell,Senate,4,D,Adams,
J P Wilemon,Senate,5,D,Adams,
Stacey Dale Scott,Senate,6,D,Adams,
Hob Bryan,Senate,7,D,Adams,
Marshall Coleman,Senate,8,D,Adams,
Russell Jolly,Senate,8,D,Adams,
Sherman Carouthers,Senate,8,D,Adams,
Gray Tollison,Senate,9,D,Adams,
Steve Hale,Senate,10,D,Adams,
Michael Cathey,Senate,10,D,Adams,
Robert Jackson,Senate,11,D,Adams,
Derek T. Simmons,Senate,12,D,Adams,
Willie L. Simmons,Senate,13,D,Adams,
Carlos Moore,Senate,14,D,Adams,
Bennie L. Turner,Senate,16,D,Adams,
Steven Kilgore,Senate,18,D,Adams,
Kenneth Wayne Jones,Senate,21,D,Adams,
Franklin Mallett Jr.,Senate,21,D,Adams,
Mala Brooks,Senate,22,D,Adams,
"George ""Boo"" Hollowell",Senate,22,D,Adams,
David Jordan,Senate,24,D,Adams,
Earl G. Blackmon,Senate,24,D,Adams,
Cecilia Sampayo,Senate,25,D,Adams,
John A. Horn,Senate,26,D,Adams,
Hillman Terome Frazer,Senate,27,D,Adams,
Alice Varnado Harden,Senate,28,D,Adams,
David Blount,Senate,29,D,Adams,
Melvin Hendricks,Senate,31,D,Adams,
Clark Adams,Senate,32,D,Adams,
Sampson Jackson,Senate,32,D,Adams,
Haskins Montgomery,Senate,34,D,Adams,
Albert Butler,Senate,36,D,Adams,
Bob Dearing,Senate,37,D,Adams,5457
Kelvin E. Butler,Senate,38,D,Adams,1178
W L Rayburn,Senate,39,D,Adams,
Michael Smith,Senate,39,D,Adams,
Dennis Cochran,Senate,43,D,Adams,
James Walley,Senate,43,D,Adams,
Joe Bye,Senate,46,D,Adams,
Deborah Dawkins,Senate,48,D,Adams,
Thomas McCarley,House,1,D,Adams,
Rex Weathers,House,1,D,Adams,
Nick Bain,House,2,D,Adams,
Bobby Wren,House,3,D,Adams,
Jimmy Wayne Russell,House,3,D,Adams,
Tommy Cadle,House,3,D,Adams,
Steve Fisher,House,4,D,Adams,
James Nunnally,House,4,D,Adams,
Jody Steverson,House,4,D,Adams,
Kevin O. Buck,House,5,D,Adams,
Clara Henderson Burnett,House,9,D,Adams,
Jordan Bankhead,House,10,D,Adams,
Greg Hodges,House,10,D,Adams,
Joe C. Gardner,House,11,D,Adams,
"Hollman ""Holly"" Raney",House,12,D,Adams,
Ron Shapiro,House,12,D,Adams,
Billy B. Gray,House,13,D,Adams,
Jeff King,House,13,D,Adams,
Don Randolph,House,13,D,Adams,
Steve Shaw,House,13,D,Adams,
Bobby Watson,House,13,D,Adams,
Rick Spencer,House,15,D,Adams,
Steve Holland,House,16,D,Adams,
Mark DuVall,House,19,D,Adams,
Brad Underwood,House,19,D,Adams,
Jamie Franks,House,19,D,Adams,
Donnie Bell,House,21,D,Adams,
Preston E. Sullivan,House,22,D,Adams,
Steve Whitten,House,23,D,Adams,
Kevin Horan,House,24,D,Adams,
John Mayo,House,25,D,Adams,
Chuck Espy,House,26,D,Adams,
Ferr Smith,House,27,D,Adams,
David Dallas,House,28,D,Adams,
Linda F. Coleman,House,29,D,Adams,
Zachary Harris,House,30,D,Adams,
Robert E. Huddleston,House,30,D,Adams,
Jeffery Kilpatrick,House,30,D,Adams,
Otis Anthony II,House,31,D,Adams,
Rev. Torrey Bell Sr,House,31,D,Adams,
Sara Thomas,House,31,D,Adams,
Lester Williams,House,31,D,Adams,
Michael T. Pembleton,House,31,D,Adams,
Willie J. Perkins Sr,House,32,D,Adams,
Tommy Reynolds,House,33,D,Adams,
Linda Whittington,House,34,D,Adams,
Jimmy Davidson,House,36,D,Adams,
David Gibbs,House,36,D,Adams,
Tyrone Ellis,House,38,D,Adams,
David Callahan,House,42,D,Adams,
Reecy Dickson,House,42,D,Adams,
Michael T. Evans,House,43,D,Adams,
Bennett Malone,House,45,D,Adams,
Nathaniel Christian,House,48,D,Adams,
Jason M. White,House,48,D,Adams,
Thomas Lee Eskridge,House,48,D,Adams,
Bryant Wandrick Clark,House,47,D,Adams,
Willie L. Baddy,House,49,D,Adams,
John W. Hines,House,50,D,Adams,
Whitfield Harrington,House,51,D,Adams,
Rufus Straughter,House,51,D,Adams,
Gary Farmer,House,51,D,Adams,
Bobby Moak,House,53,D,Adams,
George Flaggs Jr.,House,55,D,Adams,
Jim Culberson,House,56,D,Adams,
Edward Blackmon Jr.,House,57,D,Adams,
Walter Robinson Jr,House,63,D,Adams,
Deborah Butler Dixon,House,63,D,Adams,
Dorsey Carson,House,64,D,Adams,
Mary H. Coleman,House,65,D,Adams,
Cecil Brown,House,66,D,Adams,
Earle S. Banks,House,67,D,Adams,
Credell Calhoun,House,68,D,Adams,
Alyce Griffin Clarke,House,69,D,Adams,
"James ""Jim"" Evans",House,70,D,Adams,
Adrienne Wooten,House,71,D,Adams,
Kimberly Buck,House,72,D,Adams,
Gay Polk,House,73,D,Adams,
Brad Oberhousen,House,73,D,Adams,
Tom Miles,House,75,D,Adams,
Greg Holloway Sr,House,76,D,Adams,
Frankie Chisholm,House,79,D,Adams,
Bo Eaton II,House,79,D,Adams,
Omeria Scott,House,80,D,Adams,
Wilbert Jones,House,82,D,Adams,
Charles Young Jr,House,82,D,Adams,
Gary D. Houston,House,83,D,Adams,
William G. Lee,House,84,D,Adams,
Chuck Middleton,House,85,D,Adams,
Jeffery Harness,House,85,D,Adams,
Mack Carney,House,86,D,Adams,
Sherra Lane,House,86,D,Adams,
Johnny W. Stringer,House,87,D,Adams,
Jonathan L. Hodge,House,88,D,Adams,
Jerdon L. Wellborn,House,89,D,Adams,
"Joe ""J.L."" Warren",House,90,D,Adams,
Bob Evans,House,91,D,Adams,
Ken Dale Sullivan,House,92,D,Adams,
Dirk Dedaux,House,93,D,Adams,
James Rickey Gray,House,94,D,Adams,
Robert Johnson,House,94,D,Adams,
Angela Cockerham,House,96,D,Adams,330
David Myers,House,98,D,Adams,
Tasha Dillon,House,98,D,Adams,
Harry C. Griffith,House,100,D,Adams,
David Cook,House,102,D,Adams,
Percy W. Watson,House,103,D,Adams,
Dale Mitchell Kimble,House,105,D,Adams,
Rev. Royce R. Lott Jr.,House,107,D,Adams,
Douglas L. Lee,House,107,D,Adams,
Billy Broomfield,House,110,D,Adams,
Brandon Jones,House,111,D,Adams,
Randall H. Patterson,House,115,D,Adams,
Quentin Lyles,House,116,D,Adams,
Richard Kim Marsh,House,119,D,Adams,
Jacqueline Johnson,House,119,D,Adams,
John Johnson,House,119,D,Adams,
Robert Williams,House,119,D,Adams,
Sonya Williams-Barnes,House,119,D,Adams,
Charles Boggs,House,120,D,Adams,
Diane Peranich,House,121,D,Adams,
Latanya Toomer,House,121,D,Adams,
David Baria,House,122,D,Adams,
"William Bond Compton, Jr.",Governor,,D,Alcorn,1043
Johnny L. Dupree,Governor,,D,Alcorn,1991
Bill Luckett,Governor,,D,Alcorn,4808
Gay Dale Shaw,Governor,,D,Alcorn,771
Jim Hood,Attorney General,,D,Alcorn,8308
Connie Moran,State Treasurer,,D,Alcorn,7554
Joe Gill,Commissioner of Agriculture and Commerce,,D,Alcorn,7667
Louis Fondren,Commissioner of Insurance,,D,Alcorn,7478
Bill Stone,Senate,2,D,Alcorn,
"Henry Boyd, Jr.",Senate,2,D,Alcorn,
Nickey Browining,Senate,3,D,Alcorn,
Eric Powell,Senate,4,D,Alcorn,8499
J P Wilemon,Senate,5,D,Alcorn,
Stacey Dale Scott,Senate,6,D,Alcorn,
Hob Bryan,Senate,7,D,Alcorn,
Marshall Coleman,Senate,8,D,Alcorn,
Russell Jolly,Senate,8,D,Alcorn,
Sherman Carouthers,Senate,8,D,Alcorn,
Gray Tollison,Senate,9,D,Alcorn,
Steve Hale,Senate,10,D,Alcorn,
Michael Cathey,Senate,10,D,Alcorn,
Robert Jackson,Senate,11,D,Alcorn,
Derek T. Simmons,Senate,12,D,Alcorn,
Willie L. Simmons,Senate,13,D,Alcorn,
Carlos Moore,Senate,14,D,Alcorn,
Bennie L. Turner,Senate,16,D,Alcorn,
Steven Kilgore,Senate,18,D,Alcorn,
Kenneth Wayne Jones,Senate,21,D,Alcorn,
Franklin Mallett Jr.,Senate,21,D,Alcorn,
Mala Brooks,Senate,22,D,Alcorn,
"George ""Boo"" Hollowell",Senate,22,D,Alcorn,
David Jordan,Senate,24,D,Alcorn,
Earl G. Blackmon,Senate,24,D,Alcorn,
Cecilia Sampayo,Senate,25,D,Alcorn,
John A. Horn,Senate,26,D,Alcorn,
Hillman Terome Frazer,Senate,27,D,Alcorn,
Alice Varnado Harden,Senate,28,D,Alcorn,
David Blount,Senate,29,D,Alcorn,
Melvin Hendricks,Senate,31,D,Alcorn,
Clark Adams,Senate,32,D,Alcorn,
Sampson Jackson,Senate,32,D,Alcorn,
Haskins Montgomery,Senate,34,D,Alcorn,
Albert Butler,Senate,36,D,Alcorn,
Bob Dearing,Senate,37,D,Alcorn,
Kelvin E. Butler,Senate,38,D,Alcorn,
W L Rayburn,Senate,39,D,Alcorn,
Michael Smith,Senate,39,D,Alcorn,
Dennis Cochran,Senate,43,D,Alcorn,
James Walley,Senate,43,D,Alcorn,
Joe Bye,Senate,46,D,Alcorn,
Deborah Dawkins,Senate,48,D,Alcorn,
Thomas McCarley,House,1,D,Alcorn,1354
Rex Weathers,House,1,D,Alcorn,735
Nick Bain,House,2,D,Alcorn,5302
Bobby Wren,House,3,D,Alcorn,363
Jimmy Wayne Russell,House,3,D,Alcorn,282
Tommy Cadle,House,3,D,Alcorn,315
Steve Fisher,House,4,D,Alcorn,
James Nunnally,House,4,D,Alcorn,
Jody Steverson,House,4,D,Alcorn,
Kevin O. Buck,House,5,D,Alcorn,
Clara Henderson Burnett,House,9,D,Alcorn,
Jordan Bankhead,House,10,D,Alcorn,
Greg Hodges,House,10,D,Alcorn,
Joe C. Gardner,House,11,D,Alcorn,
"Hollman ""Holly"" Raney",House,12,D,Alcorn,
Ron Shapiro,House,12,D,Alcorn,
Billy B. Gray,House,13,D,Alcorn,
Jeff King,House,13,D,Alcorn,
Don Randolph,House,13,D,Alcorn,
Steve Shaw,House,13,D,Alcorn,
Bobby Watson,House,13,D,Alcorn,
Rick Spencer,House,15,D,Alcorn,
Steve Holland,House,16,D,Alcorn,
Mark DuVall,House,19,D,Alcorn,
Brad Underwood,House,19,D,Alcorn,
Jamie Franks,House,19,D,Alcorn,
Donnie Bell,House,21,D,Alcorn,
Preston E. Sullivan,House,22,D,Alcorn,
Steve Whitten,House,23,D,Alcorn,
Kevin Horan,House,24,D,Alcorn,
John Mayo,House,25,D,Alcorn,
Chuck Espy,House,26,D,Alcorn,
Ferr Smith,House,27,D,Alcorn,
David Dallas,House,28,D,Alcorn,
Linda F. Coleman,House,29,D,Alcorn,
Zachary Harris,House,30,D,Alcorn,
Robert E. Huddleston,House,30,D,Alcorn,
Jeffery Kilpatrick,House,30,D,Alcorn,
Otis Anthony II,House,31,D,Alcorn,
Rev. Torrey Bell Sr,House,31,D,Alcorn,
Sara Thomas,House,31,D,Alcorn,
Lester Williams,House,31,D,Alcorn,
Michael T. Pembleton,House,31,D,Alcorn,
