page,candidate,office,district,party,county,precinct,votes,winner,,,
2,Phil Bryant ,Governor ,,R,Jackson,Hwy 57,217,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,Hwy 57,20,,,,
2,Phil Bryant ,Governor ,,R,Jackson,North Vancleave,802,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,North Vancleave,184,,,,
2,Phil Bryant ,Governor ,,R,Jackson,East Central,2397,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,East Central,254,,,,
2,Phil Bryant ,Governor ,,R,Jackson,Big Point,973,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,Big Point,87,,,,
2,Phil Bryant ,Governor ,,R,Jackson,Escatawpa,1209,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,Escatawpa,319,,,,
2,Phil Bryant ,Governor ,,R,Jackson,Orange Grove,520,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,Orange Grove,114,,,,
2,Phil Bryant ,Governor ,,R,Jackson,Rec Center,210,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,Rec Center,1803,,,,
2,Phil Bryant ,Governor ,,R,Jackson,YMBC - Dantzler,399,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,YMBC - Dantzler,551,,,,
2,Phil Bryant ,Governor ,,R,Jackson,Jefferson Street,323,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,Jefferson Street,851,,,,
2,Phil Bryant ,Governor ,,R,Jackson,Fair,678,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,Fair,826,,,,
2,Phil Bryant ,Governor ,,R,Jackson,Pinecrest,595,,,,
2,Johnny L. DuPree,Governor ,,D,Jackson,Pinecrest,96,,,,
3,Phil Bryant ,Governor ,,R,Jackson,Nazarene,280,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,Nazarene,114,,,,
3,Phil Bryant ,Governor ,,R,Jackson,Sacred Heart ,627,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,Sacred Heart ,123,,,,
3,Phil Bryant ,Governor ,,R,Jackson,Eastlawn,681,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,Eastlawn,106,,,,
3,Phil Bryant ,Governor ,,R,Jackson,American Legion,211,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,American Legion,51,,,,
3,Phil Bryant ,Governor ,,R,Jackson,Presbyterian,421,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,Presbyterian,95,,,,
3,Phil Bryant ,Governor ,,R,Jackson,North Pascagoula,253,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,North Pascagoula,65,,,,
3,Phil Bryant ,Governor ,,R,Jackson,Gautler,1793,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,Gautler,1109,,,,
3,Phil Bryant ,Governor ,,R,Jackson,Villa Maria,225,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,Villa Maria,99,,,,
3,Phil Bryant ,Governor ,,R,Jackson,OS Community Ctr,110,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,OS Community Ctr,64,,,,
3,Phil Bryant ,Governor ,,R,Jackson,OS Armory,1156,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,OS Armory,520,,,,
3,Phil Bryant ,Governor ,,R,Jackson,St Martin,1965,,,,
3,Johnny L. DuPree,Governor ,,D,Jackson,St Martin,816,,,,
4,Phil Bryant ,Governor ,,R,Jackson,Latimer,997,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,Latimer,262,,,,
4,Phil Bryant ,Governor ,,R,Jackson,Larue,112,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,Larue,16,,,,
4,Phil Bryant ,Governor ,,R,Jackson,Hickory Hills,776,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,Hickory Hills,302,,,,
4,Phil Bryant ,Governor ,,R,Jackson,Fontainebleau,1129,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,Fontainebleau,338,,,,
4,Phil Bryant ,Governor ,,R,Jackson,Gulf Park Estates,915,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,Gulf Park Estates,309,,,,
4,Phil Bryant ,Governor ,,R,Jackson,OS Civic Ctr,2033,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,OS Civic Ctr,763,,,,
4,Phil Bryant ,Governor ,,R,Jackson,South Vancleave,1213,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,South Vancleave,201,,,,
4,Phil Bryant ,Governor ,,R,Jackson,Red Hill,164,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,Red Hill,9,,,,
4,Phil Bryant ,Governor ,,R,Jackson,Carterville,60,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,Carterville,9,,,,
4,Phil Bryant ,Governor ,,R,Jackson,TOTAL ,23444,,,,
4,Johnny L. DuPree,Governor ,,D,Jackson,TOTAL ,10476,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,Hwy 57,229,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,Hwy 57,8,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,North Vancleave,867,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,North Vancleave,87,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,East Central,2449,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,East Central,128,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,Big Point,992,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,Big Point,51,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,Escatawpa,1282,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,Escatawpa,167,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,Orange Grove,561,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,Orange Grove,51,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,Rec Center,540,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,Rec Center,718,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,YMBC - Dantzler,542,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,YMBC - Dantzler,216,,,,
2,Tate Reeves,Lieutenant Governor,,R,Jackson,Jefferson Street,498,,,,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Jackson,Jefferson Street,361,,,,
