page,candidate,office,district,party,county,precinct,votes,winner,
2,Phil Bryant,Governor,,R,Copiah,Beauregard,394,,
2,Johnny L. DuPree,Governor,,D,Copiah,Beauregard,99,,
2,Phil Bryant,Governor,,R,Copiah,Centerpoint,386,,
2,Johnny L. DuPree,Governor,,D,Copiah,Centerpoint,222,,
2,Phil Bryant,Governor,,R,Copiah,Carpenter,59,,
2,Johnny L. DuPree,Governor,,D,Copiah,Carpenter,104,,
2,Phil Bryant,Governor,,R,Copiah,Crystal Springs East,894,,
2,Johnny L. DuPree,Governor,,D,Copiah,Crystal Springs East,420,,
2,Phil Bryant,Governor,,R,Copiah,Crystal Springs North,86,,
2,Johnny L. DuPree,Governor,,D,Copiah,Crystal Springs North,197,,
2,Phil Bryant,Governor,,R,Copiah,Crystal Springs South,354,,
2,Johnny L. DuPree,Governor,,D,Copiah,Crystal Springs South,595,,
2,Phil Bryant,Governor,,R,Copiah,Crystal Springs West,388,,
2,Johnny L. DuPree,Governor,,D,Copiah,Crystal Springs West,243,,
2,Phil Bryant,Governor,,R,Copiah,Dentville,118,,
2,Johnny L. DuPree,Governor,,D,Copiah,Dentville,28,,
2,Phil Bryant,Governor,,R,Copiah,Georgetown North,67,,
2,Johnny L. DuPree,Governor,,D,Copiah,Georgetown North,120,,
2,Phil Bryant,Governor,,R,Copiah,Georgetown South,186,,
2,Johnny L. DuPree,Governor,,D,Copiah,Georgetown South,94,,
2,Phil Bryant,Governor,,R,Copiah,Hazlehurst East,45,,
2,Johnny L. DuPree,Governor,,D,Copiah,Hazlehurst East,605,,
3,Phil Bryant,Governor,,R,Copiah,Hazlehurst North,73,,
3,Johnny L. DuPree,Governor,,D,Copiah,Hazlehurst North,103,,
3,Phil Bryant,Governor,,R,Copiah,Hazlehurst South,108,,
3,Johnny L. DuPree,Governor,,D,Copiah,Hazlehurst South,217,,
3,Phil Bryant,Governor,,R,Copiah,Hazlehurst West,240,,
3,Johnny L. DuPree,Governor,,D,Copiah,Hazlehurst West,700,,
3,Phil Bryant,Governor,,R,Copiah,Martinsville,102,,
3,Johnny L. DuPree,Governor,,D,Copiah,Martinsville,161,,
3,Phil Bryant,Governor,,R,Copiah,Shady Grove,237,,
3,Johnny L. DuPree,Governor,,D,Copiah,Shady Grove,64,,
3,Phil Bryant,Governor,,R,Copiah,Stronghope Union,266,,
3,Johnny L. DuPree,Governor,,D,Copiah,Stronghope Union,21,,
3,Phil Bryant,Governor,,R,Copiah,Wesson,395,,
3,Johnny L. DuPree,Governor,,D,Copiah,Wesson,66,,
3,Phil Bryant,Governor,,R,Copiah,Gallman,675,,
3,Johnny L. DuPree,Governor,,D,Copiah,Gallman,450,,
3,Phil Bryant,Governor,,R,Copiah,TOTAL ,5073,,
3,Johnny L. DuPree,Governor,,D,Copiah,TOTAL ,4509,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Beauregard,433,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Beauregard,47,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Centerpoint,450,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Centerpoint,102,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Carpenter,90,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Carpenter,53,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Crystal Springs East,1048,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Crystal Springs East,177,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Crystal Springs North,157,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Crystal Springs North,95,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Crystal Springs South,559,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Crystal Springs South,271,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Crystal Springs West,463,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Crystal Springs West,113,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Dentville,127,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Dentville,17,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Georgetown North,107,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Georgetown North,64,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Georgetown South,209,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Georgetown South,45,,
2,Tate Reeves,Lieutenant Governor,,R,Copiah,Hazlehurst East,243,,
2,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Hazlehurst East,281,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,Hazlehurst North,112,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Hazlehurst North,40,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,Hazlehurst South,175,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Hazlehurst South,102,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,Hazlehurst West,471,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Hazlehurst West,312,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,Martinsville,153,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Martinsville,71,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,Shady Grove,261,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Shady Grove,28,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,Stronghope Union,269,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Stronghope Union,15,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,Wesson,418,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Wesson,29,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,Gallman,812,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,Gallman,220,,
3,Tate Reeves,Lieutenant Governor,,R,Copiah,TOTAL ,6557,,
3,Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform ,Copiah,TOTAL ,2082,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Beauregard,447,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Centerpoint,495,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Carpenter,122,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Crystal Springs East,1139,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Crystal Springs North,219,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Crystal Springs South,721,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Crystal Springs West,519,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Dentville,134,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Georgetown North,139,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Georgetown South,235,,
2,Delbert Hosemann,Secretary of State,,R,Copiah,Hazlehurst East,390,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,Hazlehurst North,132,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,Hazlehurst South,237,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,Hazlehurst West,636,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,Martinsville,190,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,Shady Grove,276,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,Stronghope Union,272,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,Wesson,428,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,Gallman,921,,
3,Delbert Hosemann,Secretary of State,,R,Copiah,TOTAL ,7652,,
2,Jim Hood,Attorney General,,D,Copiah,Beauregard,311,,
2,Steve Simpson,Attorney General,,R,Copiah,Beauregard,178,,
2,Jim Hood,Attorney General,,D,Copiah,Centerpoint,429,,
2,Steve Simpson,Attorney General,,R,Copiah,Centerpoint,180,,
2,Jim Hood,Attorney General,,D,Copiah,Carpenter,132,,
2,Steve Simpson,Attorney General,,R,Copiah,Carpenter,30,,
2,Jim Hood,Attorney General,,D,Copiah,Crystal Springs East,805,,
2,Steve Simpson,Attorney General,,R,Copiah,Crystal Springs East,498,,
2,Jim Hood,Attorney General,,D,Copiah,Crystal Springs North,228,,
2,Steve Simpson,Attorney General,,R,Copiah,Crystal Springs North,53,,
2,Jim Hood,Attorney General,,D,Copiah,Crystal Springs South,754,,
2,Steve Simpson,Attorney General,,R,Copiah,Crystal Springs South,179,,
2,Jim Hood,Attorney General,,D,Copiah,Crystal Springs West,413,,
2,Steve Simpson,Attorney General,,R,Copiah,Crystal Springs West,211,,
2,Jim Hood,Attorney General,,D,Copiah,Dentville,97,,
2,Steve Simpson,Attorney General,,R,Copiah,Dentville,50,,
2,Jim Hood,Attorney General,,D,Copiah,Georgetown North,152,,
2,Steve Simpson,Attorney General,,R,Copiah,Georgetown North,36,,
2,Jim Hood,Attorney General,,D,Copiah,Georgetown South,181,,
2,Steve Simpson,Attorney General,,R,Copiah,Georgetown South,96,,
2,Jim Hood,Attorney General,,D,Copiah,Hazlehurst East,611,,
2,Steve Simpson,Attorney General,,R,Copiah,Hazlehurst East,32,,
3,Jim Hood,Attorney General,,D,Copiah,Hazlehurst North,141,,
3,Steve Simpson,Attorney General,,R,Copiah,Hazlehurst North,33,,
3,Jim Hood,Attorney General,,D,Copiah,Hazlehurst South,263,,
3,Steve Simpson,Attorney General,,R,Copiah,Hazlehurst South,58,,
