candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Baldwyn,118,
William Bond Compton Jr.,U.S. Senate,,Democrat,Prentiss,Baldwyn,1,
Bill Marcy,U.S. Senate,,Democrat,Prentiss,Baldwyn,1,
Jonathan Rawl,U.S. Senate,,Democrat,Prentiss,Baldwyn,3,
Ron E. Dickey,U.S. House,1,Democrat,Prentiss,Baldwyn,54,
Rex N. Weathers,U.S. House,1,Democrat,Prentiss,Baldwyn,26,
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Blackland,37,
William Bond Compton Jr.,U.S. Senate,,Democrat,Prentiss,Blackland,2,
Bill Marcy,U.S. Senate,,Democrat,Prentiss,Blackland,0,
Jonathan Rawl,U.S. Senate,,Democrat,Prentiss,Blackland,0,
Ron E. Dickey,U.S. House,1,Democrat,Prentiss,Blackland,20,
Rex N. Weathers,U.S. House,1,Democrat,Prentiss,Blackland,6,
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Booneville,115,
William Bond Compton Jr.,U.S. Senate,,Democrat,Prentiss,Booneville,2,
Bill Marcy,U.S. Senate,,Democrat,Prentiss,Booneville,8,
Jonathan Rawl,U.S. Senate,,Democrat,Prentiss,Booneville,0,
Ron E. Dickey,U.S. House,1,Democrat,Prentiss,Booneville,66,
Rex N. Weathers,U.S. House,1,Democrat,Prentiss,Booneville,33,
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Cairo,45,
William Bond Compton Jr.,U.S. Senate,,Democrat,Prentiss,Cairo,1,
Bill Marcy,U.S. Senate,,Democrat,Prentiss,Cairo,2,
Jonathan Rawl,U.S. Senate,,Democrat,Prentiss,Cairo,0,
Ron E. Dickey,U.S. House,1,Democrat,Prentiss,Cairo,21,
Rex N. Weathers,U.S. House,1,Democrat,Prentiss,Cairo,17,
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Cross Roads,118,
William Bond Compton Jr.,U.S. Senate,,Democrat,Prentiss,Cross Roads,0,
Bill Marcy,U.S. Senate,,Democrat,Prentiss,Cross Roads,4,
Jonathan Rawl,U.S. Senate,,Democrat,Prentiss,Cross Roads,0,
Ron E. Dickey,U.S. House,1,Democrat,Prentiss,Cross Roads,38,
Rex N. Weathers,U.S. House,1,Democrat,Prentiss,Cross Roads,46,
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,East Booneville,88,
William Bond Compton Jr.,U.S. Senate,,Democrat,Prentiss,East Booneville,1,
Bill Marcy,U.S. Senate,,Democrat,Prentiss,East Booneville,0,
Jonathan Rawl,U.S. Senate,,Democrat,Prentiss,East Booneville,1,
Ron E. Dickey,U.S. House,1,Democrat,Prentiss,East Booneville,39,
Rex N. Weathers,U.S. House,1,Democrat,Prentiss,East Booneville,33,
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Hills Chapel - New Hope,60,
William Bond Compton Jr.,U.S. Senate,,Democrat,Prentiss,Hills Chapel - New Hope,2,
Bill Marcy,U.S. Senate,,Democrat,Prentiss,Hills Chapel - New Hope,1,
Jonathan Rawl,U.S. Senate,,Democrat,Prentiss,Hills Chapel - New Hope,2,
Ron E. Dickey,U.S. House,1,Democrat,Prentiss,Hills Chapel - New Hope,25,
Rex N. Weathers,U.S. House,1,Democrat,Prentiss,Hills Chapel - New Hope,26,
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Ingram,17,
