candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Greene,Jonathan,1,
William Bond Compton Jr.,U.S. Senate,,Democrat,Greene,Jonathan,0,
Bill Marcy,U.S. Senate,,Democrat,Greene,Jonathan,1,
Jonathan Rawl,U.S. Senate,,Democrat,Greene,Jonathan,0,
Trish Causey,U.S. House,4,Democrat,Greene,Jonathan,2,
Matt Moore,U.S. House,4,Democrat,Greene,Jonathan,0,
Travis W. Childers,U.S. Senate,,Democrat,Greene,Jones,0,
William Bond Compton Jr.,U.S. Senate,,Democrat,Greene,Jones,0,
Bill Marcy,U.S. Senate,,Democrat,Greene,Jones,0,
Jonathan Rawl,U.S. Senate,,Democrat,Greene,Jones,0,
Trish Causey,U.S. House,4,Democrat,Greene,Jones,0,
Matt Moore,U.S. House,4,Democrat,Greene,Jones,0,
Travis W. Childers,U.S. Senate,,Democrat,Greene,Leaf,1,
William Bond Compton Jr.,U.S. Senate,,Democrat,Greene,Leaf,3,
Bill Marcy,U.S. Senate,,Democrat,Greene,Leaf,0,
Jonathan Rawl,U.S. Senate,,Democrat,Greene,Leaf,0,
Trish Causey,U.S. House,4,Democrat,Greene,Leaf,0,
Matt Moore,U.S. House,4,Democrat,Greene,Leaf,4,
Travis W. Childers,U.S. Senate,,Democrat,Greene,Leakesville,12,
William Bond Compton Jr.,U.S. Senate,,Democrat,Greene,Leakesville,1,
Bill Marcy,U.S. Senate,,Democrat,Greene,Leakesville,0,
Jonathan Rawl,U.S. Senate,,Democrat,Greene,Leakesville,0,
Trish Causey,U.S. House,4,Democrat,Greene,Leakesville,7,
Matt Moore,U.S. House,4,Democrat,Greene,Leakesville,6,
Travis W. Childers,U.S. Senate,,Democrat,Greene,Maples,9,
William Bond Compton Jr.,U.S. Senate,,Democrat,Greene,Maples,6,
Bill Marcy,U.S. Senate,,Democrat,Greene,Maples,4,
Jonathan Rawl,U.S. Senate,,Democrat,Greene,Maples,1,
Trish Causey,U.S. House,4,Democrat,Greene,Maples,11,
Matt Moore,U.S. House,4,Democrat,Greene,Maples,10,
Travis W. Childers,U.S. Senate,,Democrat,Greene,Mclain,18,
William Bond Compton Jr.,U.S. Senate,,Democrat,Greene,Mclain,5,
Bill Marcy,U.S. Senate,,Democrat,Greene,Mclain,1,
Jonathan Rawl,U.S. Senate,,Democrat,Greene,Mclain,2,
Trish Causey,U.S. House,4,Democrat,Greene,Mclain,13,
Matt Moore,U.S. House,4,Democrat,Greene,Mclain,12,
Travis W. Childers,U.S. Senate,,Democrat,Greene,Mutual Rights,0,
William Bond Compton Jr.,U.S. Senate,,Democrat,Greene,Mutual Rights,0,
Bill Marcy,U.S. Senate,,Democrat,Greene,Mutual Rights,0,
Jonathan Rawl,U.S. Senate,,Democrat,Greene,Mutual Rights,0,
Trish Causey,U.S. House,4,Democrat,Greene,Mutual Rights,0,
Matt Moore,U.S. House,4,Democrat,Greene,Mutual Rights,0,
Travis W. Childers,U.S. Senate,,Democrat,Greene,North Leakesville,15,
William Bond Compton Jr.,U.S. Senate,,Democrat,Greene,North Leakesville,6,
