candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 26,32,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 26,4,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 26,5,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 26,0,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Bassfield 26,5,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Bassfield 26,22,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Bassfield 26,7,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 31,65,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 31,3,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 31,8,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 31,5,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Bassfield 31,6,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Bassfield 31,56,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Bassfield 31,8,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 32,65,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 32,3,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 32,7,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Bassfield 32,2,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Bassfield 32,4,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Bassfield 32,49,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Bassfield 32,15,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Bournham 21,0,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Bournham 21,0,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Bournham 21,0,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Bournham 21,0,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Bournham 21,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Bournham 21,0,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Bournham 21,0,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Carson 22,10,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Carson 22,1,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Carson 22,1,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Carson 22,2,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Carson 22,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Carson 22,10,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Carson 22,4,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Clem 41,17,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Clem 41,3,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Clem 41,3,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Clem 41,2,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Clem 41,5,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Clem 41,13,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Clem 41,6,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Good Hope 33,18,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Good Hope 33,1,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Good Hope 33,1,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Good Hope 33,2,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Good Hope 33,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Good Hope 33,12,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Good Hope 33,7,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Granby 11,8,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Granby 11,3,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Granby 11,0,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Granby 11,0,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Granby 11,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Granby 11,7,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Granby 11,3,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Green's Creek 23,13,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Green's Creek 23,3,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Green's Creek 23,4,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Green's Creek 23,2,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Green's Creek 23,3,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Green's Creek 23,14,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Green's Creek 23,4,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Gwinville 51,11,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Gwinville 51,1,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Gwinville 51,5,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Gwinville 51,0,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Gwinville 51,1,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Gwinville 51,10,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Gwinville 51,4,
Travis W. Childers,U.S. Senate,,Democrat,Jefferson Davis,Hathorn 24,6,
William Bond Compton Jr.,U.S. Senate,,Democrat,Jefferson Davis,Hathorn 24,2,
Bill Marcy,U.S. Senate,,Democrat,Jefferson Davis,Hathorn 24,0,
Jonathan Rawl,U.S. Senate,,Democrat,Jefferson Davis,Hathorn 24,0,
Jim Lilijeberg,U.S. House,3,Democrat,Jefferson Davis,Hathorn 24,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Jefferson Davis,Hathorn 24,6,
Dennis C. Quinn,U.S. House,3,Democrat,Jefferson Davis,Hathorn 24,2,
