candidate,office,district,party,county,precinct,votes,winner,,
Travis W. Childers,United States Senate,,Democrat,Holmes,1 Acona,226,,,
Thad Cochran,United States Senate,,Republican,Holmes,1 Acona,39,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,1 Acona,2,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,1 Durant St Anderson,112,,,
Thad Cochran,United States Senate,,Republican,Holmes,1 Durant St Anderson,33,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,1 Durant St Anderson,1,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,2 Lexington Sandhill,0,,,
Thad Cochran,United States Senate,,Republican,Holmes,2 Lexington Sandhill,0,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,2 Lexington Sandhill,0,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 1 Lexington,394,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 1 Lexington,124,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 1 Lexington,4,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 2 Durant,147,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 2 Durant,115,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 2 Durant,3,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 2 Sub Durant,185,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 2 Sub Durant,46,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 2 Sub Durant,4,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 2 West,131,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 2 West,112,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 2 West,2,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 3 Coxburg,25,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 3 Coxburg,73,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 3 Coxburg,2,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 3 Ebenezer,97,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 3 Ebenezer,69,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 3 Ebenezer,1,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 3 Goodman,175,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 3 Goodman,63,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 3 Goodman,3,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 3 Pickens,244,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 3 Pickens,95,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 3 Pickens,3,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 4 Lexington,520,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 4 Lexington,168,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 4 Lexington,3,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 4 Thornton,116,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 4 Thornton,29,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 4 Thornton,0,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 4 Walden Chapel,76,,,
