candidate,office,district,party,county,precinct,votes,winner
Thomas L. Carey,U.S. Senate,,Republican,Pike,(01) New Hope Baptist Church,0,
Thad Cochran,U.S. Senate,,Republican,Pike,(01) New Hope Baptist Church,10,
Chris McDaniel,U.S. Senate,,Republican,Pike,(01) New Hope Baptist Church,9,
Hardy Caraway,U.S. House,3,Republican,Pike,(01) New Hope Baptist Church,0,
Gregg Harper,U.S. House,3,Republican,Pike,(01) New Hope Baptist Church,18,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(02) S McComb Baptist Church,0,
Thad Cochran,U.S. Senate,,Republican,Pike,(02) S McComb Baptist Church,15,
Chris McDaniel,U.S. Senate,,Republican,Pike,(02) S McComb Baptist Church,20,
Hardy Caraway,U.S. House,3,Republican,Pike,(02) S McComb Baptist Church,2,
Gregg Harper,U.S. House,3,Republican,Pike,(02) S McComb Baptist Church,33,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(03) Summit Learn. Ctr,0,
Thad Cochran,U.S. Senate,,Republican,Pike,(03) Summit Learn. Ctr,18,
Chris McDaniel,U.S. Senate,,Republican,Pike,(03) Summit Learn. Ctr,12,
Hardy Caraway,U.S. House,3,Republican,Pike,(03) Summit Learn. Ctr,2,
Gregg Harper,U.S. House,3,Republican,Pike,(03) Summit Learn. Ctr,27,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(04) MLK Center,0,
Thad Cochran,U.S. Senate,,Republican,Pike,(04) MLK Center,2,
Chris McDaniel,U.S. Senate,,Republican,Pike,(04) MLK Center,5,
Hardy Caraway,U.S. House,3,Republican,Pike,(04) MLK Center,1,
Gregg Harper,U.S. House,3,Republican,Pike,(04) MLK Center,6,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(05) American Leg. Hut,0,
Thad Cochran,U.S. Senate,,Republican,Pike,(05) American Leg. Hut,145,
Chris McDaniel,U.S. Senate,,Republican,Pike,(05) American Leg. Hut,87,
Hardy Caraway,U.S. House,3,Republican,Pike,(05) American Leg. Hut,5,
Gregg Harper,U.S. House,3,Republican,Pike,(05) American Leg. Hut,217,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(06) S. Pike Comm. Ctr.,0,
Thad Cochran,U.S. Senate,,Republican,Pike,(06) S. Pike Comm. Ctr.,2,
Chris McDaniel,U.S. Senate,,Republican,Pike,(06) S. Pike Comm. Ctr.,0,
Hardy Caraway,U.S. House,3,Republican,Pike,(06) S. Pike Comm. Ctr.,0,
Gregg Harper,U.S. House,3,Republican,Pike,(06) S. Pike Comm. Ctr.,2,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(07) Alpha Center,1,
Thad Cochran,U.S. Senate,,Republican,Pike,(07) Alpha Center,13,
Chris McDaniel,U.S. Senate,,Republican,Pike,(07) Alpha Center,10,
Hardy Caraway,U.S. House,3,Republican,Pike,(07) Alpha Center,2,
Gregg Harper,U.S. House,3,Republican,Pike,(07) Alpha Center,19,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(08) Fernwood School,2,
Thad Cochran,U.S. Senate,,Republican,Pike,(08) Fernwood School,32,
Chris McDaniel,U.S. Senate,,Republican,Pike,(08) Fernwood School,40,
Hardy Caraway,U.S. House,3,Republican,Pike,(08) Fernwood School,7,
Gregg Harper,U.S. House,3,Republican,Pike,(08) Fernwood School,65,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(09) Magnolia Comm Ctr.,2,
Thad Cochran,U.S. Senate,,Republican,Pike,(09) Magnolia Comm Ctr.,88,
Chris McDaniel,U.S. Senate,,Republican,Pike,(09) Magnolia Comm Ctr.,43,
Hardy Caraway,U.S. House,3,Republican,Pike,(09) Magnolia Comm Ctr.,7,
Gregg Harper,U.S. House,3,Republican,Pike,(09) Magnolia Comm Ctr.,115,
Thomas L. Carey,U.S. Senate,,Republican,Pike,(10) Braswell Education Complex,2,
Thad Cochran,U.S. Senate,,Republican,Pike,(10) Braswell Education Complex,61,
