candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,Republican,Harrison,Advance,117,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Advance,200,
Thad Cochran,U.S. Senate,,Republican,Harrison,Bay Central,252,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Bay Central,174,
Thad Cochran,U.S. Senate,,Republican,Harrison,Biloxi #10,274,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Biloxi #10,224,
Thad Cochran,U.S. Senate,,Republican,Harrison,Biloxi #11,738,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Biloxi #11,484,
Thad Cochran,U.S. Senate,,Republican,Harrison,Biloxi #8,194,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Biloxi #8,99,
Thad Cochran,U.S. Senate,,Republican,Harrison,Biloxi Bay,205,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Biloxi Bay,117,
Thad Cochran,U.S. Senate,,Republican,Harrison,Biloxi Central,274,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Biloxi Central,106,
Thad Cochran,U.S. Senate,,Republican,Harrison,County Farm/Gulf Haven,304,
Chris McDaniel,U.S. Senate,,Republican,Harrison,County Farm/Gulf Haven,366,
Thad Cochran,U.S. Senate,,Republican,Harrison,Delisle,247,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Delisle,188,
Thad Cochran,U.S. Senate,,Republican,Harrison,E Orange Grove,371,
Chris McDaniel,U.S. Senate,,Republican,Harrison,E Orange Grove,315,
Thad Cochran,U.S. Senate,,Republican,Harrison,E Pass Christian,346,
Chris McDaniel,U.S. Senate,,Republican,Harrison,E Pass Christian,157,
Thad Cochran,U.S. Senate,,Republican,Harrison,East Biloxi,195,
Chris McDaniel,U.S. Senate,,Republican,Harrison,East Biloxi,50,
Thad Cochran,U.S. Senate,,Republican,Harrison,East Handsboro,360,
Chris McDaniel,U.S. Senate,,Republican,Harrison,East Handsboro,209,
Thad Cochran,U.S. Senate,,Republican,Harrison,East Lyman,179,
Chris McDaniel,U.S. Senate,,Republican,Harrison,East Lyman,139,
Thad Cochran,U.S. Senate,,Republican,Harrison,East Miss City,506,
Chris McDaniel,U.S. Senate,,Republican,Harrison,East Miss City,346,
Thad Cochran,U.S. Senate,,Republican,Harrison,East North Gulfport,87,
Chris McDaniel,U.S. Senate,,Republican,Harrison,East North Gulfport,8,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #11,202,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #11,87,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #12,486,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #12,184,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #13,80,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #13,37,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #14,100,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #14,25,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #15,40,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #15,6,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #16,123,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #16,24,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #3,55,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #3,12,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #4,137,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #4,34,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #5,209,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #5,100,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #7,120,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #7,65,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #8,85,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #8,52,
Thad Cochran,U.S. Senate,,Republican,Harrison,Gulfport #9,29,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Gulfport #9,13,
Thad Cochran,U.S. Senate,,Republican,Harrison,Howard Creek,454,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Howard Creek,494,
Thad Cochran,U.S. Senate,,Republican,Harrison,Ladner,147,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Ladner,218,
Thad Cochran,U.S. Senate,,Republican,Harrison,Long Beach #1,163,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Long Beach #1,132,
Thad Cochran,U.S. Senate,,Republican,Harrison,Long Beach #2,210,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Long Beach #2,191,
Thad Cochran,U.S. Senate,,Republican,Harrison,Long Beach #3,209,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Long Beach #3,124,
Thad Cochran,U.S. Senate,,Republican,Harrison,Long Beach #4,271,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Long Beach #4,188,
Thad Cochran,U.S. Senate,,Republican,Harrison,Long Beach #5,491,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Long Beach #5,340,
Thad Cochran,U.S. Senate,,Republican,Harrison,Long Beach #6,253,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Long Beach #6,183,
Thad Cochran,U.S. Senate,,Republican,Harrison,Magnolia Grove,46,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Magnolia Grove,4,
Thad Cochran,U.S. Senate,,Republican,Harrison,Margaret Sherry,630,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Margaret Sherry,378,
Thad Cochran,U.S. Senate,,Republican,Harrison,New Hope,180,
Chris McDaniel,U.S. Senate,,Republican,Harrison,New Hope,174,
Thad Cochran,U.S. Senate,,Republican,Harrison,New Popps Ferry,124,
Chris McDaniel,U.S. Senate,,Republican,Harrison,New Popps Ferry,98,
Thad Cochran,U.S. Senate,,Republican,Harrison,North Bay,663,
Chris McDaniel,U.S. Senate,,Republican,Harrison,North Bay,626,
Thad Cochran,U.S. Senate,,Republican,Harrison,North Bel-Aire,391,
Chris McDaniel,U.S. Senate,,Republican,Harrison,North Bel-Aire,265,
Thad Cochran,U.S. Senate,,Republican,Harrison,Outside Long Beach,82,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Outside Long Beach,80,
Thad Cochran,U.S. Senate,,Republican,Harrison,Peace,275,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Peace,352,
Thad Cochran,U.S. Senate,,Republican,Harrison,Pineville,305,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Pineville,282,
Thad Cochran,U.S. Senate,,Republican,Harrison,Poplar Head,40,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Poplar Head,74,
Thad Cochran,U.S. Senate,,Republican,Harrison,Riceville,26,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Riceville,36,
Thad Cochran,U.S. Senate,,Republican,Harrison,Saucier,206,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Saucier,266,
Thad Cochran,U.S. Senate,,Republican,Harrison,South Bel-Aire,176,
Chris McDaniel,U.S. Senate,,Republican,Harrison,South Bel-Aire,163,
Thad Cochran,U.S. Senate,,Republican,Harrison,Stonewall,241,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Stonewall,217,
Thad Cochran,U.S. Senate,,Republican,Harrison,Vidalla,79,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Vidalla,87,
Thad Cochran,U.S. Senate,,Republican,Harrison,W Pass Christian,282,
Chris McDaniel,U.S. Senate,,Republican,Harrison,W Pass Christian,147,
Thad Cochran,U.S. Senate,,Republican,Harrison,West Handsboro,613,
Chris McDaniel,U.S. Senate,,Republican,Harrison,West Handsboro,217,
Thad Cochran,U.S. Senate,,Republican,Harrison,West Lizana,93,
Chris McDaniel,U.S. Senate,,Republican,Harrison,West Lizana,112,
Thad Cochran,U.S. Senate,,Republican,Harrison,West Lyman,380,
Chris McDaniel,U.S. Senate,,Republican,Harrison,West Lyman,491,
Thad Cochran,U.S. Senate,,Republican,Harrison,West Miss City,136,
Chris McDaniel,U.S. Senate,,Republican,Harrison,West Miss City,51,
Thad Cochran,U.S. Senate,,Republican,Harrison,West North Gulfport,143,
Chris McDaniel,U.S. Senate,,Republican,Harrison,West North Gulfport,9,
Thad Cochran,U.S. Senate,,Republican,Harrison,West Orange Grove,436,
Chris McDaniel,U.S. Senate,,Republican,Harrison,West Orange Grove,386,
Thad Cochran,U.S. Senate,,Republican,Harrison,Westside,137,
Chris McDaniel,U.S. Senate,,Republican,Harrison,Westside,97,
Thad Cochran,U.S. Senate,,Republican,Harrison,White Plains,111,
Chris McDaniel,U.S. Senate,,Republican,Harrison,White Plains,146,
Thad Cochran,U.S. Senate,,Republican,Harrison,,14308,TRUE
Chris McDaniel,U.S. Senate,,Republican,Harrison,,10449,
