county,precinct,candidate,office,district,party,votes,winner
Tallahatchie,Blue Cane,Travis W. Childers,United States Senate,,Democrat,101,
Tallahatchie,Blue Cane,Thad Cochran,United States Senate,,Republican,37,
Tallahatchie,Blue Cane,Shawn O'Hara,United States Senate,,Reform,0,
Tallahatchie,Brazil,Travis W. Childers,United States Senate,,Democrat,10,
Tallahatchie,Brazil,Thad Cochran,United States Senate,,Republican,8,
Tallahatchie,Brazil,Shawn O'Hara,United States Senate,,Reform,3,
Tallahatchie,Cascilla,Travis W. Childers,United States Senate,,Democrat,46,
Tallahatchie,Cascilla,Thad Cochran,United States Senate,,Republican,99,
Tallahatchie,Cascilla,Shawn O'Hara,United States Senate,,Reform,6,
Tallahatchie,Charleston Beat #1,Travis W. Childers,United States Senate,,Democrat,98,
Tallahatchie,Charleston Beat #1,Thad Cochran,United States Senate,,Republican,92,
Tallahatchie,Charleston Beat #1,Shawn O'Hara,United States Senate,,Reform,3,
Tallahatchie,Charleston Beat #2,Travis W. Childers,United States Senate,,Democrat,227,
Tallahatchie,Charleston Beat #2,Thad Cochran,United States Senate,,Republican,176,
Tallahatchie,Charleston Beat #2,Shawn O'Hara,United States Senate,,Reform,8,
Tallahatchie,Charleston Beat #3,Travis W. Childers,United States Senate,,Democrat,97,
Tallahatchie,Charleston Beat #3,Thad Cochran,United States Senate,,Republican,93,
Tallahatchie,Charleston Beat #3,Shawn O'Hara,United States Senate,,Reform,0,
Tallahatchie,Enid,Travis W. Childers,United States Senate,,Democrat,55,
Tallahatchie,Enid,Thad Cochran,United States Senate,,Republican,82,
Tallahatchie,Enid,Shawn O'Hara,United States Senate,,Reform,3,
Tallahatchie,Glendora,Travis W. Childers,United States Senate,,Democrat,145,
Tallahatchie,Glendora,Thad Cochran,United States Senate,,Republican,12,
Tallahatchie,Glendora,Shawn O'Hara,United States Senate,,Reform,0,
Tallahatchie,Leverette,Travis W. Childers,United States Senate,,Democrat,14,
Tallahatchie,Leverette,Thad Cochran,United States Senate,,Republican,30,
Tallahatchie,Leverette,Shawn O'Hara,United States Senate,,Reform,1,
Tallahatchie,Murphreesboro,Travis W. Childers,United States Senate,,Democrat,15,
Tallahatchie,Murphreesboro,Thad Cochran,United States Senate,,Republican,74,
Tallahatchie,Murphreesboro,Shawn O'Hara,United States Senate,,Reform,2,
Tallahatchie,Paynes,Travis W. Childers,United States Senate,,Democrat,10,
Tallahatchie,Paynes,Thad Cochran,United States Senate,,Republican,74,
Tallahatchie,Paynes,Shawn O'Hara,United States Senate,,Reform,0,
Tallahatchie,Phillip,Travis W. Childers,United States Senate,,Democrat,41,
Tallahatchie,Phillip,Thad Cochran,United States Senate,,Republican,33,
Tallahatchie,Phillip,Shawn O'Hara,United States Senate,,Reform,0,
Tallahatchie,Rosebloom,Travis W. Childers,United States Senate,,Democrat,6,
Tallahatchie,Rosebloom,Thad Cochran,United States Senate,,Republican,57,
Tallahatchie,Rosebloom,Shawn O'Hara,United States Senate,,Reform,3,
Tallahatchie,Springhill,Travis W. Childers,United States Senate,,Democrat,18,
Tallahatchie,Springhill,Thad Cochran,United States Senate,,Republican,68,
Tallahatchie,Springhill,Shawn O'Hara,United States Senate,,Reform,2,
Tallahatchie,Sumner Beat #2,Travis W. Childers,United States Senate,,Democrat,37,
Tallahatchie,Sumner Beat #2,Thad Cochran,United States Senate,,Republican,100,
Tallahatchie,Sumner Beat #2,Shawn O'Hara,United States Senate,,Reform,2,
Tallahatchie,Sumner Beat #5,Travis W. Childers,United States Senate,,Democrat,80,
Tallahatchie,Sumner Beat #5,Thad Cochran,United States Senate,,Republican,34,
Tallahatchie,Sumner Beat #5,Shawn O'Hara,United States Senate,,Reform,2,
Tallahatchie,Teasdale,Travis W. Childers,United States Senate,,Democrat,24,
Tallahatchie,Teasdale,Thad Cochran,United States Senate,,Republican,91,
Tallahatchie,Teasdale,Shawn O'Hara,United States Senate,,Reform,3,
Tallahatchie,Tippo,Travis W. Childers,United States Senate,,Democrat,40,
Tallahatchie,Tippo,Thad Cochran,United States Senate,,Republican,56,
Tallahatchie,Tippo,Shawn O'Hara,United States Senate,,Reform,0,
