candidate,office,district,party,county,precinct,votes,winner
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Bassfield 26,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Bassfield 26,30,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Bassfield 26,39,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Bassfield 26,7,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Bassfield 26,50,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Bassfield 31,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Bassfield 31,9,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Bassfield 31,31,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Bassfield 31,7,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Bassfield 31,31,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Bassfield 32,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Bassfield 32,12,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Bassfield 32,20,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Bassfield 32,11,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Bassfield 32,19,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Bournham 21,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Bournham 21,0,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Bournham 21,0,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Bournham 21,0,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Bournham 21,0,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Carson 22,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Carson 22,34,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Carson 22,47,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Carson 22,4,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Carson 22,72,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Clem 41,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Clem 41,19,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Clem 41,22,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Clem 41,2,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Clem 41,36,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Good Hope 33,1,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Good Hope 33,16,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Good Hope 33,39,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Good Hope 33,16,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Good Hope 33,35,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Granby 11,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Granby 11,4,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Granby 11,19,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Granby 11,1,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Granby 11,17,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Green's Creek 23,1,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Green's Creek 23,35,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Green's Creek 23,69,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Green's Creek 23,12,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Green's Creek 23,90,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Gwinville 51,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Gwinville 51,6,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Gwinville 51,4,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Gwinville 51,0,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Gwinville 51,10,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Hathorn 24,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Hathorn 24,20,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Hathorn 24,49,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Hathorn 24,10,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Hathorn 24,54,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Hebron 52,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Hebron 52,16,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Hebron 52,16,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Hebron 52,1,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Hebron 52,27,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Melba 34,0,
Thad Cochran,U.S. Senate,,Republican,Jefferson Davis,Melba 34,7,
Chris McDaniel,U.S. Senate,,Republican,Jefferson Davis,Melba 34,15,
Hardy Caraway,U.S. House,3,Republican,Jefferson Davis,Melba 34,2,
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,Melba 34,16,
Thomas L. Carey,U.S. Senate,,Republican,Jefferson Davis,Mt Carmel 42,0,
