candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,101 - One,31,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,101 - One,3,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,101 - One,7,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,101 - One,0,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,101 - One,8,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,101 - One,15,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,101 - One,12,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,105 - Five,57,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,105 - Five,12,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,105 - Five,8,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,105 - Five,3,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,105 - Five,15,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,105 - Five,32,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,105 - Five,19,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,126 - Andrews Chapel,10,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,126 - Andrews Chapel,1,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,126 - Andrews Chapel,4,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,126 - Andrews Chapel,1,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,126 - Andrews Chapel,2,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,126 - Andrews Chapel,6,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,126 - Andrews Chapel,4,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,127 - Balley,21,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,127 - Balley,5,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,127 - Balley,4,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,127 - Balley,1,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,127 - Balley,3,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,127 - Balley,19,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,127 - Balley,6,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,146 - New Lauderdale,15,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,146 - New Lauderdale,2,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,146 - New Lauderdale,3,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,146 - New Lauderdale,0,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,146 - New Lauderdale,4,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,146 - New Lauderdale,9,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,146 - New Lauderdale,4,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,153 - Prospect,4,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,153 - Prospect,0,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,153 - Prospect,1,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,153 - Prospect,0,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,153 - Prospect,3,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,153 - Prospect,2,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,153 - Prospect,0,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,175 - West Dalewood,1,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,175 - West Dalewood,1,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,175 - West Dalewood,2,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,175 - West Dalewood,0,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,175 - West Dalewood,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,175 - West Dalewood,3,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,175 - West Dalewood,1,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,202 - Two,8,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,202 - Two,3,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,202 - Two,4,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,202 - Two,0,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,202 - Two,0,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,202 - Two,10,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,202 - Two,3,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,204 - Four,20,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,204 - Four,11,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,204 - Four,14,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,204 - Four,0,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,204 - Four,5,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,204 - Four,28,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,204 - Four,8,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,206 - Six,58,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,206 - Six,23,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,206 - Six,33,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,206 - Six,7,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,206 - Six,18,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,206 - Six,64,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,206 - Six,23,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,214 - Fourteen,21,
William Bond Compton Jr.,U.S. Senate,,Democrat,Lauderdale,214 - Fourteen,11,
Bill Marcy,U.S. Senate,,Democrat,Lauderdale,214 - Fourteen,13,
Jonathan Rawl,U.S. Senate,,Democrat,Lauderdale,214 - Fourteen,0,
Jim Lilijeberg,U.S. House,3,Democrat,Lauderdale,214 - Fourteen,11,
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,214 - Fourteen,16,
Dennis C. Quinn,U.S. House,3,Democrat,Lauderdale,214 - Fourteen,10,
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,235 - Daleville,30,
