candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Baldwyn,303,,2
Thad Cochran,U.S. Senate,,Republican,Prentiss,Baldwyn,215,,2
Shawn O'Hara,U.S. Senate,,Reform,Prentiss,Baldwyn,5,,2
Ron E. Dickey,U.S.House,1,Democrat,Prentiss,Baldwyn,230,,2
Alan Nunnelea,U.S.House,1,Republican,Prentiss,Baldwyn,254,,2
Danny Bedwell,U.S.House,1,Libertarian,Prentiss,Baldwyn,9,,2
Lafena Walley,U.S.House,1,Reform,Prentiss,Baldwyn,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Blackland,86,,2
Thad Cochran,U.S. Senate,,Republican,Prentiss,Blackland,108,,2
Shawn O'Hara,U.S. Senate,,Reform,Prentiss,Blackland,2,,2
Ron E. Dickey,U.S.House,1,Democrat,Prentiss,Blackland,46,,2
Alan Nunnelea,U.S.House,1,Republican,Prentiss,Blackland,139,,2
Danny Bedwell,U.S.House,1,Libertarian,Prentiss,Blackland,4,,2
Lafena Walley,U.S.House,1,Reform,Prentiss,Blackland,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Booneville/Ag-Ctr,229,,2
Thad Cochran,U.S. Senate,,Republican,Prentiss,Booneville/Ag-Ctr,291,,2
Shawn O'Hara,U.S. Senate,,Reform,Prentiss,Booneville/Ag-Ctr,3,,2
Ron E. Dickey,U.S.House,1,Democrat,Prentiss,Booneville/Ag-Ctr,109,,2
Alan Nunnelea,U.S.House,1,Republican,Prentiss,Booneville/Ag-Ctr,376,,2
Danny Bedwell,U.S.House,1,Libertarian,Prentiss,Booneville/Ag-Ctr,16,,2
Lafena Walley,U.S.House,1,Reform,Prentiss,Booneville/Ag-Ctr,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Cairo,68,,2
Thad Cochran,U.S. Senate,,Republican,Prentiss,Cairo,103,,2
Shawn O'Hara,U.S. Senate,,Reform,Prentiss,Cairo,7,,2
Ron E. Dickey,U.S.House,1,Democrat,Prentiss,Cairo,42,,2
Alan Nunnelea,U.S.House,1,Republican,Prentiss,Cairo,121,,2
Danny Bedwell,U.S.House,1,Libertarian,Prentiss,Cairo,5,,2
Lafena Walley,U.S.House,1,Reform,Prentiss,Cairo,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Cross Roads,209,,2
Thad Cochran,U.S. Senate,,Republican,Prentiss,Cross Roads,109,,2
Shawn O'Hara,U.S. Senate,,Reform,Prentiss,Cross Roads,1,,2
Ron E. Dickey,U.S.House,1,Democrat,Prentiss,Cross Roads,91,,2
Alan Nunnelea,U.S.House,1,Republican,Prentiss,Cross Roads,190,,2
Danny Bedwell,U.S.House,1,Libertarian,Prentiss,Cross Roads,5,,2
Lafena Walley,U.S.House,1,Reform,Prentiss,Cross Roads,1,,2
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,East Booneville,201,,2
Thad Cochran,U.S. Senate,,Republican,Prentiss,East Booneville,160,,2
Shawn O'Hara,U.S. Senate,,Reform,Prentiss,East Booneville,7,,2
Ron E. Dickey,U.S.House,1,Democrat,Prentiss,East Booneville,115,,2
Alan Nunnelea,U.S.House,1,Republican,Prentiss,East Booneville,225,,2
Danny Bedwell,U.S.House,1,Libertarian,Prentiss,East Booneville,10,,2
Lafena Walley,U.S.House,1,Reform,Prentiss,East Booneville,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Prentiss,Hills Chapel - New Hope,186,,2
