candidate,office,district,party,county,precinct,votes,winner
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Maben,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Maben,7,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Maben,5,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Mantee,13,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Mantee,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Mantee,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Mantee,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Mantee,7,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Mantee,4,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Mathiston,13,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Mathiston,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Mathiston,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Mathiston,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Mathiston,8,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Mathiston,5,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Tomnolen,12,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Tomnolen,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Tomnolen,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Tomnolen,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Tomnolen,6,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Tomnolen,1,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Walthall,7,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Walthall,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Walthall,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Walthall,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Walthall,4,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Walthall,1,
Travis W. Childers,U.S. Senate,,Democrat,Webster,,244,TRUE
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,,6,
Bill Marcy,U.S. Senate,,Democrat,Webster,,10,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,,6,
Ron E. Dickey,U.S. House,1,Democrat,Webster,,147,TRUE
Rex N. Weathers,U.S. House,1,Democrat,Webster,,72,
