candidate,office,district,party,county,precinct,votes,winner
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Centreville 1st 1020,0,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Centreville 1st 1020,8,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Centreville 1st 1020,9,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Centreville 1st 1020,0,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Centreville 1st 1020,16,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Centreville 3rd 3010,1,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Centreville 3rd 3010,45,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Centreville 3rd 3010,64,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Centreville 3rd 3010,7,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Centreville 3rd 3010,98,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Cold Springs 4020,1,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Cold Springs 4020,9,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Cold Springs 4020,21,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Cold Springs 4020,2,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Cold Springs 4020,27,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Fort Adams 2020,0,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Fort Adams 2020,10,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Fort Adams 2020,7,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Fort Adams 2020,2,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Fort Adams 2020,14,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Longmire 5020,1,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Longmire 5020,23,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Longmire 5020,36,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Longmire 5020,6,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Longmire 5020,49,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Woodville 1010,1,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Woodville 1010,17,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Woodville 1010,21,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Woodville 1010,0,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Woodville 1010,37,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Woodville 2nd 2010,0,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Woodville 2nd 2010,5,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Woodville 2nd 2010,8,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Woodville 2nd 2010,1,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Woodville 2nd 2010,10,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Woodville 4th 4010,0,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Woodville 4th 4010,7,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Woodville 4th 4010,2,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Woodville 4th 4010,2,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Woodville 4th 4010,7,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,Woodville 5th 5010,0,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,Woodville 5th 5010,37,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,Woodville 5th 5010,41,
Hardy Caraway,U.S. House,3,Republican,Wilkinson,Woodville 5th 5010,4,
Gregg Harper,U.S. House,3,Republican,Wilkinson,Woodville 5th 5010,71,
Thomas L. Carey,U.S. Senate,,Republican,Wilkinson,,4,
Thad Cochran,U.S. Senate,,Republican,Wilkinson,,161,
Chris McDaniel,U.S. Senate,,Republican,Wilkinson,,209,TRUE
Hardy Caraway,U.S. House,3,Republican,Wilkinson,,24,
Gregg Harper,U.S. House,3,Republican,Wilkinson,,329,TRUE
