candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Lawrence,Armory,11,,2
Thad Cochran,U.S. Senate,,Republican,Lawrence,Armory,57,,2
Shawn O'Hara,U.S. Senate,,Reform,Lawrence,Armory,0,,2
Gregg Harper,U.S. House,3,Republican,Lawrence,Armory,59,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lawrence,Armory,9,,2
Roger Gerrard,U.S. House,3,Independent,Lawrence,Armory,0,,2
Barbara Dale Washer,U.S. House,3,Reform,Lawrence,Armory,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Lawrence,Center,20,,2
Thad Cochran,U.S. Senate,,Republican,Lawrence,Center,65,,2
Shawn O'Hara,U.S. Senate,,Reform,Lawrence,Center,1,,2
Gregg Harper,U.S. House,3,Republican,Lawrence,Center,73,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lawrence,Center,13,,2
Roger Gerrard,U.S. House,3,Independent,Lawrence,Center,1,,2
Barbara Dale Washer,U.S. House,3,Reform,Lawrence,Center,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Lawrence,Coopers Creek(A-z),32,,2
Thad Cochran,U.S. Senate,,Republican,Lawrence,Coopers Creek(A-z),189,,2
Shawn O'Hara,U.S. Senate,,Reform,Lawrence,Coopers Creek(A-z),9,,2
Gregg Harper,U.S. House,3,Republican,Lawrence,Coopers Creek(A-z),203,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lawrence,Coopers Creek(A-z),17,,2
Roger Gerrard,U.S. House,3,Independent,Lawrence,Coopers Creek(A-z),7,,2
Barbara Dale Washer,U.S. House,3,Reform,Lawrence,Coopers Creek(A-z),1,,2
Travis W. Childers,U.S. Senate,,Democrat,Lawrence,Courthouse,105,,2
Thad Cochran,U.S. Senate,,Republican,Lawrence,Courthouse,418,,2
Shawn O'Hara,U.S. Senate,,Reform,Lawrence,Courthouse,6,,2
Gregg Harper,U.S. House,3,Republican,Lawrence,Courthouse,452,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lawrence,Courthouse,74,,2
Roger Gerrard,U.S. House,3,Independent,Lawrence,Courthouse,7,,2
Barbara Dale Washer,U.S. House,3,Reform,Lawrence,Courthouse,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Lawrence,East Arm,50,,2
Thad Cochran,U.S. Senate,,Republican,Lawrence,East Arm,48,,2
Shawn O'Hara,U.S. Senate,,Reform,Lawrence,East Arm,3,,2
Gregg Harper,U.S. House,3,Republican,Lawrence,East Arm,44,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lawrence,East Arm,52,,2
Roger Gerrard,U.S. House,3,Independent,Lawrence,East Arm,0,,2
