candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,Republican,Union,Beacon Hill,124,
Chris McDaniel,U.S. Senate,,Republican,Union,Beacon Hill,86,
Thad Cochran,U.S. Senate,,Republican,Union,Blue Springs,61,
Chris McDaniel,U.S. Senate,,Republican,Union,Blue Springs,101,
Thad Cochran,U.S. Senate,,Republican,Union,Blythe,35,
Chris McDaniel,U.S. Senate,,Republican,Union,Blythe,44,
Thad Cochran,U.S. Senate,,Republican,Union,Center,74,
Chris McDaniel,U.S. Senate,,Republican,Union,Center,62,
Thad Cochran,U.S. Senate,,Republican,Union,Central Maintenance,181,
Chris McDaniel,U.S. Senate,,Republican,Union,Central Maintenance,142,
Thad Cochran,U.S. Senate,,Republican,Union,Courthouse,159,
Chris McDaniel,U.S. Senate,,Republican,Union,Courthouse,90,
Thad Cochran,U.S. Senate,,Republican,Union,East Union,92,
Chris McDaniel,U.S. Senate,,Republican,Union,East Union,101,
Thad Cochran,U.S. Senate,,Republican,Union,Glenfield,127,
Chris McDaniel,U.S. Senate,,Republican,Union,Glenfield,88,
Thad Cochran,U.S. Senate,,Republican,Union,Hillcrest Church,123,
Chris McDaniel,U.S. Senate,,Republican,Union,Hillcrest Church,71,
Thad Cochran,U.S. Senate,,Republican,Union,Ingomar,103,
Chris McDaniel,U.S. Senate,,Republican,Union,Ingomar,91,
Thad Cochran,U.S. Senate,,Republican,Union,Jericho,63,
Chris McDaniel,U.S. Senate,,Republican,Union,Jericho,48,
Thad Cochran,U.S. Senate,,Republican,Union,Keownville,85,
Chris McDaniel,U.S. Senate,,Republican,Union,Keownville,68,
Thad Cochran,U.S. Senate,,Republican,Union,King's Chapel,47,
Chris McDaniel,U.S. Senate,,Republican,Union,King's Chapel,72,
Thad Cochran,U.S. Senate,,Republican,Union,Macedonia,52,
Chris McDaniel,U.S. Senate,,Republican,Union,Macedonia,39,
Thad Cochran,U.S. Senate,,Republican,Union,Myrtle,105,
Chris McDaniel,U.S. Senate,,Republican,Union,Myrtle,138,
Thad Cochran,U.S. Senate,,Republican,Union,NE Community College,248,
Chris McDaniel,U.S. Senate,,Republican,Union,NE Community College,115,
Thad Cochran,U.S. Senate,,Republican,Union,Pinedale,57,
Chris McDaniel,U.S. Senate,,Republican,Union,Pinedale,44,
Thad Cochran,U.S. Senate,,Republican,Union,Pleasant Ridge,37,
Chris McDaniel,U.S. Senate,,Republican,Union,Pleasant Ridge,44,
Thad Cochran,U.S. Senate,,Republican,Union,Sportsplex,162,
Chris McDaniel,U.S. Senate,,Republican,Union,Sportsplex,105,
Thad Cochran,U.S. Senate,,Republican,Union,West Union,108,
Chris McDaniel,U.S. Senate,,Republican,Union,West Union,69,
Thad Cochran,U.S. Senate,,Republican,Union,,2043,TRUE
Chris McDaniel,U.S. Senate,,Republican,Union,,1618,
