candidate,office,district,party,county,precinct,votes
Johnny L. DuPree,U.S. House,4,DEM,Stone,Bond,4
Mike Ezell,U.S. House,4,REP,Stone,Bond,71
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Bond,2
Johnny L. DuPree,U.S. House,4,DEM,Stone,National Guard,8
Mike Ezell,U.S. House,4,REP,Stone,National Guard,187
Alden Patrick Johnson,U.S. House,4,LIB,Stone,National Guard,6
Johnny L. DuPree,U.S. House,4,DEM,Stone,Critz Street,43
Mike Ezell,U.S. House,4,REP,Stone,Critz Street,248
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Critz Street,7
Johnny L. DuPree,U.S. House,4,DEM,Stone,Justice Court,41
Mike Ezell,U.S. House,4,REP,Stone,Justice Court,232
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Justice Court,4
Johnny L. DuPree,U.S. House,4,DEM,Stone,Fairgrounds Exhibit Bldg,176
Mike Ezell,U.S. House,4,REP,Stone,Fairgrounds Exhibit Bldg,171
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Fairgrounds Exhibit Bldg,8
Johnny L. DuPree,U.S. House,4,DEM,Stone,New Hope,270
Mike Ezell,U.S. House,4,REP,Stone,New Hope,129
Alden Patrick Johnson,U.S. House,4,LIB,Stone,New Hope,11
Johnny L. DuPree,U.S. House,4,DEM,Stone,Perkinston,24
Mike Ezell,U.S. House,4,REP,Stone,Perkinston,153
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Perkinston,6
Johnny L. DuPree,U.S. House,4,DEM,Stone,Magnolia,17
Mike Ezell,U.S. House,4,REP,Stone,Magnolia,235
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Magnolia,6
Johnny L. DuPree,U.S. House,4,DEM,Stone,McHenry Library,17
Mike Ezell,U.S. House,4,REP,Stone,McHenry Library,228
Alden Patrick Johnson,U.S. House,4,LIB,Stone,McHenry Library,5
Johnny L. DuPree,U.S. House,4,DEM,Stone,Elarbee-Silver Run,11
Mike Ezell,U.S. House,4,REP,Stone,Elarbee-Silver Run,246
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Elarbee-Silver Run,6
Johnny L. DuPree,U.S. House,4,DEM,Stone,Tuxechana-Sunflower,48
Mike Ezell,U.S. House,4,REP,Stone,Tuxechana-Sunflower,664
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Tuxechana-Sunflower,16
Johnny L. DuPree,U.S. House,4,DEM,Stone,McHenry Community Center,77
Mike Ezell,U.S. House,4,REP,Stone,McHenry Community Center,292
Alden Patrick Johnson,U.S. House,4,LIB,Stone,McHenry Community Center,16
Johnny L. DuPree,U.S. House,4,DEM,Stone,Flint Creek,64
Mike Ezell,U.S. House,4,REP,Stone,Flint Creek,453
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Flint Creek,8
Johnny L. DuPree,U.S. House,4,DEM,Stone,Big Level,52
Mike Ezell,U.S. House,4,REP,Stone,Big Level,384
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Big Level,11
Johnny L. DuPree,U.S. House,4,DEM,Stone,Ramsey Springs,14
Mike Ezell,U.S. House,4,REP,Stone,Ramsey Springs,126
Alden Patrick Johnson,U.S. House,4,LIB,Stone,Ramsey Springs,3
