county,precinct,office,district,party,candidate,votes,
Jones,Antioch,Governor,,Republican,Phil Bryant,248,
Jones,Antioch,Governor,,Democrat,Robert Gray,8,
Jones,Antioch,Governor,,Reform,Shawn O'Hara,2,
Jones,Antioch,Lieutenant Governor,,Democrat,Tim Johnson,13,
Jones,Antioch,Lieutenant Governor,,Republican,Tate Reeves,235,
Jones,Antioch,Lieutenant Governor,,Libertarian,Ron Williams,8,
Jones,Antioch,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Jones,Antioch,Secretary of State,,Democrat,Charles E. Graham,16,
Jones,Antioch,Secretary of State,,Republican,Delbert Hosemann,232,
Jones,Antioch,Secretary of State,,Reform,Randy Walker,10,
Jones,Antioch,Attorney General,,Democrat,Jim Hood,69,
Jones,Antioch,Attorney General,,Republican,Mike Hurst,188,
Jones,Antioch,State Auditor,,Republican,Stacey E. Pickering,242,
Jones,Antioch,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,12,
Jones,Antioch,State Auditor,,Reform,Lajena Walley,4,
Jones,Big Creek,Governor,,Republican,Phil Bryant,287,
Jones,Big Creek,Governor,,Democrat,Robert Gray,9,
Jones,Big Creek,Governor,,Reform,Shawn O'Hara,3,
Jones,Big Creek,Lieutenant Governor,,Democrat,Tim Johnson,15,
Jones,Big Creek,Lieutenant Governor,,Republican,Tate Reeves,269,
Jones,Big Creek,Lieutenant Governor,,Libertarian,Ron Williams,10,
Jones,Big Creek,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Jones,Big Creek,Secretary of State,,Democrat,Charles E. Graham,10,
Jones,Big Creek,Secretary of State,,Republican,Delbert Hosemann,280,
Jones,Big Creek,Secretary of State,,Reform,Randy Walker,9,
Jones,Big Creek,Attorney General,,Democrat,Jim Hood,77,
Jones,Big Creek,Attorney General,,Republican,Mike Hurst,222,
Jones,Big Creek,State Auditor,,Republican,Stacey E. Pickering,277,
Jones,Big Creek,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,16,
Jones,Big Creek,State Auditor,,Reform,Lajena Walley,4,
Jones,Blackwell,Governor,,Republican,Phil Bryant,173,
Jones,Blackwell,Governor,,Democrat,Robert Gray,6,
Jones,Blackwell,Governor,,Reform,Shawn O'Hara,2,
Jones,Blackwell,Lieutenant Governor,,Democrat,Tim Johnson,18,
Jones,Blackwell,Lieutenant Governor,,Republican,Tate Reeves,148,
Jones,Blackwell,Lieutenant Governor,,Libertarian,Ron Williams,9,
Jones,Blackwell,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Jones,Blackwell,Secretary of State,,Democrat,Charles E. Graham,12,
Jones,Blackwell,Secretary of State,,Republican,Delbert Hosemann,162,
Jones,Blackwell,Secretary of State,,Reform,Randy Walker,3,
Jones,Blackwell,Attorney General,,Democrat,Jim Hood,39,
Jones,Blackwell,Attorney General,,Republican,Mike Hurst,139,
Jones,Blackwell,State Auditor,,Republican,Stacey E. Pickering,163,
Jones,Blackwell,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,13,
Jones,Blackwell,State Auditor,,Reform,Lajena Walley,4,
Jones,Calhoun,Governor,,Republican,Phil Bryant,945,
Jones,Calhoun,Governor,,Democrat,Robert Gray,40,
Jones,Calhoun,Governor,,Reform,Shawn O'Hara,10,
Jones,Calhoun,Lieutenant Governor,,Democrat,Tim Johnson,74,
Jones,Calhoun,Lieutenant Governor,,Republican,Tate Reeves,862,
Jones,Calhoun,Lieutenant Governor,,Libertarian,Ron Williams,41,
Jones,Calhoun,Lieutenant Governor,,Reform,Rosa B. Williams,5,
Jones,Calhoun,Secretary of State,,Democrat,Charles E. Graham,59,
Jones,Calhoun,Secretary of State,,Republican,Delbert Hosemann,908,
Jones,Calhoun,Secretary of State,,Reform,Randy Walker,23,
Jones,Calhoun,Attorney General,,Democrat,Jim Hood,273,
Jones,Calhoun,Attorney General,,Republican,Mike Hurst,719,
Jones,Calhoun,State Auditor,,Republican,Stacey E. Pickering,885,
Jones,Calhoun,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,79,
Jones,Calhoun,State Auditor,,Reform,Lajena Walley,23,
Jones,Centerville,Governor,,Republican,Phil Bryant,101,
Jones,Centerville,Governor,,Democrat,Robert Gray,4,
Jones,Centerville,Governor,,Reform,Shawn O'Hara,3,
Jones,Centerville,Lieutenant Governor,,Democrat,Tim Johnson,6,
Jones,Centerville,Lieutenant Governor,,Republican,Tate Reeves,96,
Jones,Centerville,Lieutenant Governor,,Libertarian,Ron Williams,3,
Jones,Centerville,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Jones,Centerville,Secretary of State,,Democrat,Charles E. Graham,7,
Jones,Centerville,Secretary of State,,Republican,Delbert Hosemann,98,
Jones,Centerville,Secretary of State,,Reform,Randy Walker,2,
Jones,Centerville,Attorney General,,Democrat,Jim Hood,29,
Jones,Centerville,Attorney General,,Republican,Mike Hurst,78,
Jones,Centerville,State Auditor,,Republican,Stacey E. Pickering,92,
Jones,Centerville,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,12,
Jones,Centerville,State Auditor,,Reform,Lajena Walley,4,
Jones,Currie,Governor,,Republican,Phil Bryant,38,
Jones,Currie,Governor,,Democrat,Robert Gray,84,
Jones,Currie,Governor,,Reform,Shawn O'Hara,2,
Jones,Currie,Lieutenant Governor,,Democrat,Tim Johnson,91,
Jones,Currie,Lieutenant Governor,,Republican,Tate Reeves,28,
Jones,Currie,Lieutenant Governor,,Libertarian,Ron Williams,3,
Jones,Currie,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Jones,Currie,Secretary of State,,Democrat,Charles E. Graham,95,
Jones,Currie,Secretary of State,,Republican,Delbert Hosemann,27,
Jones,Currie,Secretary of State,,Reform,Randy Walker,2,
Jones,Currie,Attorney General,,Democrat,Jim Hood,111,
Jones,Currie,Attorney General,,Republican,Mike Hurst,15,
Jones,Currie,State Auditor,,Republican,Stacey E. Pickering,28,
Jones,Currie,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,96,
Jones,Currie,State Auditor,,Reform,Lajena Walley,1,
Jones,Erata,Governor,,Republican,Phil Bryant,133,
Jones,Erata,Governor,,Democrat,Robert Gray,99,
Jones,Erata,Governor,,Reform,Shawn O'Hara,4,
Jones,Erata,Lieutenant Governor,,Democrat,Tim Johnson,104,
Jones,Erata,Lieutenant Governor,,Republican,Tate Reeves,119,
Jones,Erata,Lieutenant Governor,,Libertarian,Ron Williams,7,
Jones,Erata,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Jones,Erata,Secretary of State,,Democrat,Charles E. Graham,102,
Jones,Erata,Secretary of State,,Republican,Delbert Hosemann,121,
Jones,Erata,Secretary of State,,Reform,Randy Walker,10,
Jones,Erata,Attorney General,,Democrat,Jim Hood,150,
Jones,Erata,Attorney General,,Republican,Mike Hurst,86,
Jones,Erata,State Auditor,,Republican,Stacey E. Pickering,128,
Jones,Erata,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,101,
Jones,Erata,State Auditor,,Reform,Lajena Walley,3,
Jones,First Assembly,Governor,,Republican,Phil Bryant,248,
Jones,First Assembly,Governor,,Democrat,Robert Gray,121,
Jones,First Assembly,Governor,,Reform,Shawn O'Hara,9,
Jones,First Assembly,Lieutenant Governor,,Democrat,Tim Johnson,126,
Jones,First Assembly,Lieutenant Governor,,Republican,Tate Reeves,224,
Jones,First Assembly,Lieutenant Governor,,Libertarian,Ron Williams,14,
Jones,First Assembly,Lieutenant Governor,,Reform,Rosa B. Williams,7,
Jones,First Assembly,Secretary of State,,Democrat,Charles E. Graham,127,
Jones,First Assembly,Secretary of State,,Republican,Delbert Hosemann,230,
Jones,First Assembly,Secretary of State,,Reform,Randy Walker,18,
Jones,First Assembly,Attorney General,,Democrat,Jim Hood,225,
Jones,First Assembly,Attorney General,,Republican,Mike Hurst,155,
Jones,First Assembly,State Auditor,,Republican,Stacey E. Pickering,226,
Jones,First Assembly,State Auditor,,Democrat,Jocelyn 'Joce' Pepper Pritchett,135,
Jones,First Assembly,State Auditor,,Reform,Lajena Walley,14,
Jones,George Harrison,Governor,,Republican,Phil Bryant,609,
Jones,George Harrison,Governor,,Democrat,Robert Gray,102,
Jones,George Harrison,Governor,,Reform,Shawn O'Hara,18,
Jones,George Harrison,Lieutenant Governor,,Democrat,Tim Johnson,122,
Jones,George Harrison,Lieutenant Governor,,Republican,Tate Reeves,556,
Jones,George Harrison,Lieutenant Governor,,Libertarian,Ron Williams,34,
Jones,George Harrison,Lieutenant Governor,,Reform,Rosa B. Williams,8,
Jones,George Harrison,Secretary of State,,Democrat,Charles E. Graham,113,
Jones,George Harrison,Secretary of State,,Republican,Delbert Hosemann,592,
Jones,George Harrison,Secretary of State,,Reform,Randy Walker,21,
Jones,George Harrison,Attorney General,,Democrat,Jim Hood,290,
