candidate,office,district,party,county,precinct,votes
Registered Voters,,,,Hinds,Precinct 1,1054
Ballots Cast,,,D,Hinds,Precinct 1,186
Ballots Cast,,,R,Hinds,Precinct 1,44
Robert Gray,Governor,,D,Hinds,Precinct 1,31
Valerie Adream Smartt Short,Governor,,D,Hinds,Precinct 1,26
Vicki Slater,Governor,,D,Hinds,Precinct 1,111
Write-in,Governor,,D,Hinds,Precinct 1,0
Jelani Barr,Lieutenant Governor,,D,Hinds,Precinct 1,47
Tim Johnson,Lieutenant Governor,,D,Hinds,Precinct 1,103
David Blount,State Senate,29,D,Hinds,Precinct 1,151
Eclecius L. Franklin,State Senate,29,D,Hinds,Precinct 1,4
Kathryn Michell Orey Perry,State Senate,29,D,Hinds,Precinct 1,22
Write-in,State Senate,29,D,Hinds,Precinct 1,0
Phil Bryant,Governor,,R,Hinds,Precinct 1,37
Mitch Young,Governor,,R,Hinds,Precinct 1,6
Write-in,Governor,,R,Hinds,Precinct 1,1
Alisha Nelson McElhenney,Lieutenant Governor,,R,Hinds,Precinct 1,10
Tate Reeves,Lieutenant Governor,,R,Hinds,Precinct 1,33
Mary Hawkins Butler,State Auditor,,R,Hinds,Precinct 1,16
Stacey E. Pickering,State Auditor,,R,Hinds,Precinct 1,26
Write-in,State Auditor,,R,Hinds,Precinct 1,1
Lynn Flitch,State Treasurer,,R,Hinds,Precinct 1,19
David McRae,State Treasurer,,R,Hinds,Precinct 1,24
Write-in,State Treasurer,,R,Hinds,Precinct 1,0
Mike Chaney,Commissioner of Insurance,,R,Hinds,Precinct 1,29
John Mosley,Commissioner of Insurance,,R,Hinds,Precinct 1,14
Write-in,Commissioner of Insurance,,R,Hinds,Precinct 1,0
Registered Voters,,,,Hinds,Precinct 2,291
Ballots Cast,,,D,Hinds,Precinct 2,59
Ballots Cast,,,R,Hinds,Precinct 2,0
Robert Gray,Governor,,D,Hinds,Precinct 2,25
Valerie Adream Smartt Short,Governor,,D,Hinds,Precinct 2,5
Vicki Slater,Governor,,D,Hinds,Precinct 2,21
Write-in,Governor,,D,Hinds,Precinct 2,0
Jelani Barr,Lieutenant Governor,,D,Hinds,Precinct 2,11
Tim Johnson,Lieutenant Governor,,D,Hinds,Precinct 2,38
David Blount,State Senate,29,D,Hinds,Precinct 2,41
Eclecius L. Franklin,State Senate,29,D,Hinds,Precinct 2,2
Kathryn Michell Orey Perry,State Senate,29,D,Hinds,Precinct 2,8
Write-in,State Senate,29,D,Hinds,Precinct 2,0
Samuel Lee Begley,State House,70,D,Hinds,Precinct 2,14
Tammy Cotton,State House,70,D,Hinds,Precinct 2,13
Kathy Sykes,State House,70,D,Hinds,Precinct 2,26
Write-in,State House,70,D,Hinds,Precinct 2,0
Phil Bryant,Governor,,R,Hinds,Precinct 2,0
Mitch Young,Governor,,R,Hinds,Precinct 2,0
Write-in,Governor,,R,Hinds,Precinct 2,0
Alisha Nelson McElhenney,Lieutenant Governor,,R,Hinds,Precinct 2,0
Tate Reeves,Lieutenant Governor,,R,Hinds,Precinct 2,0
Mary Hawkins Butler,State Auditor,,R,Hinds,Precinct 2,0
Stacey E. Pickering,State Auditor,,R,Hinds,Precinct 2,0
Write-in,State Auditor,,R,Hinds,Precinct 2,0
Lynn Flitch,State Treasurer,,R,Hinds,Precinct 2,0
David McRae,State Treasurer,,R,Hinds,Precinct 2,0
Write-in,State Treasurer,,R,Hinds,Precinct 2,0
Mike Chaney,Commissioner of Insurance,,R,Hinds,Precinct 2,0
John Mosley,Commissioner of Insurance,,R,Hinds,Precinct 2,0
Write-in,Commissioner of Insurance,,R,Hinds,Precinct 2,0
Registered Voters,,,,Hinds,Precinct 4,613
Ballots Cast,,,D,Hinds,Precinct 4,123
Ballots Cast,,,R,Hinds,Precinct 4,1
Robert Gray,Governor,,D,Hinds,Precinct 4,39
Valerie Adream Smartt Short,Governor,,D,Hinds,Precinct 4,39
Vicki Slater,Governor,,D,Hinds,Precinct 4,37
Write-in,Governor,,D,Hinds,Precinct 4,0
Jelani Barr,Lieutenant Governor,,D,Hinds,Precinct 4,49
Tim Johnson,Lieutenant Governor,,D,Hinds,Precinct 4,65
David Blount,State Senate,29,D,Hinds,Precinct 4,95
Eclecius L. Franklin,State Senate,29,D,Hinds,Precinct 4,6
Kathryn Michell Orey Perry,State Senate,29,D,Hinds,Precinct 4,16
Write-in,State Senate,29,D,Hinds,Precinct 4,0
Samuel Lee Begley,State House,70,D,Hinds,Precinct 4,24
Tammy Cotton,State House,70,D,Hinds,Precinct 4,25
Kathy Sykes,State House,70,D,Hinds,Precinct 4,67
Write-in,State House,70,D,Hinds,Precinct 4,0
Phil Bryant,Governor,,R,Hinds,Precinct 4,1
Mitch Young,Governor,,R,Hinds,Precinct 4,0
Write-in,Governor,,R,Hinds,Precinct 4,0
Alisha Nelson McElhenney,Lieutenant Governor,,R,Hinds,Precinct 4,0
Tate Reeves,Lieutenant Governor,,R,Hinds,Precinct 4,1
Mary Hawkins Butler,State Auditor,,R,Hinds,Precinct 4,0
Stacey E. Pickering,State Auditor,,R,Hinds,Precinct 4,1
Write-in,State Auditor,,R,Hinds,Precinct 4,0
Lynn Flitch,State Treasurer,,R,Hinds,Precinct 4,0
David McRae,State Treasurer,,R,Hinds,Precinct 4,1
Write-in,State Treasurer,,R,Hinds,Precinct 4,0
Mike Chaney,Commissioner of Insurance,,R,Hinds,Precinct 4,1
John Mosley,Commissioner of Insurance,,R,Hinds,Precinct 4,0
Write-in,Commissioner of Insurance,,R,Hinds,Precinct 4,0
Registered Voters,,,,Hinds,Precinct 6,855
Ballots Cast,,,D,Hinds,Precinct 6,114
Ballots Cast,,,R,Hinds,Precinct 6,11
Robert Gray,Governor,,D,Hinds,Precinct 6,26
Valerie Adream Smartt Short,Governor,,D,Hinds,Precinct 6,19
Vicki Slater,Governor,,D,Hinds,Precinct 6,38
Write-in,Governor,,D,Hinds,Precinct 6,0
Jelani Barr,Lieutenant Governor,,D,Hinds,Precinct 6,22
Tim Johnson,Lieutenant Governor,,D,Hinds,Precinct 6,54
David Blount,State Senate,29,D,Hinds,Precinct 6,75
Eclecius L. Franklin,State Senate,29,D,Hinds,Precinct 6,4
Kathryn Michell Orey Perry,State Senate,29,D,Hinds,Precinct 6,9
