county,precinct,office,district,party,candidate,votes,winner
Union,Beacon Hill,Governor,,Republican,Phil Bryant,377,
Union,Beacon Hill,Governor,,Democrat,Robert Gray,62,
Union,Beacon Hill,Governor,,Reform,Shawn O'Hara,5,
Union,Beacon Hill,Lieutenant Governor,,Democrat,Tim Johnson,87,
Union,Beacon Hill,Lieutenant Governor,,Republican,Tate Reeves,344,
Union,Beacon Hill,Lieutenant Governor,,Libertarian,Ron Williams,5,
Union,Beacon Hill,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Union,Beacon Hill,Secretary of State,,Democrat,Charles E. Graham,85,
Union,Beacon Hill,Secretary of State,,Republican,Delbert Hosemann,335,
Union,Beacon Hill,Secretary of State,,Reform,Randy Walker,15,
Union,Beacon Hill,Attorney General,,Democrat,Jim Hood,234,
Union,Beacon Hill,Attorney General,,Republican,Mike Hurst,207,
Union,Beacon Hill,State Auditor,,Republican,Stacey E. Pickering,360,
Union,Beacon Hill,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",70,
Union,Beacon Hill,State Auditor,,Reform,Lajena Walley,2,
Union,Beacon Hill,State Treasurer,,Republican,Lynn Finch,377,
Union,Beacon Hill,State Treasurer,,Reform,Viola V. McFarland,33,
Union,Beacon Hill,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,101,
Union,Beacon Hill,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,309,
Union,Beacon Hill,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,12,
Union,Beacon Hill,Commissioner of Insurance,,Republican,Mike Chaney,401,
Union,Beacon Hill,State Senate,3,Republican,Nickey Browning,363,
Union,Beacon Hill,State Senate,3,Democrat,Christopher Stark,74,
Union,Beacon Hill,State House,14,Republican,Margaret Ellis Rogers,407,
Union,Blue Springs,Governor,,Republican,Phil Bryant,237,
Union,Blue Springs,Governor,,Democrat,Robert Gray,29,
Union,Blue Springs,Governor,,Reform,Shawn O'Hara,4,
Union,Blue Springs,Lieutenant Governor,,Democrat,Tim Johnson,46,
Union,Blue Springs,Lieutenant Governor,,Republican,Tate Reeves,213,
Union,Blue Springs,Lieutenant Governor,,Libertarian,Ron Williams,3,
Union,Blue Springs,Lieutenant Governor,,Reform,Rosa B. Williams,3,
Union,Blue Springs,Secretary of State,,Democrat,Charles E. Graham,37,
