county,precinct,office,district,party,candidate,votes,winner
Tunica,Banks/Hambrick,Governor,,Republican,Phil Bryant,25,
Tunica,Banks/Hambrick,Governor,,Democrat,Robert Gray,94,
Tunica,Banks/Hambrick,Governor,,Reform,Shawn O'Hara,2,
Tunica,Banks/Hambrick,Lieutenant Governor,,Democrat,Tim Johnson,101,
Tunica,Banks/Hambrick,Lieutenant Governor,,Republican,Tate Reeves,8,
Tunica,Banks/Hambrick,Lieutenant Governor,,Libertarian,Ron Williams,5,
Tunica,Banks/Hambrick,Lieutenant Governor,,Reform,Rosa B. Williams,4,
Tunica,Banks/Hambrick,Secretary of State,,Democrat,Charles E. Graham,103,
Tunica,Banks/Hambrick,Secretary of State,,Republican,Delbert Hosemann,6,
Tunica,Banks/Hambrick,Secretary of State,,Reform,Randy Walker,6,
Tunica,Banks/Hambrick,Attorney General,,Democrat,Jim Hood,103,
Tunica,Banks/Hambrick,Attorney General,,Republican,Mike Hurst,10,
Tunica,Banks/Hambrick,State Auditor,,Republican,Stacey E. Pickering,13,
Tunica,Banks/Hambrick,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",99,
Tunica,Banks/Hambrick,State Auditor,,Reform,Lajena Walley,3,
Tunica,Banks/Hambrick,State Treasurer,,Republican,Lynn Finch,28,
Tunica,Banks/Hambrick,State Treasurer,,Reform,Viola V. McFarland,52,
Tunica,Banks/Hambrick,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,100,
Tunica,Banks/Hambrick,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,9,
Tunica,Banks/Hambrick,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,6,
Tunica,Banks/Hambrick,Commissioner of Insurance,,Republican,Mike Chaney,67,
Tunica,Banks/Hambrick,State Senate,11,Democrat,Robert L. Jackson,111,
Tunica,Banks/Hambrick,State House,9,Democrat,"Cedric ""Bam Bam"" Burnett",88,
Tunica,Banks/Hambrick,State House,9,Republican,"Christopher Thomas, Sr.",29,
Tunica,Mhoon Landing,Governor,,Republican,Phil Bryant,82,
Tunica,Mhoon Landing,Governor,,Democrat,Robert Gray,8,
Tunica,Mhoon Landing,Governor,,Reform,Shawn O'Hara,1,
Tunica,Mhoon Landing,Lieutenant Governor,,Democrat,Tim Johnson,23,
Tunica,Mhoon Landing,Lieutenant Governor,,Republican,Tate Reeves,61,
Tunica,Mhoon Landing,Lieutenant Governor,,Libertarian,Ron Williams,3,
Tunica,Mhoon Landing,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Tunica,Mhoon Landing,Secretary of State,,Democrat,Charles E. Graham,22,
Tunica,Mhoon Landing,Secretary of State,,Republican,Delbert Hosemann,58,
Tunica,Mhoon Landing,Secretary of State,,Reform,Randy Walker,8,
Tunica,Mhoon Landing,Attorney General,,Democrat,Jim Hood,38,
Tunica,Mhoon Landing,Attorney General,,Republican,Mike Hurst,50,
Tunica,Mhoon Landing,State Auditor,,Republican,Stacey E. Pickering,71,
Tunica,Mhoon Landing,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",15,
Tunica,Mhoon Landing,State Auditor,,Reform,Lajena Walley,1,
Tunica,Mhoon Landing,State Treasurer,,Republican,Lynn Finch,76,
Tunica,Mhoon Landing,State Treasurer,,Reform,Viola V. McFarland,10,
Tunica,Mhoon Landing,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,16,
Tunica,Mhoon Landing,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,68,
Tunica,Mhoon Landing,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Tunica,Mhoon Landing,Commissioner of Insurance,,Republican,Mike Chaney,82,
Tunica,Mhoon Landing,State Senate,11,Democrat,Robert L. Jackson,47,
Tunica,Mhoon Landing,State House,9,Democrat,"Cedric ""Bam Bam"" Burnett",30,
Tunica,Mhoon Landing,State House,9,Republican,"Christopher Thomas, Sr.",55,
Tunica,New Sub Park,Governor,,Republican,Phil Bryant,192,
Tunica,New Sub Park,Governor,,Democrat,Robert Gray,128,
Tunica,New Sub Park,Governor,,Reform,Shawn O'Hara,9,
Tunica,New Sub Park,Lieutenant Governor,,Democrat,Tim Johnson,141,
Tunica,New Sub Park,Lieutenant Governor,,Republican,Tate Reeves,142,
Tunica,New Sub Park,Lieutenant Governor,,Libertarian,Ron Williams,21,
Tunica,New Sub Park,Lieutenant Governor,,Reform,Rosa B. Williams,16,
Tunica,New Sub Park,Secretary of State,,Democrat,Charles E. Graham,168,
Tunica,New Sub Park,Secretary of State,,Republican,Delbert Hosemann,130,
Tunica,New Sub Park,Secretary of State,,Reform,Randy Walker,18,
Tunica,New Sub Park,Attorney General,,Democrat,Jim Hood,192,
Tunica,New Sub Park,Attorney General,,Republican,Mike Hurst,130,
Tunica,New Sub Park,State Auditor,,Republican,Stacey E. Pickering,150,
Tunica,New Sub Park,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",156,
Tunica,New Sub Park,State Auditor,,Reform,Lajena Walley,9,
Tunica,New Sub Park,State Treasurer,,Republican,Lynn Finch,195,
Tunica,New Sub Park,State Treasurer,,Reform,Viola V. McFarland,83,
Tunica,New Sub Park,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,161,
Tunica,New Sub Park,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,141,
Tunica,New Sub Park,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,12,
Tunica,New Sub Park,Commissioner of Insurance,,Republican,Mike Chaney,254,
Tunica,New Sub Park,State Senate,11,Democrat,Robert L. Jackson,271,
Tunica,New Sub Park,State House,9,Democrat,"Cedric ""Bam Bam"" Burnett",272,
Tunica,New Sub Park,State House,9,Republican,"Christopher Thomas, Sr.",65,
Tunica,Prichard,Governor,,Republican,Phil Bryant,72,
Tunica,Prichard,Governor,,Democrat,Robert Gray,142,
Tunica,Prichard,Governor,,Reform,Shawn O'Hara,5,
Tunica,Prichard,Lieutenant Governor,,Democrat,Tim Johnson,165,
Tunica,Prichard,Lieutenant Governor,,Republican,Tate Reeves,30,
Tunica,Prichard,Lieutenant Governor,,Libertarian,Ron Williams,7,
Tunica,Prichard,Lieutenant Governor,,Reform,Rosa B. Williams,7,
