candidate,office,district,party,county,precinct,votes
Phil Bryant,Governor,,Republican,Tippah,Blue Mountain,378
Robert Gray,Governor,,Democrat,Tippah,Blue Mountain,132
Shawn O'Hara,Governor,,Reform,Tippah,Blue Mountain,8
Tim Johnson,Lieutenant Governor,,Democrat,Tippah,Blue Mountain,177
Tate Reeves,Lieutenant Governor,,Republican,Tippah,Blue Mountain,299
Ron Williams,Lieutenant Governor,,Libertarian,Tippah,Blue Mountain,20
Rosa B. Williams,Lieutenant Governor,,Reform,Tippah,Blue Mountain,8
Charles E. Graham,Secretary of State,,Democrat,Tippah,Blue Mountain,187
Delbert Hosemann,Secretary of State,,Republican,Tippah,Blue Mountain,266
Randy Walker,Secretary of State,,Reform,Tippah,Blue Mountain,52
Jim Hood,Attorney General,,Democrat,Tippah,Blue Mountain,310
Mike Hurst,Attorney General,,Republican,Tippah,Blue Mountain,197
Stacey E. Pickering,State Auditor,,Republican,Tippah,Blue Mountain,323
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Tippah,Blue Mountain,165
Lajena Walley,State Auditor,,Reform,Tippah,Blue Mountain,8
Lynn Fitch,State Treasurer,,Republican,Tippah,Blue Mountain,389
Viola V. McFarland,State Treasurer,,Reform,Tippah,Blue Mountain,83
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Tippah,Blue Mountain,202
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Tippah,Blue Mountain,275
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Tippah,Blue Mountain,18
Mike Chaney,Commissioner of Insurance,,Republican,Tippah,Blue Mountain,437
Rita Potts Parks,State Senate,04,Republican,Tippah,Blue Mountain,283
Eric Powell,State Senate,04,Democrat,Tippah,Blue Mountain,232
Joseph F. 'Jody' Steverson,State House,04,Democrat,Tippah,Blue Mountain,465
Phil Bryant,Governor,,Republican,Tippah,Brownfield,75
Robert Gray,Governor,,Democrat,Tippah,Brownfield,4
Shawn O'Hara,Governor,,Reform,Tippah,Brownfield,0
Tim Johnson,Lieutenant Governor,,Democrat,Tippah,Brownfield,12
Tate Reeves,Lieutenant Governor,,Republican,Tippah,Brownfield,63
Ron Williams,Lieutenant Governor,,Libertarian,Tippah,Brownfield,1
Rosa B. Williams,Lieutenant Governor,,Reform,Tippah,Brownfield,0
Charles E. Graham,Secretary of State,,Democrat,Tippah,Brownfield,12
Delbert Hosemann,Secretary of State,,Republican,Tippah,Brownfield,59
Randy Walker,Secretary of State,,Reform,Tippah,Brownfield,4
Jim Hood,Attorney General,,Democrat,Tippah,Brownfield,33
Mike Hurst,Attorney General,,Republican,Tippah,Brownfield,44
Stacey E. Pickering,State Auditor,,Republican,Tippah,Brownfield,65
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Tippah,Brownfield,9
Lajena Walley,State Auditor,,Reform,Tippah,Brownfield,0
Lynn Fitch,State Treasurer,,Republican,Tippah,Brownfield,71
Viola V. McFarland,State Treasurer,,Reform,Tippah,Brownfield,3
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Tippah,Brownfield,9
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Tippah,Brownfield,60
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Tippah,Brownfield,4
Mike Chaney,Commissioner of Insurance,,Republican,Tippah,Brownfield,72
Rita Potts Parks,State Senate,04,Republican,Tippah,Brownfield,54
Eric Powell,State Senate,04,Democrat,Tippah,Brownfield,23
Joseph F. 'Jody' Steverson,State House,04,Democrat,Tippah,Brownfield,63
Phil Bryant,Governor,,Republican,Tippah,Chalybeate,263
Robert Gray,Governor,,Democrat,Tippah,Chalybeate,38
Shawn O'Hara,Governor,,Reform,Tippah,Chalybeate,3
Tim Johnson,Lieutenant Governor,,Democrat,Tippah,Chalybeate,71
Tate Reeves,Lieutenant Governor,,Republican,Tippah,Chalybeate,208
Ron Williams,Lieutenant Governor,,Libertarian,Tippah,Chalybeate,7
Rosa B. Williams,Lieutenant Governor,,Reform,Tippah,Chalybeate,6
Charles E. Graham,Secretary of State,,Democrat,Tippah,Chalybeate,75
Delbert Hosemann,Secretary of State,,Republican,Tippah,Chalybeate,196
Randy Walker,Secretary of State,,Reform,Tippah,Chalybeate,24
Jim Hood,Attorney General,,Democrat,Tippah,Chalybeate,139
Mike Hurst,Attorney General,,Republican,Tippah,Chalybeate,155
Stacey E. Pickering,State Auditor,,Republican,Tippah,Chalybeate,226
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Tippah,Chalybeate,58
Lajena Walley,State Auditor,,Reform,Tippah,Chalybeate,7
Lynn Fitch,State Treasurer,,Republican,Tippah,Chalybeate,250
Viola V. McFarland,State Treasurer,,Reform,Tippah,Chalybeate,30
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Tippah,Chalybeate,78
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Tippah,Chalybeate,192
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Tippah,Chalybeate,14
Mike Chaney,Commissioner of Insurance,,Republican,Tippah,Chalybeate,272
Mike Maynard,Public Service Commissioner,Northern District,Republican,Tippah,Chalybeate,152
Rita Potts Parks,State Senate,04,Republican,Tippah,Chalybeate,185
Eric Powell,State Senate,04,Democrat,Tippah,Chalybeate,119
Joseph F. 'Jody' Steverson,State House,04,Democrat,Tippah,Chalybeate,250
Phil Bryant,Governor,,Republican,Tippah,Chapman,316
Robert Gray,Governor,,Democrat,Tippah,Chapman,32
Shawn O'Hara,Governor,,Reform,Tippah,Chapman,2
Tim Johnson,Lieutenant Governor,,Democrat,Tippah,Chapman,59
Tate Reeves,Lieutenant Governor,,Republican,Tippah,Chapman,271
Ron Williams,Lieutenant Governor,,Libertarian,Tippah,Chapman,5
Rosa B. Williams,Lieutenant Governor,,Reform,Tippah,Chapman,6
Charles E. Graham,Secretary of State,,Democrat,Tippah,Chapman,65
Delbert Hosemann,Secretary of State,,Republican,Tippah,Chapman,25
Randy Walker,Secretary of State,,Reform,Tippah,Chapman,38
Jim Hood,Attorney General,,Democrat,Tippah,Chapman,158
Mike Hurst,Attorney General,,Republican,Tippah,Chapman,193
Stacey E. Pickering,State Auditor,,Republican,Tippah,Chapman,273
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Tippah,Chapman,53
Lajena Walley,State Auditor,,Reform,Tippah,Chapman,8
Lynn Fitch,State Treasurer,,Republican,Tippah,Chapman,307
Viola V. McFarland,State Treasurer,,Reform,Tippah,Chapman,18
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Tippah,Chapman,74
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Tippah,Chapman,248
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Tippah,Chapman,14
Mike Chaney,Commissioner of Insurance,,Republican,Tippah,Chapman,316
Rita Potts Parks,State Senate,04,Republican,Tippah,Chapman,224
Eric Powell,State Senate,04,Democrat,Tippah,Chapman,128
Joseph F. 'Jody' Steverson,State House,04,Democrat,Tippah,Chapman,323
Phil Bryant,Governor,,Republican,Tippah,Clarysville,102
Robert Gray,Governor,,Democrat,Tippah,Clarysville,2
Shawn O'Hara,Governor,,Reform,Tippah,Clarysville,1
Tim Johnson,Lieutenant Governor,,Democrat,Tippah,Clarysville,9
Tate Reeves,Lieutenant Governor,,Republican,Tippah,Clarysville,94
Ron Williams,Lieutenant Governor,,Libertarian,Tippah,Clarysville,0
Rosa B. Williams,Lieutenant Governor,,Reform,Tippah,Clarysville,1
Charles E. Graham,Secretary of State,,Democrat,Tippah,Clarysville,16
Delbert Hosemann,Secretary of State,,Republican,Tippah,Clarysville,79
Randy Walker,Secretary of State,,Reform,Tippah,Clarysville,5
Jim Hood,Attorney General,,Democrat,Tippah,Clarysville,45
Mike Hurst,Attorney General,,Republican,Tippah,Clarysville,55
Stacey E. Pickering,State Auditor,,Republican,Tippah,Clarysville,87
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Tippah,Clarysville,10
Lajena Walley,State Auditor,,Reform,Tippah,Clarysville,1
Lynn Fitch,State Treasurer,,Republican,Tippah,Clarysville,91
Viola V. McFarland,State Treasurer,,Reform,Tippah,Clarysville,6
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Tippah,Clarysville,17
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Tippah,Clarysville,82
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Tippah,Clarysville,0
Mike Chaney,Commissioner of Insurance,,Republican,Tippah,Clarysville,93
Rita Potts Parks,State Senate,04,Republican,Tippah,Clarysville,90
Eric Powell,State Senate,04,Democrat,Tippah,Clarysville,14
Joseph F. 'Jody' Steverson,State House,04,Democrat,Tippah,Clarysville,92
Phil Bryant,Governor,,Republican,Tippah,Cotton Plant,59
Robert Gray,Governor,,Democrat,Tippah,Cotton Plant,48
Shawn O'Hara,Governor,,Reform,Tippah,Cotton Plant,3
Tim Johnson,Lieutenant Governor,,Democrat,Tippah,Cotton Plant,51
Tate Reeves,Lieutenant Governor,,Republican,Tippah,Cotton Plant,51
Ron Williams,Lieutenant Governor,,Libertarian,Tippah,Cotton Plant,2
