page,candidate,office,district,party,county,precinct,votes,winner
2,Phil Bryant,Governor,,R,Yazoo,3 - 1 West,0,
2,Mitch Young,Governor,,R,Yazoo,3 - 1 West,0,
2,Phil Bryant,Governor,,R,Yazoo,3 - 2 East,28,
2,Mitch Young,Governor,,R,Yazoo,3 - 2 East,2,
2,Phil Bryant,Governor,,R,Yazoo,3 - 4 South,49,
2,Mitch Young,Governor,,R,Yazoo,3 - 4 South,0,
2,Phil Bryant,Governor,,R,Yazoo,Benton,115,
2,Mitch Young,Governor,,R,Yazoo,Benton,3,
2,Phil Bryant,Governor,,R,Yazoo,Center Ridge,123,
2,Mitch Young,Governor,,R,Yazoo,Center Ridge,1,
2,Phil Bryant,Governor,,R,Yazoo,Deasonville,80,
2,Mitch Young,Governor,,R,Yazoo,Deasonville,0,
2,Phil Bryant,Governor,,R,Yazoo,Dover,65,
2,Mitch Young,Governor,,R,Yazoo,Dover,3,
2,Phil Bryant,Governor,,R,Yazoo,East Bentonia,50,
2,Mitch Young,Governor,,R,Yazoo,East Bentonia,1,
2,Phil Bryant,Governor,,R,Yazoo,East Midway,27,
2,Mitch Young,Governor,,R,Yazoo,East Midway,1,
2,Phil Bryant,Governor,,R,Yazoo,Eden,48,
2,Mitch Young,Governor,,R,Yazoo,Eden,2,
2,Phil Bryant,Governor,,R,Yazoo,Free Run,41,
2,Mitch Young,Governor,,R,Yazoo,Free Run,1,
3,Phil Bryant,Governor,,R,Yazoo,Fugates,78,
3,Mitch Young,Governor,,R,Yazoo,Fugates,3,
3,Phil Bryant,Governor,,R,Yazoo,Harttown,18,
3,Mitch Young,Governor,,R,Yazoo,Harttown,1,
3,Phil Bryant,Governor,,R,Yazoo,Holly Bluff,36,
3,Mitch Young,Governor,,R,Yazoo,Holly Bluff,0,
3,Phil Bryant,Governor,,R,Yazoo,Jonestown,0,
3,Mitch Young,Governor,,R,Yazoo,Jonestown,0,
3,Phil Bryant,Governor,,R,Yazoo,Lake City,58,
3,Mitch Young,Governor,,R,Yazoo,Lake City,0,
3,Phil Bryant,Governor,,R,Yazoo,Mechanicsburg,121,
3,Mitch Young,Governor,,R,Yazoo,Mechanicsburg,3,
3,Phil Bryant,Governor,,R,Yazoo,Robinette,76,
3,Mitch Young,Governor,,R,Yazoo,Robinette,1,
3,Phil Bryant,Governor,,R,Yazoo,Satartia,10,
3,Mitch Young,Governor,,R,Yazoo,Satartia,0,
3,Phil Bryant,Governor,,R,Yazoo,Valley,44,
3,Mitch Young,Governor,,R,Yazoo,Valley,0,
3,Phil Bryant,Governor,,R,Yazoo,Ward 2,125,
3,Mitch Young,Governor,,R,Yazoo,Ward 2,0,
3,Phil Bryant,Governor,,R,Yazoo,Ward 4,145,
3,Mitch Young,Governor,,R,Yazoo,Ward 4,2,
4,Phil Bryant,Governor,,R,Yazoo,Ward 5,4,
4,Mitch Young,Governor,,R,Yazoo,Ward 5,0,
4,Phil Bryant,Governor,,R,Yazoo,West Bentonia,58,
4,Mitch Young,Governor,,R,Yazoo,West Bentonia,1,
4,Phil Bryant,Governor,,R,Yazoo,West Midway,42,
4,Mitch Young,Governor,,R,Yazoo,West Midway,2,
4,Phil Bryant,Governor,,R,Yazoo,Zion,43,
4,Mitch Young,Governor,,R,Yazoo,Zion,1,
4,Phil Bryant,Governor,,R,Yazoo,TOTAL,1484,
4,Mitch Young,Governor,,R,Yazoo,TOTAL,28,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,3 - 1 West,0,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,3 - 1 West,0,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,3 - 2 East,5,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,3 - 2 East,25,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,3 - 4 South,5,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,3 - 4 South,44,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Benton,30,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,Benton,87,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Center Ridge,8,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,Center Ridge,113,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Deasonville,6,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,Deasonville,71,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Dover,10,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,Dover,58,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,East Bentonia,8,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,East Bentonia,43,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,East Midway,3,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,East Midway,24,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Eden,5,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,Eden,44,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Free Run,5,
2,Tate Reeves,Lieutenant Governor,,R,Yazoo,Free Run,34,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Fugates,5,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Fugates,75,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Harttown,1,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Harttown,18,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Holly Bluff,2,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Holly Bluff,34,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Jonestown,0,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Jonestown,0,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Lake City,6,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Lake City,52,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Mechanicsburg,10,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Mechanicsburg,111,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Robinette,9,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Robinette,67,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Satartia,0,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Satartia,11,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Valley,3,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Valley,40,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Ward 2,3,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Ward 2,122,
3,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Ward 4,12,
3,Tate Reeves,Lieutenant Governor,,R,Yazoo,Ward 4,133,
4,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Ward 5,0,
4,Tate Reeves,Lieutenant Governor,,R,Yazoo,Ward 5,4,
4,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,West Bentonia,6,
4,Tate Reeves,Lieutenant Governor,,R,Yazoo,West Bentonia,53,
4,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,West Midway,4,
4,Tate Reeves,Lieutenant Governor,,R,Yazoo,West Midway,39,
4,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,Zion,8,
4,Tate Reeves,Lieutenant Governor,,R,Yazoo,Zion,36,
4,Alisha Nelson McElhenney,Lieutenant Governor,,R,Yazoo,TOTAL,154,
4,Tate Reeves,Lieutenant Governor,,R,Yazoo,TOTAL,1338,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,3 - 1 West,0,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,3 - 2 East,26,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,3 - 4 South,48,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,Benton,111,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,Center Ridge,120,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,Deasonville,77,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,Dover,67,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,East Bentonia,51,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,East Midway,27,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,Eden,49,
2,Delbert Hosemann,Secretary of State,,R,Yazoo,Free Run,37,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Fugates,76,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Harttown,18,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Holly Bluff,36,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Jonestown,0,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Lake City,57,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Mechanicsburg,122,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Robinette,74,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Satartia,8,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Valley,42,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Ward 2,126,
3,Delbert Hosemann,Secretary of State,,R,Yazoo,Ward 4,143,
4,Delbert Hosemann,Secretary of State,,R,Yazoo,Ward 5,4,
4,Delbert Hosemann,Secretary of State,,R,Yazoo,West Bentonia,58,
4,Delbert Hosemann,Secretary of State,,R,Yazoo,West Midway,41,
4,Delbert Hosemann,Secretary of State,,R,Yazoo,Zion,43,
4,Delbert Hosemann,Secretary of State,,R,Yazoo,TOTAL,1461,
2,Mike Hurst,Attorney General,,R,Yazoo,3 - 1 West,0,
2,Mike Hurst,Attorney General,,R,Yazoo,3 - 2 East,25,
2,Mike Hurst,Attorney General,,R,Yazoo,3 - 4 South,47,
2,Mike Hurst,Attorney General,,R,Yazoo,Benton,104,
2,Mike Hurst,Attorney General,,R,Yazoo,Center Ridge,114,
2,Mike Hurst,Attorney General,,R,Yazoo,Deasonville,66,
2,Mike Hurst,Attorney General,,R,Yazoo,Dover,65,
2,Mike Hurst,Attorney General,,R,Yazoo,East Bentonia,47,
2,Mike Hurst,Attorney General,,R,Yazoo,East Midway,22,
2,Mike Hurst,Attorney General,,R,Yazoo,Eden,44,
2,Mike Hurst,Attorney General,,R,Yazoo,Free Run,33,
3,Mike Hurst,Attorney General,,R,Yazoo,Fugates,71,
3,Mike Hurst,Attorney General,,R,Yazoo,Harttown,16,
3,Mike Hurst,Attorney General,,R,Yazoo,Holly Bluff,31,
3,Mike Hurst,Attorney General,,R,Yazoo,Jonestown,0,
3,Mike Hurst,Attorney General,,R,Yazoo,Lake City,54,
3,Mike Hurst,Attorney General,,R,Yazoo,Mechanicsburg,110,
3,Mike Hurst,Attorney General,,R,Yazoo,Robinette,70,
3,Mike Hurst,Attorney General,,R,Yazoo,Satartia,8,
3,Mike Hurst,Attorney General,,R,Yazoo,Valley,36,
3,Mike Hurst,Attorney General,,R,Yazoo,Ward 2,121,
3,Mike Hurst,Attorney General,,R,Yazoo,Ward 4,128,
4,Mike Hurst,Attorney General,,R,Yazoo,Ward 5,4,
4,Mike Hurst,Attorney General,,R,Yazoo,West Bentonia,53,
4,Mike Hurst,Attorney General,,R,Yazoo,West Midway,38,
4,Mike Hurst,Attorney General,,R,Yazoo,Zion,39,
4,Mike Hurst,Attorney General,,R,Yazoo,TOTAL,1346,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,3 - 1 West,0,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,3 - 1 West,0,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,3 - 2 East,14,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,3 - 2 East,16,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,3 - 4 South,16,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,3 - 4 South,33,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,Benton,42,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,Benton,74,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,Center Ridge,31,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,Center Ridge,92,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,Deasonville,22,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,Deasonville,58,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,Dover,21,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,Dover,48,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,East Bentonia,17,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,East Bentonia,34,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,East Midway,9,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,East Midway,18,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,Eden,19,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,Eden,29,
2,Mary Hawkins Butler,State Auditor,,R,Yazoo,Free Run,19,
2,Stacey E. Pickering,State Auditor,,R,Yazoo,Free Run,19,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Fugates,23,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Fugates,58,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Harttown,6,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Harttown,13,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Holly Bluff,11,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Holly Bluff,22,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Jonestown,0,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Jonestown,0,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Lake City,24,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Lake City,34,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Mechanicsburg,25,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Mechanicsburg,97,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Robinette,23,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Robinette,52,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Satartia,0,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Satartia,11,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Valley,15,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Valley,27,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Ward 2,38,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Ward 2,87,
3,Mary Hawkins Butler,State Auditor,,R,Yazoo,Ward 4,50,
3,Stacey E. Pickering,State Auditor,,R,Yazoo,Ward 4,98,
4,Mary Hawkins Butler,State Auditor,,R,Yazoo,Ward 5,2,
4,Stacey E. Pickering,State Auditor,,R,Yazoo,Ward 5,2,
4,Mary Hawkins Butler,State Auditor,,R,Yazoo,West Bentonia,9,
4,Stacey E. Pickering,State Auditor,,R,Yazoo,West Bentonia,52,
4,Mary Hawkins Butler,State Auditor,,R,Yazoo,West Midway,16,
4,Stacey E. Pickering,State Auditor,,R,Yazoo,West Midway,28,
4,Mary Hawkins Butler,State Auditor,,R,Yazoo,Zion,18,
4,Stacey E. Pickering,State Auditor,,R,Yazoo,Zion,25,
4,Mary Hawkins Butler,State Auditor,,R,Yazoo,TOTAL,470,
4,Stacey E. Pickering,State Auditor,,R,Yazoo,TOTAL,1027,
2,Lynn Fitch,State Treasurer,,R,Yazoo,3 - 1 West,0,
