page,candidate,office,district,party,county,precinct,votes,winner
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Tishomingo ,Burnsville,216,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Tishomingo ,Burnsville,46,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Tishomingo ,Burnsville,0,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Tishomingo ,Burnsville,2,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Tishomingo ,Burnsville,2,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Tishomingo ,Burnsville,8,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Tishomingo ,Burnsville,0,
2,Thad Cochran,US Senate,,Republican,Tishomingo ,Burnsville,207,
2,Erik R. Fleming,US Senate,,Democrat,Tishomingo ,Burnsville,58,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Tishomingo ,Burnsville,78,
2,Roger Wicker,US Senate for Unexpired Term,,,Tishomingo ,Burnsville,191,
2,Travis W. Childers ,US House,1,Democrat,Tishomingo ,Burnsville,140,
2,Greg Davis ,US House,1,Republican,Tishomingo ,Burnsville,124,
2,Wally Pang,US House,1,Independent,Tishomingo ,Burnsville,1,
2,John M. Wages Jr. ,US House,1,Green,Tishomingo ,Burnsville,1,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Tishomingo ,Belmont,464,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Tishomingo ,Belmont,83,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Tishomingo ,Belmont,1,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Tishomingo ,Belmont,3,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Tishomingo ,Belmont,0,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Tishomingo ,Belmont,5,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Tishomingo ,Belmont,0,
2,Thad Cochran,US Senate,,Republican,Tishomingo ,Belmont,446,
2,Erik R. Fleming,US Senate,,Democrat,Tishomingo ,Belmont,75,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Tishomingo ,Belmont,140,
2,Roger Wicker,US Senate for Unexpired Term,,,Tishomingo ,Belmont,404,
2,Travis W. Childers ,US House,1,Democrat,Tishomingo ,Belmont,255,
2,Greg Davis ,US House,1,Republican,Tishomingo ,Belmont,280,
2,Wally Pang,US House,1,Independent,Tishomingo ,Belmont,3,
2,John M. Wages Jr. ,US House,1,Green,Tishomingo ,Belmont,4,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Tishomingo ,Coles Mill ,317,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Tishomingo ,Coles Mill ,95,
