candidate,office,district,party,county,votes
Travis Childers,U.S. House,1,Democrat,Alcorn,1454
Travis Childers,U.S. House,1,Democrat,Benton,384
Travis Childers,U.S. House,1,Democrat,Calhoun,500
Travis Childers,U.S. House,1,Democrat,Chickasaw,575
Travis Childers,U.S. House,1,Democrat,Choctaw,356
Travis Childers,U.S. House,1,Democrat,Clay,1012
Travis Childers,U.S. House,1,Democrat,DeSoto,1056
Travis Childers,U.S. House,1,Democrat,Grenada,390
Travis Childers,U.S. House,1,Democrat,Itawamba,536
Travis Childers,U.S. House,1,Democrat,Lafayette,530
Travis Childers,U.S. House,1,Democrat,Lee,1266
Travis Childers,U.S. House,1,Democrat,Lowndes,1056
Travis Childers,U.S. House,1,Democrat,Marshall,1118
Travis Childers,U.S. House,1,Democrat,Monroe,1443
Travis Childers,U.S. House,1,Democrat,Panola,1017
Travis Childers,U.S. House,1,Democrat,Pontotoc,584
Travis Childers,U.S. House,1,Democrat,Prentiss,3543
Travis Childers,U.S. House,1,Democrat,Tate,646
Travis Childers,U.S. House,1,Democrat,Tippah,889
Travis Childers,U.S. House,1,Democrat,Tishomingo,926
Travis Childers,U.S. House,1,Democrat,Union,796
Travis Childers,U.S. House,1,Democrat,Webster,274
Travis Childers,U.S. House,1,Democrat,Winston,3
Travis Childers,U.S. House,1,Democrat,Yalobusha,443
Steve Holland,U.S. House,1,Democrat,Alcorn,290
Steve Holland,U.S. House,1,Democrat,Benton,95
Steve Holland,U.S. House,1,Democrat,Calhoun,471
Steve Holland,U.S. House,1,Democrat,Chickasaw,1066
Steve Holland,U.S. House,1,Democrat,Choctaw,138
Steve Holland,U.S. House,1,Democrat,Clay,599
Steve Holland,U.S. House,1,Democrat,DeSoto,388
Steve Holland,U.S. House,1,Democrat,Grenada,282
Steve Holland,U.S. House,1,Democrat,Itawamba,1123
Steve Holland,U.S. House,1,Democrat,Lafayette,776
Steve Holland,U.S. House,1,Democrat,Lee,4822
Steve Holland,U.S. House,1,Democrat,Lowndes,468
Steve Holland,U.S. House,1,Democrat,Marshall,348
Steve Holland,U.S. House,1,Democrat,Monroe,1644
Steve Holland,U.S. House,1,Democrat,Panola,233
Steve Holland,U.S. House,1,Democrat,Pontotoc,1028
Steve Holland,U.S. House,1,Democrat,Prentiss,335
Steve Holland,U.S. House,1,Democrat,Tate,100
Steve Holland,U.S. House,1,Democrat,Tippah,245
Steve Holland,U.S. House,1,Democrat,Tishomingo,392
Steve Holland,U.S. House,1,Democrat,Union,637
Steve Holland,U.S. House,1,Democrat,Webster,174
Steve Holland,U.S. House,1,Democrat,Winston,1
Steve Holland,U.S. House,1,Democrat,Yalobusha,303
Gregg Harper,U.S. House,3,Republican,Adams,300
Gregg Harper,U.S. House,3,Republican,Amite,355
Gregg Harper,U.S. House,3,Republican,Covington,248
Gregg Harper,U.S. House,3,Republican,Franklin,311
Gregg Harper,U.S. House,3,Republican,Hinds,1915
Gregg Harper,U.S. House,3,Republican,Jasper,60
Gregg Harper,U.S. House,3,Republican,Jefferson Davis,230
Gregg Harper,U.S. House,3,Republican,Jones,23
Gregg Harper,U.S. House,3,Republican,Kemper,227
Gregg Harper,U.S. House,3,Republican,Lauderdale,3122
Gregg Harper,U.S. House,3,Republican,Lawrence,436
Gregg Harper,U.S. House,3,Republican,Leake,238
Gregg Harper,U.S. House,3,Republican,Lincoln,1051
Gregg Harper,U.S. House,3,Republican,Madison,3928
Gregg Harper,U.S. House,3,Republican,Marion,85
Gregg Harper,U.S. House,3,Republican,Neshoba,1063
Gregg Harper,U.S. House,3,Republican,Newton,934
