candidate,office,district,party,county,votes
Mike Huckabee,President,,Republican,Adams,137
John McCain,President,,Republican,Adams,1028
Ron Paul,President,,Republican,Adams,111
Rudy Guiliani,President,,Republican,Adams,4
Duncan Hunter,President,,Republican,Adams,3
Alan Keyes,President,,Republican,Adams,5
Mitt Romney,President,,Republican,Adams,30
Tom Tancredo,President,,Republican,Adams,2
Fred Thompson,President,,Republican,Adams,9
Mike Huckabee,President,,Republican,Alcorn,176
John McCain,President,,Republican,Alcorn,910
Ron Paul,President,,Republican,Alcorn,50
Rudy Guiliani,President,,Republican,Alcorn,2
Duncan Hunter,President,,Republican,Alcorn,5
Alan Keyes,President,,Republican,Alcorn,13
Mitt Romney,President,,Republican,Alcorn,15
Tom Tancredo,President,,Republican,Alcorn,1
Fred Thompson,President,,Republican,Alcorn,9
Mike Huckabee,President,,Republican,Amite,136
John McCain,President,,Republican,Amite,810
Ron Paul,President,,Republican,Amite,12
Rudy Guiliani,President,,Republican,Amite,5
Duncan Hunter,President,,Republican,Amite,0
Alan Keyes,President,,Republican,Amite,6
Mitt Romney,President,,Republican,Amite,22
Tom Tancredo,President,,Republican,Amite,1
Fred Thompson,President,,Republican,Amite,9
Mike Huckabee,President,,Republican,Attala,76
John McCain,President,,Republican,Attala,575
Ron Paul,President,,Republican,Attala,10
Rudy Guiliani,President,,Republican,Attala,6
Duncan Hunter,President,,Republican,Attala,1
Alan Keyes,President,,Republican,Attala,7
Mitt Romney,President,,Republican,Attala,4
Tom Tancredo,President,,Republican,Attala,9
Fred Thompson,President,,Republican,Attala,0
Mike Huckabee,President,,Republican,Benton,31
John McCain,President,,Republican,Benton,116
Ron Paul,President,,Republican,Benton,2
Rudy Guiliani,President,,Republican,Benton,0
Duncan Hunter,President,,Republican,Benton,0
Alan Keyes,President,,Republican,Benton,2
Mitt Romney,President,,Republican,Benton,0
Tom Tancredo,President,,Republican,Benton,0
Fred Thompson,President,,Republican,Benton,3
Mike Huckabee,President,,Republican,Bolivar,34
John McCain,President,,Republican,Bolivar,276
Ron Paul,President,,Republican,Bolivar,10
Rudy Guiliani,President,,Republican,Bolivar,2
