page,candidate,office,district,party,county,precinct,votes,winner
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Greene ,Leakesville,1024,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Greene ,Leakesville,136,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Greene ,Leakesville,0,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Greene ,Leakesville,5,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Greene ,Leakesville,2,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Greene ,Leakesville,2,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Greene ,Leakesville,0,
2,Thad Cochran,US Senate,,Republican,Greene ,Leakesville,1026,
2,Erik R. Fleming,US Senate,,Democrat,Greene ,Leakesville,139,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Greene ,Leakesville,358,
2,Roger Wicker,US Senate for Unexpired Term,,,Greene ,Leakesville,804,
2,John McCay III,US House,4,Republican,Greene ,Leakesville,332,
2,Gene Taylor,US House,4,Democrat,Greene ,Leakesville,845,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Greene ,North Leakesville,117,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Greene ,North Leakesville,236,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Greene ,North Leakesville,1,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Greene ,North Leakesville,0,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Greene ,North Leakesville,0,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Greene ,North Leakesville,2,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Greene ,North Leakesville,1,
2,Thad Cochran,US Senate,,Republican,Greene ,North Leakesville,128,
2,Erik R. Fleming,US Senate,,Democrat,Greene ,North Leakesville,218,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Greene ,North Leakesville,217,
2,Roger Wicker,US Senate for Unexpired Term,,,Greene ,North Leakesville,129,
2,John McCay III,US House,4,Republican,Greene ,North Leakesville,48,
2,Gene Taylor,US House,4,Democrat,Greene ,North Leakesville,301,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Greene ,State Line,252,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Greene ,State Line,454,
