page,candidate,office,district,party,county,precinct,votes,winner
2,Bob Barr,President,,Libertarian,Sharkey ,Delta City Fifth District ,0,
2,Cynthia A. McKinney,President,,Green,Sharkey ,Delta City Fifth District ,0,
2,Ralph Nader,President,,Independent,Sharkey ,Delta City Fifth District ,0,
2,Ted C. Weill,President,,Reform,Sharkey ,Delta City Fifth District ,0,
2,Thad Cochran,U.S. Senate,,Republican,Sharkey ,Delta City Fifth District ,109,
2,Erik R. Fleming,U.S. Senate,,Democrat,Sharkey ,Delta City Fifth District ,201,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Sharkey ,Delta City Fifth District ,220,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Sharkey ,Delta City Fifth District ,99,
2,Richard Cook,U.S. House,2,Republican,Sharkey ,Delta City Fifth District ,88,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sharkey ,Delta City Fifth District ,234,
2,John McCain,President,,Republican,Sharkey ,TOTAL ,873,
2,Barack Obama,President,,Democrat,Sharkey ,TOTAL ,1907,
2,Chuck Baldwin,President,,Constitution,Sharkey ,TOTAL ,7,
2,Bob Barr,President,,Libertarian,Sharkey ,TOTAL ,2,
2,Cynthia A. McKinney,President,,Green,Sharkey ,TOTAL ,1,
2,Ralph Nader,President,,Independent,Sharkey ,TOTAL ,4,
2,Ted C. Weill,President,,Reform,Sharkey ,TOTAL ,1,
2,Thad Cochran,U.S. Senate,,Republican,Sharkey ,TOTAL ,962,
2,Erik R. Fleming,U.S. Senate,,Democrat,Sharkey ,TOTAL ,1663,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Sharkey ,TOTAL ,1764,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Sharkey ,TOTAL ,920,
2,Richard Cook,U.S. House,2,Republican,Sharkey ,TOTAL ,733,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sharkey ,TOTAL ,1951,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
