candidate,office,district,county,votes
Travis W. Childers,U.S. House,1,Alcorn,2846
Greg Davis,U.S. House,1,Alcorn,1821
Travis W. Childers,U.S. House,1,Benton,802
Greg Davis,U.S. House,1,Benton,326
Travis W. Childers,U.S. House,1,Calhoun,1214
Greg Davis,U.S. House,1,Calhoun,885
Travis W. Childers,U.S. House,1,Chickasaw,2003
Greg Davis,U.S. House,1,Chickasaw,744
Travis W. Childers,U.S. House,1,Choctaw,546
Greg Davis,U.S. House,1,Choctaw,490
Travis W. Childers,U.S. House,1,Clay,2851
Greg Davis,U.S. House,1,Clay,1047
Travis W. Childers,U.S. House,1,DeSoto,5159
Greg Davis,U.S. House,1,DeSoto,15329
Travis W. Childers,U.S. House,1,Grenada,1602
Greg Davis,U.S. House,1,Grenada,1672
Travis W. Childers,U.S. House,1,Itawamba,1593
Greg Davis,U.S. House,1,Itawamba,1047
Travis W. Childers,U.S. House,1,Lafayette,2546
Greg Davis,U.S. House,1,Lafayette,2287
Travis W. Childers,U.S. House,1,Lee,6802
Greg Davis,U.S. House,1,Lee,4923
Travis W. Childers,U.S. House,1,Lowndes,4467
Greg Davis,U.S. House,1,Lowndes,3757
Travis W. Childers,U.S. House,1,Marshall,3478
Greg Davis,U.S. House,1,Marshall,1605
Travis W. Childers,U.S. House,1,Monroe,3591
Greg Davis,U.S. House,1,Monroe,1869
Travis W. Childers,U.S. House,1,Panola,3030
Greg Davis,U.S. House,1,Panola,2212
Travis W. Childers,U.S. House,1,Pontotoc,1893
Greg Davis,U.S. House,1,Pontotoc,1680
Travis W. Childers,U.S. House,1,Prentiss,5299
Greg Davis,U.S. House,1,Prentiss,914
Travis W. Childers,U.S. House,1,Tate,1604
Greg Davis,U.S. House,1,Tate,2132
Travis W. Childers,U.S. House,1,Tippah,1601
Greg Davis,U.S. House,1,Tippah,1113
Travis W. Childers,U.S. House,1,Tishomingo,1557
Greg Davis,U.S. House,1,Tishomingo,1033
Travis W. Childers,U.S. House,1,Union,1692
Greg Davis,U.S. House,1,Union,1322
Travis W. Childers,U.S. House,1,Webster,523
Greg Davis,U.S. House,1,Webster,735
Travis W. Childers,U.S. House,1,Winston,6
Greg Davis,U.S. House,1,Winston,4
Travis W. Childers,U.S. House,1,Yalobusha,1332
Greg Davis,U.S. House,1,Yalobusha,930
Travis W. Childers,U.S. House,1,,58037
Greg Davis,U.S. House,1,,49877
