candidate,office,district,party,county,votes
Joseph Biden,President,,Democrat,Adams,13
Joseph Biden,President,,Democrat,Alcorn,31
Joseph Biden,President,,Democrat,Amite,27
Joseph Biden,President,,Democrat,Attala,24
Joseph Biden,President,,Democrat,Benton,15
Joseph Biden,President,,Democrat,Bolivar,20
Joseph Biden,President,,Democrat,Calhoun,25
Joseph Biden,President,,Democrat,Carroll,13
Joseph Biden,President,,Democrat,Chickasaw,20
Joseph Biden,President,,Democrat,Choctaw,9
Joseph Biden,President,,Democrat,Claiborne,10
Joseph Biden,President,,Democrat,Clarke,11
Joseph Biden,President,,Democrat,Clay,36
Joseph Biden,President,,Democrat,Coahoma,22
Joseph Biden,President,,Democrat,Copiah,24
Joseph Biden,President,,Democrat,Covington,14
Joseph Biden,President,,Democrat,DeSoto,14
Joseph Biden,President,,Democrat,Forrest,20
Joseph Biden,President,,Democrat,Franklin,15
Joseph Biden,President,,Democrat,George,20
Hillary Rodham Clinton,President,,Democrat,Adams,1539
Hillary Rodham Clinton,President,,Democrat,Alcorn,3732
Hillary Rodham Clinton,President,,Democrat,Amite,930
Hillary Rodham Clinton,President,,Democrat,Attala,1393
Hillary Rodham Clinton,President,,Democrat,Benton,907
Hillary Rodham Clinton,President,,Democrat,Bolivar,1421
Hillary Rodham Clinton,President,,Democrat,Calhoun,1447
Hillary Rodham Clinton,President,,Democrat,Carroll,892
Hillary Rodham Clinton,President,,Democrat,Chickasaw,1670
Hillary Rodham Clinton,President,,Democrat,Choctaw,636
Hillary Rodham Clinton,President,,Democrat,Claiborne,484
Hillary Rodham Clinton,President,,Democrat,Clarke,947
Hillary Rodham Clinton,President,,Democrat,Clay,1146
Hillary Rodham Clinton,President,,Democrat,Coahoma,1388
Hillary Rodham Clinton,President,,Democrat,Copiah,1665
Hillary Rodham Clinton,President,,Democrat,Covington,1325
Hillary Rodham Clinton,President,,Democrat,DeSoto,5361
Hillary Rodham Clinton,President,,Democrat,Forrest,3693
Hillary Rodham Clinton,President,,Democrat,Franklin,604
Hillary Rodham Clinton,President,,Democrat,George,1673
Chris Dodd,President,,Democrat,Adams,9
Chris Dodd,President,,Democrat,Alcorn,10
Chris Dodd,President,,Democrat,Amite,13
Chris Dodd,President,,Democrat,Attala,12
Chris Dodd,President,,Democrat,Benton,4
Chris Dodd,President,,Democrat,Bolivar,11
Chris Dodd,President,,Democrat,Calhoun,4
Chris Dodd,President,,Democrat,Carroll,2
Chris Dodd,President,,Democrat,Chickasaw,7
Chris Dodd,President,,Democrat,Choctaw,3
Chris Dodd,President,,Democrat,Claiborne,7
Chris Dodd,President,,Democrat,Clarke,5
Chris Dodd,President,,Democrat,Clay,14
Chris Dodd,President,,Democrat,Coahoma,11
Chris Dodd,President,,Democrat,Copiah,9
Chris Dodd,President,,Democrat,Covington,6
Chris Dodd,President,,Democrat,DeSoto,8
Chris Dodd,President,,Democrat,Forrest,9
Chris Dodd,President,,Democrat,Franklin,6
Chris Dodd,President,,Democrat,George,13
John Edwards,President,,Democrat,Adams,48
John Edwards,President,,Democrat,Alcorn,68
John Edwards,President,,Democrat,Amite,31
John Edwards,President,,Democrat,Attala,43
John Edwards,President,,Democrat,Benton,24
John Edwards,President,,Democrat,Bolivar,27
John Edwards,President,,Democrat,Calhoun,36
John Edwards,President,,Democrat,Carroll,12
John Edwards,President,,Democrat,Chickasaw,57
John Edwards,President,,Democrat,Choctaw,32
John Edwards,President,,Democrat,Claiborne,20
John Edwards,President,,Democrat,Clarke,18
John Edwards,President,,Democrat,Clay,63
John Edwards,President,,Democrat,Coahoma,61
John Edwards,President,,Democrat,Copiah,60
John Edwards,President,,Democrat,Covington,22
John Edwards,President,,Democrat,DeSoto,49
John Edwards,President,,Democrat,Forrest,44
John Edwards,President,,Democrat,Franklin,33
John Edwards,President,,Democrat,George,55
Mike Gravel,President,,Democrat,Adams,10
Mike Gravel,President,,Democrat,Alcorn,3
Mike Gravel,President,,Democrat,Amite,13
Mike Gravel,President,,Democrat,Attala,7
Mike Gravel,President,,Democrat,Benton,3
Mike Gravel,President,,Democrat,Bolivar,8
Mike Gravel,President,,Democrat,Calhoun,3
Mike Gravel,President,,Democrat,Carroll,5
Mike Gravel,President,,Democrat,Chickasaw,6
Mike Gravel,President,,Democrat,Choctaw,4
Mike Gravel,President,,Democrat,Claiborne,4
Mike Gravel,President,,Democrat,Clarke,4
Mike Gravel,President,,Democrat,Clay,8
Mike Gravel,President,,Democrat,Coahoma,12
Mike Gravel,President,,Democrat,Copiah,8
Mike Gravel,President,,Democrat,Covington,8
Mike Gravel,President,,Democrat,DeSoto,5
Mike Gravel,President,,Democrat,Forrest,6
Mike Gravel,President,,Democrat,Franklin,4
Mike Gravel,President,,Democrat,George,4
Dennis Kucinich,President,,Democrat,Adams,21
Dennis Kucinich,President,,Democrat,Alcorn,5
Dennis Kucinich,President,,Democrat,Amite,6
Dennis Kucinich,President,,Democrat,Attala,8
Dennis Kucinich,President,,Democrat,Benton,6
Dennis Kucinich,President,,Democrat,Bolivar,22
Dennis Kucinich,President,,Democrat,Calhoun,11
Dennis Kucinich,President,,Democrat,Carroll,5
Dennis Kucinich,President,,Democrat,Chickasaw,9
Dennis Kucinich,President,,Democrat,Choctaw,5
Dennis Kucinich,President,,Democrat,Claiborne,10
Dennis Kucinich,President,,Democrat,Clarke,8
Dennis Kucinich,President,,Democrat,Clay,17
Dennis Kucinich,President,,Democrat,Coahoma,21
Dennis Kucinich,President,,Democrat,Copiah,19
Dennis Kucinich,President,,Democrat,Covington,7
Dennis Kucinich,President,,Democrat,DeSoto,7
