candidate,office,district,county,precinct,votes,winner
Anderson Boothe,State House,11,Panola,Batesville #3,36,
Lataisha M. Jackson,State House,11,Panola,Batesville #3,17,
Anderson Boothe,State House,11,Panola,Como,58,
Lataisha M. Jackson,State House,11,Panola,Como,385,
Anderson Boothe,State House,11,Panola,Courtland,140,
Lataisha M. Jackson,State House,11,Panola,Courtland,62,
Anderson Boothe,State House,11,Panola,Curtis,127,
Lataisha M. Jackson,State House,11,Panola,Curtis,46,
Anderson Boothe,State House,11,Panola,East Batesville,12,
Lataisha M. Jackson,State House,11,Panola,East Batesville,1,
Anderson Boothe,State House,11,Panola,Enon,22,
Lataisha M. Jackson,State House,11,Panola,Enon,2,
Anderson Boothe,State House,11,Panola,Macedonia-Concord,96,
Lataisha M. Jackson,State House,11,Panola,Macedonia-Concord,53,
Anderson Boothe,State House,11,Panola,North Batesville #A,51,
Lataisha M. Jackson,State House,11,Panola,North Batesville #A,41,
Anderson Boothe,State House,11,Panola,North Batesville #B,207,
Lataisha M. Jackson,State House,11,Panola,North Batesville #B,162,
Anderson Boothe,State House,11,Panola,Pleasant Grove,9,
Lataisha M. Jackson,State House,11,Panola,Pleasant Grove,18,
Anderson Boothe,State House,11,Panola,Pleasant Mount,6,
Lataisha M. Jackson,State House,11,Panola,Pleasant Mount,92,
Anderson Boothe,State House,11,Panola,South Sardis,102,
Lataisha M. Jackson,State House,11,Panola,South Sardis,244,
Anderson Boothe,State House,11,Panola,Tocowa,26,
Lataisha M. Jackson,State House,11,Panola,Tocowa,15,
Anderson Boothe,State House,11,Panola,West Sardis,60,
Lataisha M. Jackson,State House,11,Panola,West Sardis,199,
Anderson Boothe,State House,11,Tate,Looxahoma,11,
Lataisha M. Jackson,State House,11,Tate,Looxahoma,37,
Anderson Boothe,State House,11,Tate,Senatobia 1,28,
Lataisha M. Jackson,State House,11,Tate,Senatobia 1,13,
Anderson Boothe,State House,11,Tate,Senatobia 3,26,
Lataisha M. Jackson,State House,11,Tate,Senatobia 3,26,
Anderson Boothe,State House,11,Tate,Senatobia 4,3,
Lataisha M. Jackson,State House,11,Tate,Senatobia 4,5,
Anderson Boothe,State House,11,Tate,Thyatira,0,
Lataisha M. Jackson,State House,11,Tate,Thyatira,2,
Anderson Boothe,State House,11,Tate,Tyro,9,
Lataisha M. Jackson,State House,11,Tate,Tyro,31,
Anderson Boothe,State House,11,Tate,Wyatte,8,
Lataisha M. Jackson,State House,11,Tate,Wyatte,7,
Anderson Boothe,State House,11,,,1037,
Lataisha M. Jackson,State House,11,,,1488,TRUE
