candidate,office,district,county,votes,winner
Kenny Fowler,State Senate,16,Clay,1577,
Angela Turner Lairy,State Senate,16,Clay,2705,
Kenny Fowler,State Senate,16,Lowndes,24,
Angela Turner Lairy,State Senate,16,Lowndes,555,
Kenny Fowler,State Senate,16,Noxubee,23,
Angela Turner Lairy,State Senate,16,Noxubee,387,
Kenny Fowler,State Senate,16,Oktibbeha,187,
Angela Turner Lairy,State Senate,16,Oktibbeha,875,
Kenny Fowler,State Senate,16,,1811,
Angela Turner Lairy,State Senate,16,,4522,TRUE
