candidate,office,district,county,precinct,votes,winner
Andre R. De'Berry,State House,5,Benton,Ashland District 3,14,
John Gary Faulkner,State House,5,Benton,Ashland District 3,18,
Andre R. De'Berry,State House,5,Benton,Floyd District 4,0,
John Gary Faulkner,State House,5,Benton,Floyd District 4,1,
Andre R. De'Berry,State House,5,Benton,Lamar District 2,41,
John Gary Faulkner,State House,5,Benton,Lamar District 2,29,
Andre R. De'Berry,State House,5,Marshall,1 North Holly Springs,121,
John Gary Faulkner,State House,5,Marshall,1 North Holly Springs,91,
Andre R. De'Berry,State House,5,Marshall,1 West Holly Springs,207,
John Gary Faulkner,State House,5,Marshall,1 West Holly Springs,93,
Andre R. De'Berry,State House,5,Marshall,2 Early Grove,2,
John Gary Faulkner,State House,5,Marshall,2 Early Grove,3,
Andre R. De'Berry,State House,5,Marshall,2 Hudsonville,28,
John Gary Faulkner,State House,5,Marshall,2 Hudsonville,31,
Andre R. De'Berry,State House,5,Marshall,2 North Cayce,8,
John Gary Faulkner,State House,5,Marshall,2 North Cayce,1,
Andre R. De'Berry,State House,5,Marshall,2 North Holly Springs,73,
John Gary Faulkner,State House,5,Marshall,2 North Holly Springs,72,
Andre R. De'Berry,State House,5,Marshall,2 Slayden,30,
John Gary Faulkner,State House,5,Marshall,2 Slayden,18,
Andre R. De'Berry,State House,5,Marshall,3 Byhalia,12,
John Gary Faulkner,State House,5,Marshall,3 Byhalia,47,
Andre R. De'Berry,State House,5,Marshall,3 Cayce,22,
John Gary Faulkner,State House,5,Marshall,3 Cayce,23,
Andre R. De'Berry,State House,5,Marshall,4 Chulahoma,45,
John Gary Faulkner,State House,5,Marshall,4 Chulahoma,99,
Andre R. De'Berry,State House,5,Marshall,4 Laws Hill,15,
John Gary Faulkner,State House,5,Marshall,4 Laws Hill,20,
Andre R. De'Berry,State House,5,Marshall,4 Marianna,40,
John Gary Faulkner,State House,5,Marshall,4 Marianna,42,
Andre R. De'Berry,State House,5,Marshall,4 Victoria,9,
John Gary Faulkner,State House,5,Marshall,4 Victoria,30,
Andre R. De'Berry,State House,5,Marshall,4 Wall Hill,16,
John Gary Faulkner,State House,5,Marshall,4 Wall Hill,32,
Andre R. De'Berry,State House,5,Marshall,4 Warsaw,15,
John Gary Faulkner,State House,5,Marshall,4 Warsaw,39,
Andre R. De'Berry,State House,5,Marshall,4 Watson,14,
John Gary Faulkner,State House,5,Marshall,4 Watson,29,
Andre R. De'Berry,State House,5,Marshall,5 Potts Camp,0,
John Gary Faulkner,State House,5,Marshall,5 Potts Camp,0,
Andre R. De'Berry,State House,5,Marshall,5 South Holly Springs,151,
John Gary Faulkner,State House,5,Marshall,5 South Holly Springs,297,
Andre R. De'Berry,State House,5,,,863,
John Gary Faulkner,State House,5,,,1015,TRUE
