candidate,office,district,county,Looxahoma,Senatobia 1,Senatobia 3,Senatobia 4,Thyatira,Tyro,Wyatte,Total,Pct
Anderson Boothe,State House,11,Tate,11,28,26,3,0,9,8,85,36.02
Lataisha M. Jackson,State House,11,Tate,37,13,26,5,2,31,7,121,63.98
