candidate,office,district,county,4 South Aberdeen 4f2,4 Gibson 4f4,4 Prairie 4f5,5 Willis 5f4,5 Central Grove 5f2,5 Nettleton 5f3,Total,Pct
Roderick Van Daniel,State House,36,Monroe,72,31,27,10,1,2,143,22.03
Jimmy Davidson,State House,36,Monroe,13,22,19,27,41,13,135,20.8
Bobbie C. Davis,State House,36,Monroe,3,5,11,0,1,0,20,3.08
Karl Gibbs,State House,36,Monroe,28,18,82,5,1,5,139,21.42
Eddie Longstreet,State House,36,Monroe,132,24,16,3,18,9,202,31.12
Jeannie Johnson Staten,State House,36,Monroe,2,0,4,0,4,0,10,1.54
