candidate,office,district,county,4 South Aberdeen 4f2,4 Gibson 4f4,4 Prairie 4f5,5 Willis 5f4,5 Central Grove 5f2,5 Nettleton 5f3,Total,Pct
Karl Gibbs,State House,36,Monroe,82,41,113,16,14,12,278,43.92
Eddie Longstreet,State House,36,Monroe,217,24,31,16,53,14,355,56.08
