candidate,office,district,county,precinct,votes,winner
Cindy Ayers-Elliott,State Senate,28,Hinds,2,3,
Tamarra Grace Butler,State Senate,28,Hinds,2,1,
Marshand Crisler,State Senate,28,Hinds,2,3,
Sollie B. Norwood,State Senate,28,Hinds,2,6,
Antonio Porter,State Senate,28,Hinds,2,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,2,10,
Kathy L. Sykes,State Senate,28,Hinds,2,0,
Tommy L. Wallace II,State Senate,28,Hinds,2,1,
Cassandra Welchlin,State Senate,28,Hinds,2,1,
Cindy Ayers-Elliott,State Senate,28,Hinds,19,2,
Tamarra Grace Butler,State Senate,28,Hinds,19,12,
Marshand Crisler,State Senate,28,Hinds,19,15,
Sollie B. Norwood,State Senate,28,Hinds,19,19,
Antonio Porter,State Senate,28,Hinds,19,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,19,7,
Kathy L. Sykes,State Senate,28,Hinds,19,25,
Tommy L. Wallace II,State Senate,28,Hinds,19,1,
Cassandra Welchlin,State Senate,28,Hinds,19,3,
Cindy Ayers-Elliott,State Senate,28,Hinds,20,1,
Tamarra Grace Butler,State Senate,28,Hinds,20,11,
Marshand Crisler,State Senate,28,Hinds,20,15,
Sollie B. Norwood,State Senate,28,Hinds,20,10,
Antonio Porter,State Senate,28,Hinds,20,2,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,20,6,
Kathy L. Sykes,State Senate,28,Hinds,20,12,
Tommy L. Wallace II,State Senate,28,Hinds,20,0,
Cassandra Welchlin,State Senate,28,Hinds,20,1,
Cindy Ayers-Elliott,State Senate,28,Hinds,25,5,
Tamarra Grace Butler,State Senate,28,Hinds,25,17,
Marshand Crisler,State Senate,28,Hinds,25,46,
Sollie B. Norwood,State Senate,28,Hinds,25,41,
Antonio Porter,State Senate,28,Hinds,25,2,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,25,13,
Kathy L. Sykes,State Senate,28,Hinds,25,3,
Tommy L. Wallace II,State Senate,28,Hinds,25,11,
Cassandra Welchlin,State Senate,28,Hinds,25,15,
Cindy Ayers-Elliott,State Senate,28,Hinds,26,4,
Tamarra Grace Butler,State Senate,28,Hinds,26,22,
Marshand Crisler,State Senate,28,Hinds,26,31,
Sollie B. Norwood,State Senate,28,Hinds,26,22,
Antonio Porter,State Senate,28,Hinds,26,1,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,26,3,
Kathy L. Sykes,State Senate,28,Hinds,26,0,
Tommy L. Wallace II,State Senate,28,Hinds,26,8,
Cassandra Welchlin,State Senate,28,Hinds,26,4,
Cindy Ayers-Elliott,State Senate,28,Hinds,49,9,
Tamarra Grace Butler,State Senate,28,Hinds,49,4,
Marshand Crisler,State Senate,28,Hinds,49,7,
Sollie B. Norwood,State Senate,28,Hinds,49,35,
Antonio Porter,State Senate,28,Hinds,49,1,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,49,2,
Kathy L. Sykes,State Senate,28,Hinds,49,5,
Tommy L. Wallace II,State Senate,28,Hinds,49,5,
Cassandra Welchlin,State Senate,28,Hinds,49,19,
Cindy Ayers-Elliott,State Senate,28,Hinds,50,1,
Tamarra Grace Butler,State Senate,28,Hinds,50,6,
Marshand Crisler,State Senate,28,Hinds,50,11,
Sollie B. Norwood,State Senate,28,Hinds,50,9,
Antonio Porter,State Senate,28,Hinds,50,1,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,50,8,
Kathy L. Sykes,State Senate,28,Hinds,50,7,
Tommy L. Wallace II,State Senate,28,Hinds,50,3,
Cassandra Welchlin,State Senate,28,Hinds,50,10,
Cindy Ayers-Elliott,State Senate,28,Hinds,51,3,
Tamarra Grace Butler,State Senate,28,Hinds,51,19,
Marshand Crisler,State Senate,28,Hinds,51,14,
Sollie B. Norwood,State Senate,28,Hinds,51,7,
Antonio Porter,State Senate,28,Hinds,51,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,51,14,
Kathy L. Sykes,State Senate,28,Hinds,51,4,
Tommy L. Wallace II,State Senate,28,Hinds,51,8,
Cassandra Welchlin,State Senate,28,Hinds,51,13,
Cindy Ayers-Elliott,State Senate,28,Hinds,52,5,
Tamarra Grace Butler,State Senate,28,Hinds,52,23,
Marshand Crisler,State Senate,28,Hinds,52,19,
Sollie B. Norwood,State Senate,28,Hinds,52,24,
Antonio Porter,State Senate,28,Hinds,52,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,52,3,
Kathy L. Sykes,State Senate,28,Hinds,52,6,
Tommy L. Wallace II,State Senate,28,Hinds,52,5,
Cassandra Welchlin,State Senate,28,Hinds,52,61,
Cindy Ayers-Elliott,State Senate,28,Hinds,58,7,
Tamarra Grace Butler,State Senate,28,Hinds,58,88,
Marshand Crisler,State Senate,28,Hinds,58,49,
