candidate,office,district,county,Crane Creek,Dedeaux,Diamondhead East,Diamonback West,Standard,Total,Pct
Tommy Ballard,State House,95,Hancock,0,1,9,7,0,17,1.12
Sherri Carr Bevis,State House,95,Hancock,0,9,413,145,5,572,37.68
Grant Bower,State House,95,Hancock,0,0,71,24,0,95,6.26
Patricia H. Willis,State House,95,Hancock,0,34,598,200,2,834,54.94
