election,contributor,status
2013 specials,Derek Willis,done
2012 general,Derek Willis,done
2012 primary,Alyson Hurt,in progress
2012 specials,Derek Willis,done
2014 primary,Derek Willis,in progress
2014 primary runoff,Derek Willis,done
2008 general,Roger Filmyer,in progress
