candidate,office,district,county,Cairo,Caradine,Central-West Point,East-West Point,North-West Point,Pine Bluff,Siloam,Tibbee,Union Star,Vinton,West-West Point,Total,Pct
Roderick Van Daniel,State House,36,Clay,1,1,3,0,7,0,0,1,4,3,9,29,1.24
Jimmy Davidson,State House,36,Clay,11,19,24,3,67,8,8,5,9,8,43,205,8.75
Bobbie C. Davis,State House,36,Clay,9,9,25,16,39,13,11,5,128,15,46,316,13.49
Karl Gibbs,State House,36,Clay,34,79,40,31,125,32,53,55,35,108,109,701,29.93
Eddie Longstreet,State House,36,Clay,16,31,37,45,100,18,16,9,13,31,136,452,19.3
Jeannie Johnson Staten,State House,36,Clay,71,23,70,71,143,13,84,6,34,41,83,639,27.28
