candidate,office,district,county,Batesville #3,Como,Courtland,Curtis,East Batesville,Enon,Macedonia-Concord,North Batesville #A,North Batesville #B,Pleasant Grove,Pleasant Mount,South Sardis,Tocowa,West Sardis,Total,Pct
Mashall Bartlett,State House,11,Panola,20,165,8,8,7,9,6,26,8,49,67,59,9,20,461,20.54
Anderson Boothe,State House,11,Panola,21,26,113,104,4,11,88,45,183,4,1,79,6,61,746,33.24
Lataisha M. Jackson,State House,11,Panola,17,248,33,27,0,4,34,22,127,20,53,112,5,152,854,38.06
Ederic L. Kerney,State House,11,Panola,1,37,15,14,1,3,7,6,18,1,10,32,2,36,183,8.16
