candidate,office,district,county,Cairo,Caradine,Central-West Point,East-West Point,North-West Point,Pine Bluff,Siloam,Tibbee,Union Star,Vinton,West-West Point,Total,Pct
Karl Gibbs,State House,36,Clay,63,124,79,64,205,44,84,60,105,134,182,1144,58.01
Eddie Longstreet,State House,36,Clay,37,40,69,84,203,38,43,15,41,58,200,828,41.99
