candidate,office,district,county,Precinct 02,Precinct 19,Precinct 20,Precinct 25,Precinct 26,Precinct 49,Precinct 50,Precinct 51,Precinct 52,Precinct 58,Precinct 59,Precinct 63,Precinct 64,Precinct 67,Precinct 68,Precinct 69,Precinct 70,Precinct 71,Precinct 72,Precinct 73,Precinct 74,Precinct 75,Precinct 76,Precinct 77,Precinct 87,Precinct 88,Precinct 89,Precinct 90,Precinct 93,Total,Pct
Marshand Crisler,State Senate,28,Hinds,9,23,27,63,35,28,15,24,43,80,59,36,23,29,176,30,28,46,29,19,36,27,28,32,38,100,25,36,21,1165,45.79
Sollie B. Norwood,State Senate,28,Hinds,16,44,33,63,42,30,31,49,61,159,133,62,73,16,100,43,13,39,18,31,20,14,31,12,70,118,22,20,16,1379,54.21
