candidate,office,district,county,Batesville #3,Como,Courtland,Curtis,East Batesville,Enon,Macedonia-Concord,North Batesville #A,North Batesville #B,Pleasant Grove,Pleasant Mount,South Sardis,Tocowa,West Sardis,Total,Pct
Anderson Boothe,State House,11,Panola,36,58,140,127,12,22,96,51,207,9,6,102,26,60,952,41.59
Lataisha M. Jackson,State House,11,Panola,17,385,62,46,1,2,53,41,162,18,92,244,15,199,1337,58.41
