candidate,office,district,county,Airbase,Total,Pct
Roderick Van Daniel,State House,36,Lowndes,0,0,0
Jimmy Davidson,State House,36,Lowndes,0,0,0
Bobbie C. Davis,State House,36,Lowndes,3,3,23.08
Karl Gibbs,State House,36,Lowndes,3,3,23.08
Eddie Longstreet,State House,36,Lowndes,5,5,38.46
Jeannie Johnson Staten,State House,36,Lowndes,2,2,15.38
