candidate,office,district,county,Advance,E Orange Grove,East Lyman,New Hope,North Bel-Aire,Outside Long Beach,Riceville,Saucier,South Bel-Aire,West Lyman,West Orange Grove,Total,Pct
Tommy Ballard,State House,95,Harrison,0,11,0,0,15,2,0,4,0,9,6,47,11.35
Sherri Carr Bevis,State House,95,Harrison,0,16,13,8,20,12,4,12,5,49,29,168,40.58
Grant Bower,State House,95,Harrison,0,2,0,4,9,0,0,0,0,4,0,19,4.59
Patricia H. Willis,State House,95,Harrison,2,26,4,0,27,6,1,18,7,60,29,180,43.48
